,ID 1200,ID 1200,ID 1200,ID 1200,ID 1200,ID 1200,ID 1200,ID 1195,ID 1195,ID 1195,ID 1195,ID 1195,ID 1195,ID 1195,ID 1138,ID 1138,ID 1138,ID 1138,ID 1138,ID 1138,ID 1138,ID 1171,ID 1171,ID 1171,ID 1171,ID 1171,ID 1171,ID 1171,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 992,ID 992,ID 992,ID 992,ID 992,ID 992,ID 992,ID 681,ID 681,ID 681,ID 681,ID 681,ID 681,ID 681,ID 869,ID 869,ID 869,ID 869,ID 869,ID 869,ID 869
,BUJNA,BUJNA,BUJNA,BUJNA,BUJNA,BUJNA,BUJNA,SPITZ,SPITZ,SPITZ,SPITZ,SPITZ,SPITZ,SPITZ,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,KIJANOVIC,KIJANOVIC,KIJANOVIC,KIJANOVIC,KIJANOVIC,KIJANOVIC,KIJANOVIC,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,MELI,MELI,MELI,MELI,MELI,MELI,MELI,SORM,SORM,SORM,SORM,SORM,SORM,SORM,KOCH,KOCH,KOCH,KOCH,KOCH,KOCH,KOCH
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,5.716,0.000,3.434,3.434,.00,0,0,5.716,0.000,3.433,3.433,.00,0,0,5.716,0.000,3.433,3.433,.00,0,0,5.714,0.000,3.434,3.434,.00,0,0,5.714,0.000,3.433,3.433,.00,0,0,5.712,0.000,3.433,3.433,.00,0,0,5.714,0.000,3.434,3.434,.00,0,0,5.714,0.000,3.433,3.433,.00
00:00.000,0,0,5.716,0.000,3.434,3.434,.00,0,0,5.716,0.000,3.433,3.433,.00,0,0,5.716,0.000,3.433,3.433,.00,0,0,5.714,0.000,3.434,3.434,.00,0,0,5.714,0.000,3.433,3.433,.00,0,0,5.712,0.000,3.433,3.433,.00,0,0,5.714,0.000,3.434,3.434,.00,0,0,5.714,0.000,3.433,3.433,.00
00:00.601,0,0,5.716,0.000,4.004,4.004,5.19,0,0,5.716,0.000,4.005,4.005,5.19,0,0,5.716,0.000,4.004,4.004,5.19,0,0,5.714,0.000,4.005,4.005,5.19,0,0,5.714,0.000,4.005,4.005,5.19,0,0,5.712,0.000,4.005,4.005,5.19,0,0,5.714,0.000,4.005,4.005,5.19,0,0,5.714,0.000,4.005,4.005,5.19
00:00.701,0,0,5.716,0.000,4.004,4.576,5.19,0,0,5.716,0.000,4.005,4.576,5.19,0,0,5.716,0.000,4.004,4.577,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.712,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19
00:00.701,0,0,5.716,0.000,4.004,4.576,5.19,0,0,5.716,0.000,4.005,4.576,5.19,0,0,5.716,0.000,4.004,4.577,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.712,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19
00:00.701,0,0,5.716,0.000,4.004,4.576,5.19,0,0,5.716,0.000,4.005,4.576,5.19,0,0,5.716,0.000,4.004,4.577,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19,0,0,5.712,0.000,4.005,4.576,5.19,0,0,5.714,-0.001,4.005,4.576,5.19,0,0,5.714,0.000,4.005,4.576,5.19
00:00.801,0,0,5.716,-0.001,4.004,5.148,5.19,0,0,5.716,-0.001,4.005,5.148,5.19,0,0,5.716,-0.001,4.004,5.148,5.19,0,0,5.714,-0.001,4.005,5.148,5.19,0,0,5.714,-0.001,4.005,5.147,5.19,0,0,5.712,0.001,4.005,5.148,5.19,0,0,5.714,-0.001,4.005,5.148,5.19,0,0,5.714,0.000,4.005,5.148,5.19
00:00.901,0,0,5.716,-0.001,4.004,5.719,5.19,0,0,5.716,-0.001,4.005,5.719,5.19,0,0,5.716,-0.001,4.004,5.719,5.19,0,0,5.714,-0.001,4.005,5.719,5.19,0,0,5.714,-0.001,4.005,5.719,5.19,0,0,5.712,0.001,4.005,5.719,5.19,0,0,5.714,-0.001,4.005,5.719,5.19,0,0,5.714,0.000,4.005,5.719,5.19
