,ID 1010,ID 1010,ID 1010,ID 1010,ID 1010,ID 1010,ID 1010,ID 806,ID 806,ID 806,ID 806,ID 806,ID 806,ID 806,ID 613,ID 613,ID 613,ID 613,ID 613,ID 613,ID 613,ID 1160,ID 1160,ID 1160,ID 1160,ID 1160,ID 1160,ID 1160,ID 697,ID 697,ID 697,ID 697,ID 697,ID 697,ID 697,ID 674,ID 674,ID 674,ID 674,ID 674,ID 674,ID 674,ID 1071,ID 1071,ID 1071,ID 1071,ID 1071,ID 1071,ID 1071
,SITO,SITO,SITO,SITO,SITO,SITO,SITO,SOMBE,SOMBE,SOMBE,SOMBE,SOMBE,SOMBE,SOMBE,BORLEE,BORLEE,BORLEE,BORLEE,BORLEE,BORLEE,BORLEE,FERLAN,FERLAN,FERLAN,FERLAN,FERLAN,FERLAN,FERLAN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,MASLAK,MASLAK,MASLAK,MASLAK,MASLAK,MASLAK,MASLAK,GRIMERUD,GRIMERUD,GRIMERUD,GRIMERUD,GRIMERUD,GRIMERUD,GRIMERUD
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.417,2.417,.00
00:00.000,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.417,2.417,.00
00:00.423,0,0,0.000,0.000,2.988,2.988,.00,0,0,0.000,0.000,2.988,2.988,.00,0,0,0.000,0.000,2.987,2.987,.00,0,0,0.000,0.000,2.987,2.987,.00,0,0,0.000,0.000,2.988,2.988,.00,0,0,0.000,0.000,2.987,2.987,.00,0,0,0.000,0.000,2.987,2.987,.00
00:00.523,0,0,0.000,0.000,2.988,3.559,.00,0,0,0.000,0.000,2.988,3.559,.00,0,0,0.500,0.000,2.987,3.559,.00,0,0,0.500,0.000,2.987,3.559,.00,0,0,0.500,0.000,2.988,3.559,.00,0,0,0.500,0.000,2.987,3.559,.00,0,0,0.500,0.000,2.987,3.559,.00
00:00.523,0,0,0.400,0.000,2.988,3.559,.00,0,0,0.400,0.000,2.988,3.559,.00,0,0,1.200,0.000,2.987,3.559,.00,0,0,1.200,0.000,2.987,3.559,.00,0,0,1.200,0.000,2.988,3.559,.00,0,0,1.200,0.000,2.987,3.559,.00,0,0,1.200,0.000,2.987,3.559,.00
00:00.523,0,0,1.000,0.000,2.988,3.559,.00,0,0,1.000,0.000,2.988,3.559,.00,0,0,1.952,0.000,2.987,3.559,.00,0,0,1.952,0.000,2.987,3.559,.00,0,0,1.953,0.000,2.988,3.559,.00,0,0,1.952,0.000,2.987,3.559,.00,0,0,1.952,0.000,2.987,3.559,.00
00:00.623,0,0,1.674,0.000,2.988,4.131,.00,0,0,1.674,0.000,2.988,4.131,.00,0,0,2.490,0.000,2.987,4.130,.00,0,0,2.490,0.000,2.987,4.130,.00,0,0,2.490,0.000,2.988,4.131,.00,0,0,2.490,0.000,2.987,4.130,.00,0,0,2.490,0.000,2.987,4.130,.00
00:00.723,42.941,8.513,2.179,0.000,2.988,4.702,.00,49.635,10.54,2.179,0.000,2.988,4.702,.00,0,0,2.893,0.000,2.987,4.701,.00,61.273,18.184,2.893,0.000,2.987,4.701,.00,65.998,23.297,2.894,0.000,2.988,4.701,.00,69.692,28.299,2.893,0.000,2.987,4.701,.00,73.047,33.843,2.893,0.000,2.987,4.702,.00
