,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 949,ID 949,ID 949,ID 949,ID 949,ID 949,ID 949,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 883,ID 883,ID 883,ID 883,ID 883,ID 883,ID 883,ID 776,ID 776,ID 776,ID 776,ID 776,ID 776,ID 776,ID 1138,ID 1138,ID 1138,ID 1138,ID 1138,ID 1138,ID 1138
,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,BIRON,BIRON,BIRON,BIRON,BIRON,BIRON,BIRON,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB,ELKHATIB
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00
00:00.000,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00,0,0,0.000,0.000,1.879,1.879,.00
00:00.329,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.450,2.450,.00,0,0,0.000,0.000,2.450,2.450,.00,0,0,0.000,0.000,2.450,2.450,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.450,2.450,.00,0,0,0.000,0.000,2.450,2.450,.00,0,0,0.000,0.000,2.451,2.451,.00
00:00.429,0,0,0.000,0.000,2.451,3.021,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.450,3.021,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.451,3.022,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.450,3.021,.00,0,0,0.000,0.000,2.451,3.021,.00
00:00.429,0,0,0.000,0.000,2.451,3.021,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.450,3.021,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.451,3.022,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.450,3.021,.00,0,0,0.000,0.000,2.451,3.021,.00
00:00.429,0,0,0.000,0.000,2.451,3.021,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.450,3.021,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.451,3.022,.00,0,0,0.000,0.000,2.450,3.022,.00,0,0,0.000,0.000,2.450,3.021,.00,0,0,0.000,0.000,2.451,3.021,.00
00:00.529,0,0,0.000,0.000,2.451,3.593,.00,42.121,8.654,0.000,0.000,2.450,3.593,.00,49.289,10.333,0.286,0.000,2.450,3.594,.00,55.34,13.483,0.286,0.000,2.450,3.593,.00,60.939,17.389,0.286,0.000,2.451,3.594,.00,65.536,22.528,0.286,0.000,2.450,3.593,.00,69.34,27.928,0.286,0.000,2.450,3.594,.00,72.829,32.935,0.286,0.000,2.451,3.593,.00
00:00.629,0,0,0.250,0.000,2.451,4.165,.00,42.611,8.687,0.250,0.000,2.450,4.165,23.66,49.631,10.542,0.750,0.000,2.450,4.165,27.55,55.637,13.762,0.750,0.000,2.450,4.164,29.60,61.119,17.771,0.750,0.000,2.451,4.165,30.79,65.679,22.939,0.750,0.000,2.450,4.165,30.41,69.525,28.362,0.750,0.000,2.450,4.165,29.28,72.946,33.259,0.750,0.000,2.451,4.165,28.21
