,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 949,ID 949,ID 949,ID 949,ID 949,ID 949,ID 949,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 883,ID 883,ID 883,ID 883,ID 883,ID 883,ID 883,ID 776,ID 776,ID 776,ID 776,ID 776,ID 776,ID 776
,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,BIRON,BIRON,BIRON,BIRON,BIRON,BIRON,BIRON
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00
00:00.000,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00
00:00.611,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.061,4.061,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00
00:00.711,43.188,8.654,0.000,0.000,4.062,4.633,.00,49.917,10.784,0.000,0.000,4.062,4.633,.00,55.987,14.247,0.000,0.000,4.061,4.633,.00,61.313,18.25,0.000,0.000,4.062,4.633,.00,65.811,23.193,0.000,0.000,4.062,4.633,.00,69.802,28.723,0.000,0.000,4.062,4.633,.00,73.046,33.748,0.000,0.000,4.062,4.634,.00
00:00.711,43.188,8.654,0.000,0.000,4.062,4.633,.00,49.917,10.784,0.000,0.000,4.062,4.633,.00,55.987,14.247,0.000,0.000,4.061,4.633,.00,61.313,18.25,0.000,0.000,4.062,4.633,.00,65.811,23.193,0.000,0.000,4.062,4.633,.00,69.802,28.723,0.000,0.000,4.062,4.633,.00,73.046,33.748,0.000,0.000,4.062,4.634,.00
00:00.711,43.188,8.654,0.333,0.000,4.062,4.633,.00,49.917,10.784,0.333,0.000,4.062,4.633,.00,55.987,14.247,0.333,0.000,4.061,4.633,.00,61.313,18.25,0.333,0.000,4.062,4.633,.00,65.811,23.193,0.333,0.000,4.062,4.633,.00,69.802,28.723,0.333,0.000,4.062,4.633,.00,73.046,33.748,0.333,0.000,4.062,4.634,.00
00:00.811,43.63,8.788,0.857,0.000,4.062,5.205,24.42,50.309,11.095,0.857,0.000,4.062,5.204,27.67,56.288,14.628,0.857,0.000,4.061,5.205,29.51,61.599,18.73,0.857,0.000,4.062,5.205,30.45,65.981,23.534,0.857,0.000,4.062,5.205,30.14,70.04,29.141,0.857,0.000,4.062,5.205,29.05,73.123,34.213,0.857,0.000,4.062,5.205,27.79
00:00.911,44.073,9.009,1.465,0.000,4.062,5.776,24.64,50.662,11.482,1.465,0.000,4.062,5.777,27.73,56.626,15.006,1.465,0.000,4.061,5.777,29.46,61.939,19.173,1.464,0.000,4.062,5.776,30.31,66.254,23.998,1.465,0.000,4.062,5.776,30.01,70.183,29.762,1.464,0.000,4.062,5.776,28.92,73.243,34.726,1.464,0.000,4.062,5.776,27.51
00:00.911,44.073,9.009,1.937,0.000,4.062,5.776,24.64,50.662,11.482,1.937,0.000,4.062,5.777,27.73,56.626,15.006,1.937,0.000,4.061,5.777,29.46,61.939,19.173,1.936,0.000,4.062,5.776,30.31,66.254,23.998,1.937,0.000,4.062,5.776,30.01,70.183,29.762,1.936,0.000,4.062,5.776,28.92,73.243,34.726,1.936,0.000,4.062,5.776,27.51
00:00.911,44.073,9.009,2.315,0.000,4.062,5.776,24.64,50.662,11.482,2.315,0.000,4.062,5.777,27.73,56.626,15.006,2.315,0.000,4.061,5.777,29.46,61.939,19.173,2.314,0.000,4.062,5.776,30.31,66.254,23.998,2.315,0.000,4.062,5.776,30.01,70.183,29.762,2.314,0.000,4.062,5.776,28.92,73.243,34.726,2.314,0.000,4.062,5.776,27.51
00:01.011,44.433,9.235,2.624,0.000,5.435,6.348,24.79,50.984,11.816,2.624,0.000,5.082,6.348,27.70,56.945,15.401,2.624,0.000,5.560,6.348,29.43,62.202,19.615,2.623,0.000,5.177,6.347,30.24,66.473,24.466,2.624,0.000,5.496,6.348,29.88,70.387,30.237,2.623,0.000,5.168,6.347,28.58,73.337,35.237,2.623,0.000,5.579,6.347,27.24
00:01.111,44.797,9.441,2.831,-0.101,5.435,6.919,24.89,51.275,11.969,2.831,-0.101,5.082,6.919,27.70,57.171,15.634,2.831,-0.101,5.560,6.919,29.38,62.502,20.065,2.831,-0.101,5.177,6.919,30.11,66.627,24.953,2.831,-0.101,5.496,6.919,29.70,70.451,30.657,2.830,-0.100,5.168,6.919,28.39,73.425,35.615,2.830,-0.101,5.579,6.919,26.94
00:01.111,44.797,9.441,3.007,-0.186,5.435,6.919,24.89,51.275,11.969,3.007,-0.186,5.082,6.919,27.70,57.171,15.634,3.007,-0.186,5.560,6.919,29.38,62.502,20.065,3.006,-0.186,5.177,6.919,30.11,66.627,24.953,3.007,-0.186,5.496,6.919,29.70,70.451,30.657,3.005,-0.185,5.168,6.919,28.39,73.425,35.615,3.006,-0.186,5.579,6.919,26.94
00:01.111,44.797,9.441,3.157,-0.258,5.435,6.919,24.89,51.275,11.969,3.157,-0.258,5.082,6.919,27.70,57.171,15.634,3.157,-0.258,5.560,6.919,29.38,62.502,20.065,3.156,-0.258,5.177,6.919,30.11,66.627,24.953,3.157,-0.258,5.496,6.919,29.70,70.451,30.657,3.155,-0.258,5.168,6.919,28.39,73.425,35.615,3.156,-0.259,5.579,6.919,26.94
00:01.211,45.346,9.638,3.288,-0.322,5.435,7.491,25.00,51.718,12.301,3.288,-0.322,6.418,7.490,27.79,57.499,16.02,3.288,-0.322,5.560,7.491,29.37,62.811,20.558,3.287,-0.322,6.231,7.490,30.01,66.82,25.414,3.288,-0.322,6.505,7.490,29.47,70.645,31.18,3.285,-0.321,6.659,7.490,28.14,73.525,36.166,3.286,-0.322,5.579,7.491,26.74
00:01.311,45.873,9.889,3.579,-0.407,5.435,8.000,25.25,52.22,12.675,3.582,-0.405,6.418,8.000,27.87,57.876,16.481,3.577,-0.408,5.560,8.000,29.33,63.117,21.027,3.593,-0.399,7.372,8.000,29.88,67.097,25.949,3.590,-0.401,6.505,8.000,29.28,70.846,31.702,3.604,-0.393,6.659,8.000,27.91,73.603,36.691,3.586,-0.403,7.057,8.000,26.42
00:01.411,46.358,10.169,3.870,-0.492,8.000,8.000,25.44,52.677,13.073,3.877,-0.488,8.000,8.000,27.96,58.297,16.896,3.866,-0.494,8.000,8.000,29.27,63.449,21.551,3.899,-0.477,8.000,8.000,29.76,67.386,26.448,3.893,-0.481,8.000,8.000,29.10,71.016,32.258,3.922,-0.464,8.000,8.000,27.68,73.7,37.319,3.885,-0.484,8.000,8.000,26.10
00:01.511,46.908,10.456,4.161,-0.577,8.000,8.000,25.59,53.166,13.525,4.172,-0.572,8.000,8.000,28.00,58.72,17.342,4.155,-0.580,8.000,8.000,29.27,63.796,22.078,4.205,-0.554,8.000,8.000,29.63,67.643,27.022,4.195,-0.560,8.000,8.000,28.95,71.204,32.918,4.241,-0.535,8.000,8.000,27.41,73.793,37.962,4.184,-0.565,8.000,8.000,25.73
