,ID 1195,ID 1195,ID 1195,ID 1195,ID 1195,ID 1195,ID 1195,ID 925,ID 925,ID 925,ID 925,ID 925,ID 925,ID 925,ID 854,ID 854,ID 854,ID 854,ID 854,ID 854,ID 854,ID 629,ID 629,ID 629,ID 629,ID 629,ID 629,ID 629,ID 819,ID 819,ID 819,ID 819,ID 819,ID 819,ID 819,ID 1010,ID 1010,ID 1010,ID 1010,ID 1010,ID 1010,ID 1010,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049
,SPITZ,SPITZ,SPITZ,SPITZ,SPITZ,SPITZ,SPITZ,MOLNAR,MOLNAR,MOLNAR,MOLNAR,MOLNAR,MOLNAR,MOLNAR,BREDAU,BREDAU,BREDAU,BREDAU,BREDAU,BREDAU,BREDAU,SACOOR,SACOOR,SACOOR,SACOOR,SACOOR,SACOOR,SACOOR,DOBSON,DOBSON,DOBSON,DOBSON,DOBSON,DOBSON,DOBSON,SITO,SITO,SITO,SITO,SITO,SITO,SITO,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,36.681,7.89,0.000,0.000,5.639,5.639,.00,43.585,8.612,0.000,0.000,5.639,5.639,.00,50.187,11.034,0.000,0.000,5.639,5.639,.00,56.504,14.708,0.000,0.000,5.638,5.638,.00,62.067,19.304,0.000,0.000,5.639,5.639,.00,66.133,23.771,0.000,0.000,5.639,5.639,.00,0,0,0.000,0.000,5.639,5.639,.00,0,0,0.000,0.000,5.639,5.639,.00
00:00.000,36.681,7.89,1.000,0.000,5.639,5.639,.00,43.585,8.612,1.000,0.000,5.639,5.639,.00,50.187,11.034,1.000,0.000,5.639,5.639,.00,56.504,14.708,1.000,0.000,5.638,5.638,.00,62.067,19.304,1.000,0.000,5.639,5.639,.00,66.133,23.771,1.000,0.000,5.639,5.639,.00,0,0,1.000,0.000,5.639,5.639,.00,0,0,1.000,0.000,5.639,5.639,.00
00:00.987,37.173,7.988,2.000,0.000,6.211,6.211,20.36,44.013,8.821,2.000,0.000,6.210,6.210,24.73,50.576,11.389,2.000,0.000,6.210,6.210,27.69,56.919,15.188,2.000,0.000,6.211,6.211,29.55,62.404,19.799,2.000,0.000,6.211,6.211,30.24,66.42,24.328,2.000,0.000,6.211,6.211,29.95,0,0,2.000,0.000,6.210,6.210,.00,0,0,2.000,0.000,6.210,6.210,.00
00:01.087,37.613,8.101,2.929,0.000,6.211,6.781,20.64,44.405,9.022,2.929,0.000,6.210,6.782,24.88,51.001,11.7,2.929,0.000,6.210,6.782,27.71,57.252,15.552,2.928,0.000,7.338,6.782,29.51,62.72,20.227,2.929,0.000,6.211,6.782,30.13,66.622,24.811,2.929,0.000,7.360,6.782,29.76,0,0,2.929,0.000,6.210,6.782,.00,0,0,2.929,0.000,6.210,6.782,.00
00:01.087,37.613,8.101,3.486,0.000,6.211,6.781,20.64,44.405,9.022,3.486,0.000,6.210,6.782,24.88,51.001,11.7,3.486,0.000,6.210,6.782,27.71,57.252,15.552,3.485,0.000,7.338,6.782,29.51,62.72,20.227,3.486,0.000,6.211,6.782,30.13,66.622,24.811,3.486,0.000,7.360,6.782,29.76,0,0,3.486,0.000,6.210,6.782,.00,0,0,3.486,0.000,6.210,6.782,.00
00:01.087,37.613,8.101,3.817,-0.083,6.211,6.781,20.64,44.405,9.022,3.816,-0.083,6.210,6.782,24.88,51.001,11.7,3.816,-0.083,6.210,6.782,27.71,57.252,15.552,3.815,-0.082,7.338,6.782,29.51,62.72,20.227,3.816,-0.083,6.211,6.782,30.13,66.622,24.811,3.816,-0.083,7.360,6.782,29.76,0,0,3.816,-0.083,6.210,6.782,.00,0,0,3.817,-0.083,6.210,6.782,.00
00:01.187,38.176,8.218,4.052,-0.142,6.211,7.353,20.87,44.894,9.083,4.051,-0.142,6.210,7.353,25.02,51.408,11.962,4.051,-0.142,6.210,7.354,27.79,57.592,15.886,4.051,-0.141,7.338,7.354,29.49,63.039,20.673,4.051,-0.142,6.211,7.354,30.05,66.803,25.227,4.051,-0.142,7.360,7.354,29.56,0,0,4.051,-0.142,6.210,7.353,.00,0,0,4.052,-0.142,6.210,7.354,.00
00:01.287,38.754,8.429,4.229,-0.187,7.741,7.925,21.18,45.388,9.367,4.228,-0.187,7.689,7.925,25.32,51.815,12.244,4.228,-0.187,7.220,7.925,27.89,57.963,16.282,4.227,-0.185,8.357,7.925,29.49,63.355,21.121,4.228,-0.187,7.291,7.925,29.96,67.039,25.761,4.228,-0.187,8.397,7.924,29.40,0,0,4.228,-0.187,6.210,7.924,.00,0,0,4.229,-0.187,6.210,7.925,.00
00:01.287,38.754,8.429,4.367,-0.221,7.741,7.925,21.18,45.388,9.367,4.365,-0.221,7.689,7.925,25.32,51.815,12.244,4.365,-0.221,7.220,7.925,27.89,57.963,16.282,4.365,-0.220,8.357,7.925,29.49,63.355,21.121,4.365,-0.221,7.291,7.925,29.96,67.039,25.761,4.365,-0.221,8.397,7.924,29.40,0,0,4.365,-0.221,6.210,7.924,.00,0,0,4.367,-0.221,6.210,7.925,.00
