,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.567,32.091,6.45,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,45.829,8.267,0.000,0.000,0.000,0.000,.00,52.195,11.445,0.000,0.000,0.000,0.000,.00,59.699,15.827,0.000,0.000,0.000,0.000,.00,64.108,18.915,0.000,0.000,0.000,0.000,.00,68.293,24.412,0.000,0.000,0.000,0.000,.00,71.553,29.394,0.000,0.000,0.000,0.000,.00
00:00.667,32.22,6.551,0.000,0.000,0.000,0.000,18.13,0,0,0.000,0.000,0.000,0.000,.00,45.832,8.285,0.000,0.000,0.000,0.000,26.56,52.357,11.541,0.000,0.000,0.000,0.000,28.81,59.645,15.937,0.000,0.000,0.000,0.000,31.02,64.109,19.068,0.000,0.000,0.000,0.000,31.96,68.319,24.46,0.000,0.000,0.000,0.000,31.03,71.547,29.372,0.000,0.000,0.000,0.000,29.81
00:00.667,32.22,6.551,0.000,0.000,0.000,0.000,18.13,0,0,0.000,0.000,0.000,0.000,.00,45.832,8.285,0.000,0.000,0.000,0.000,26.56,52.357,11.541,0.000,0.000,0.000,0.000,28.81,59.645,15.937,0.000,0.000,0.000,0.000,31.02,64.109,19.068,0.000,0.000,0.000,0.000,31.96,68.319,24.46,0.000,0.000,0.000,0.000,31.03,71.547,29.372,0.000,0.000,0.000,0.000,29.81
00:00.667,32.22,6.551,0.000,0.000,0.000,0.000,18.13,0,0,0.000,0.000,0.000,0.000,.00,45.832,8.285,0.000,0.000,0.000,0.000,26.56,52.357,11.541,0.000,0.000,0.000,0.000,28.81,59.645,15.937,0.000,0.000,0.000,0.000,31.02,64.109,19.068,0.000,0.000,0.000,0.000,31.96,68.319,24.46,0.000,0.000,0.000,0.000,31.03,71.547,29.372,0.000,0.000,0.000,0.000,29.81
00:00.768,32.297,6.52,0.000,0.000,0.000,0.000,18.15,0,0,0.000,0.000,0.000,0.000,.00,45.798,8.235,0.000,0.000,0.000,0.000,26.55,52.474,11.541,0.000,0.000,0.000,0.000,28.86,59.592,16.036,0.000,0.000,0.000,0.000,30.91,64.166,19.17,0.000,0.000,0.000,0.000,31.85,68.321,24.457,0.000,0.000,0.000,0.000,31.01,71.553,29.331,0.000,0.000,0.000,0.000,29.82
00:00.868,32.441,6.633,0.000,0.000,0.000,0.000,18.23,0,0,0.000,0.000,0.000,0.000,.00,45.87,8.286,0.000,0.000,0.000,0.000,26.56,52.605,11.585,0.000,0.000,0.000,0.000,28.94,59.508,16.065,0.000,0.000,0.000,0.000,30.80,64.148,19.264,0.000,0.000,0.000,0.000,31.82,68.352,24.474,0.000,0.000,0.000,0.000,31.02,71.531,29.388,0.000,0.000,0.000,0.000,29.86
