,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.499,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.599,32.442,6.868,0.000,0.000,0.000,0.000,.00,39.932,7.332,0.000,0.000,0.000,0.000,.00,45.8,8.187,0.000,0.000,0.000,0.000,.00,52.406,11.641,0.000,0.000,0.000,0.000,.00,59.591,15.875,0.000,0.000,0.000,0.000,.00,64.037,18.997,0.000,0.000,0.000,0.000,.00,68.311,24.503,0.000,0.000,0.000,0.000,.00,71.55,29.337,0.000,0.000,0.000,0.000,.00
00:00.599,32.442,6.868,0.000,0.000,0.000,0.000,.00,39.932,7.332,0.000,0.000,0.000,0.000,.00,45.8,8.187,0.000,0.000,0.000,0.000,.00,52.406,11.641,0.000,0.000,0.000,0.000,.00,59.591,15.875,0.000,0.000,0.000,0.000,.00,64.037,18.997,0.000,0.000,0.000,0.000,.00,68.311,24.503,0.000,0.000,0.000,0.000,.00,71.55,29.337,0.000,0.000,0.000,0.000,.00
00:00.599,32.442,6.868,0.000,0.000,0.000,0.000,.00,39.932,7.332,0.000,0.000,0.000,0.000,.00,45.8,8.187,0.000,0.000,0.000,0.000,.00,52.406,11.641,0.000,0.000,0.000,0.000,.00,59.591,15.875,0.000,0.000,0.000,0.000,.00,64.037,18.997,0.000,0.000,0.000,0.000,.00,68.311,24.503,0.000,0.000,0.000,0.000,.00,71.55,29.337,0.000,0.000,0.000,0.000,.00
00:00.700,32.311,6.616,0.000,0.000,0.000,0.000,18.08,40.096,7.53,0.000,0.000,0.000,0.000,23.05,45.811,8.302,0.000,0.000,0.000,0.000,26.60,52.45,11.562,0.000,0.000,0.000,0.000,28.83,59.609,15.984,0.000,0.000,0.000,0.000,30.91,64.09,19.058,0.000,0.000,0.000,0.000,31.85,68.315,24.46,0.000,0.000,0.000,0.000,30.98,71.528,29.327,0.000,0.000,0.000,0.000,29.85
00:00.799,32.386,6.563,0.000,0.000,0.000,0.000,18.17,40.103,7.61,0.000,0.000,0.000,0.000,23.03,45.821,8.217,0.000,0.000,0.000,0.000,26.52,52.561,11.578,0.000,0.000,0.000,0.000,28.91,59.57,16.077,0.000,0.000,0.000,0.000,30.85,64.164,19.217,0.000,0.000,0.000,0.000,31.84,68.34,24.484,0.000,0.000,0.000,0.000,31.01,71.549,29.317,0.000,0.000,0.000,0.000,29.84
