,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.355,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.455,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.455,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.455,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.555,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.656,35.586,7.59,0.000,0.000,1.046,1.046,.00,43.112,8.999,0.000,0.000,1.282,1.282,.00,49.957,10.729,0.000,0.000,1.056,1.056,.00,56.134,13.858,0.000,0.000,0.792,0.792,.00,61.566,18.291,0.000,0.000,1.060,1.060,.00,65.725,23.66,0.000,0.000,1.382,1.382,.00,70.219,27.376,0.250,0.000,0.365,0.365,.00,72.9,33.418,0.250,0.000,0.687,0.687,.00
00:00.656,35.586,7.59,0.222,0.000,1.046,1.046,.00,43.112,8.999,0.222,0.000,1.282,1.282,.00,49.957,10.729,0.222,0.000,1.056,1.056,.00,56.134,13.858,0.222,0.000,0.792,0.792,.00,61.566,18.291,0.222,0.000,1.060,1.060,.00,65.725,23.66,0.222,0.000,1.382,1.382,.00,70.219,27.376,0.667,0.000,0.365,0.365,.00,72.9,33.418,0.667,0.000,0.687,0.687,.00
00:00.656,35.586,7.59,0.600,0.000,1.046,1.046,.00,43.112,8.999,0.600,0.000,1.282,1.282,.00,49.957,10.729,0.600,0.000,1.056,1.056,.00,56.134,13.858,0.600,0.000,0.792,0.792,.00,61.566,18.291,0.600,0.000,1.060,1.060,.00,65.725,23.66,0.600,0.000,1.382,1.382,.00,70.219,27.376,1.118,0.000,0.365,0.365,.00,72.9,33.418,1.200,0.000,0.687,0.687,.00
00:00.755,36.254,7.625,1.080,0.000,1.683,1.683,19.80,43.352,9.283,0.983,0.000,1.612,1.612,24.12,50.323,10.919,0.975,0.000,1.465,1.465,27.74,56.599,14.464,1.061,0.000,1.545,1.545,29.89,61.845,18.551,0.965,0.000,1.438,1.438,30.60,66.044,24.562,1.091,0.000,2.344,2.344,29.74,70.534,28.28,1.488,0.000,1.320,1.320,30.29,73.083,34.443,1.737,0.000,1.711,1.711,27.92
00:00.855,36.916,7.744,1.480,0.000,1.683,2.353,20.24,43.292,9.308,1.302,0.000,1.612,1.614,24.09,50.648,11.238,1.288,0.000,1.465,1.913,27.86,57.059,14.936,1.445,0.000,2.964,2.172,29.79,62.088,18.903,1.269,0.000,1.438,1.841,30.61,66.389,24.774,1.508,0.000,3.638,2.693,29.33,70.621,28.999,1.796,0.000,2.989,1.982,29.88,73.209,35.071,2.184,0.000,2.753,2.351,27.32
00:00.855,36.916,7.744,1.825,0.015,1.683,2.353,20.24,43.292,9.308,1.596,0.048,1.612,1.614,24.09,50.648,11.238,1.569,0.034,1.465,1.913,27.86,57.059,14.936,1.781,0.021,2.964,2.172,29.79,62.088,18.903,1.537,0.021,1.438,1.841,30.61,66.389,24.774,1.846,-0.030,3.638,2.693,29.33,70.621,28.999,2.073,0.034,2.989,1.982,29.88,73.209,35.071,2.504,-0.116,2.753,2.351,27.32
00:00.855,36.916,7.744,2.122,0.027,1.683,2.353,20.24,43.292,9.308,1.848,0.089,1.612,1.614,24.09,50.648,11.238,1.811,0.064,1.465,1.913,27.86,57.059,14.936,2.069,0.039,2.964,2.172,29.79,62.088,18.903,1.766,0.039,1.438,1.841,30.61,66.389,24.774,2.136,-0.055,3.638,2.693,29.33,70.621,28.999,2.311,0.063,2.989,1.982,29.88,73.209,35.071,2.779,-0.215,2.753,2.351,27.32
