,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,SWEDEN,SWEDEN,SWEDEN,SWEDEN,SWEDEN,SWEDEN,SWEDEN,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.349,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.449,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.061,0.000,0.000,0.000,.00,0,0,0.500,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.228,0.000,0.000,0.000,.00,0,0,0.500,0.000,0.000,0.000,.00,0,0,0.336,0.000,0.000,0.000,.00
00:00.449,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.097,0.000,0.000,0.000,.00,0,0,1.200,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.365,0.000,0.000,0.000,.00,0,0,0.916,0.000,0.000,0.000,.00,0,0,0.537,0.000,0.000,0.000,.00
00:00.449,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.121,0.000,0.000,0.000,.00,0,0,2.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.456,0.000,0.000,0.000,.00,0,0,1.193,0.000,0.000,0.000,.00,0,0,0.671,0.000,0.000,0.000,.00
00:00.549,0,0,0.000,0.000,0.000,0.000,.00,58.123,17.261,0.138,0.000,0.121,0.121,.00,72.382,39.18,2.857,0.000,14.887,14.887,.00,69.554,34.167,0.000,0.000,0.000,0.000,.00,72.111,44.281,0.521,0.000,0.456,0.456,.00,71.933,54.752,1.391,0.000,1.290,1.290,.00,70.487,63.286,0.767,0.000,0.671,0.671,.00
00:00.649,0,0,0.000,0.000,0.000,0.000,.00,58.396,17.557,0.151,0.000,0.473,0.473,28.89,70.319,35.667,3.750,0.000,15.015,15.015,23.48,69.633,34.557,0.000,0.000,0.341,0.341,25.02,72.109,44.81,0.570,0.000,0.984,0.984,19.68,71.9,54.884,1.540,0.000,1.427,1.427,12.15,69.916,63.742,0.839,0.000,1.314,1.314,5.09
00:00.649,0,0,0.000,0.000,0.000,0.000,.00,58.396,17.557,0.277,0.231,0.473,0.473,28.89,70.319,35.667,4.667,-1.640,15.015,15.015,23.48,69.633,34.557,0.135,0.270,0.341,0.341,25.02,72.109,44.81,0.735,0.255,0.984,0.984,19.68,71.9,54.884,1.667,0.023,1.427,1.427,12.15,69.916,63.742,0.999,0.209,1.314,1.314,5.09
00:00.649,0,0,0.000,0.000,0.000,0.000,.00,58.396,17.557,0.377,0.416,0.473,0.473,28.89,70.319,35.667,5.600,-2.952,15.015,15.015,23.48,69.633,34.557,0.243,0.487,0.341,0.341,25.02,72.109,44.81,0.868,0.458,0.984,0.984,19.68,71.9,54.884,1.768,0.041,1.427,1.427,12.15,69.916,63.742,1.128,0.376,1.314,1.314,5.09
00:00.749,0,0,0.000,0.000,0.000,0.000,.00,58.806,18.129,0.459,0.567,0.473,1.174,28.88,67.63,30.805,6.545,-4.025,15.015,15.015,24.50,69.721,35.145,0.332,0.664,0.905,0.905,24.80,72.088,45.389,0.976,0.625,0.984,1.539,19.30,71.989,55.093,1.851,0.056,1.427,1.613,12.03,69.816,64.323,1.233,0.513,1.314,1.883,4.37
00:00.849,0,0,0.000,0.000,0.000,0.000,.00,59.019,18.48,0.528,0.693,1.577,1.581,28.76,62.145,20.79,7.500,-4.920,15.015,15.015,26.04,69.868,35.812,0.406,0.811,0.905,1.588,24.45,72.006,46.002,1.066,0.764,2.092,2.153,18.88,72.034,55.294,1.921,0.068,1.427,1.800,11.95,69.608,64.818,1.320,0.627,2.549,2.420,3.88
00:00.849,0,0,0.000,0.000,0.000,0.000,.00,59.019,18.48,0.586,0.799,1.577,1.581,28.76,62.145,20.79,8.462,-5.677,15.015,15.015,26.04,69.868,35.812,0.468,0.936,0.905,1.588,24.45,72.006,46.002,1.142,0.882,2.092,2.153,18.88,72.034,55.294,1.979,0.078,1.427,1.800,11.95,69.608,64.818,1.394,0.724,2.549,2.420,3.88
00:00.849,0,0,0.000,0.000,0.000,0.000,.00,59.019,18.48,0.635,0.891,1.577,1.581,28.76,62.145,20.79,9.429,-6.326,15.015,15.015,26.04,69.868,35.812,0.522,1.043,0.905,1.588,24.45,72.006,46.002,1.208,0.982,2.092,2.153,18.88,72.034,55.294,2.029,0.087,1.427,1.800,11.95,69.608,64.818,1.458,0.807,2.549,2.420,3.88
00:00.949,0,0,0.000,0.000,0.000,0.000,.00,59.313,18.899,0.765,0.978,1.577,2.090,28.67,62.636,21.737,10.133,-6.828,15.015,15.015,29.24,70.019,36.33,0.652,1.137,2.579,2.126,24.08,71.908,46.596,1.341,1.069,2.092,2.749,18.39,71.915,55.722,2.124,0.117,1.427,2.226,11.84,69.427,65.241,1.581,0.881,2.549,2.880,3.39
00:01.049,0,0,0.000,0.000,0.000,0.000,.00,59.478,19.081,0.937,1.125,1.577,2.322,28.58,65.27,26.689,11.333,-7.752,15.015,15.015,28.92,70.06,36.637,0.818,1.301,2.579,2.434,23.82,71.852,47.05,1.554,1.222,3.312,3.204,17.90,71.694,56.245,2.353,0.153,1.427,2.787,11.45,69.238,65.536,1.801,1.009,3.549,3.228,2.96
00:01.150,0,0,0.000,0.000,0.000,0.000,.00,59.784,19.404,1.109,1.272,2.745,2.742,28.56,65.297,26.898,12.453,-8.677,15.015,15.015,27.28,70.106,37.13,0.984,1.465,3.918,2.901,23.63,71.811,47.514,1.767,1.374,3.312,3.661,17.54,71.479,56.738,2.583,0.188,2.939,3.319,10.92,68.962,65.968,2.021,1.137,3.549,3.746,2.62
00:01.250,0,0,0.000,0.000,0.000,0.000,.00,60.229,19.951,1.281,1.419,2.745,3.448,28.55,65.158,26.981,13.573,-9.601,15.015,15.015,27.15,70.169,37.66,1.149,1.629,3.918,3.434,23.32,71.791,48.014,1.981,1.527,3.312,4.149,17.18,71.355,57.222,2.813,0.224,2.939,3.818,10.42,68.811,66.5,2.241,1.265,3.549,4.280,2.12
00:01.349,0,0,0.000,0.000,0.000,0.000,.00,60.635,20.506,1.437,1.567,3.894,4.135,28.48,64.696,26.404,14.559,-10.525,15.015,15.015,27.00,70.284,38.243,1.315,1.793,3.918,4.028,22.99,71.72,48.703,2.133,1.679,4.738,4.842,16.81,71.31,57.738,2.987,0.289,3.976,4.312,9.99,68.576,67.118,2.445,1.397,4.950,4.937,1.63
00:01.449,0,0,0.000,0.000,0.000,0.000,.00,61.066,21.099,1.675,1.718,5.311,4.825,28.38,64.748,26.616,15.279,-11.358,15.015,15.015,27.08,70.405,38.98,1.567,1.958,5.048,4.765,22.66,71.607,49.498,2.365,1.833,6.225,5.631,16.28,71.156,58.311,3.123,0.355,5.075,4.905,9.60,68.302,67.741,2.648,1.529,6.283,5.615,1.03
00:01.550,0,0,0.000,0.000,0.000,0.000,.00,61.503,21.697,1.913,1.869,5.311,5.566,28.26,64.993,27.261,15.732,-12.191,15.015,15.015,26.96,70.53,39.805,1.818,2.124,5.048,5.583,22.22,71.508,50.382,2.596,1.987,6.225,6.521,15.63,70.935,59.027,3.259,0.421,5.075,5.654,9.08,67.922,68.448,2.852,1.662,6.283,6.408,.40
00:01.649,0,0,0.000,0.000,0.000,0.000,.00,61.94,22.323,2.150,2.020,5.311,6.330,28.15,65.481,28.425,16.038,-13.024,15.015,15.015,26.68,70.595,40.617,2.070,2.290,6.628,6.397,21.73,71.429,51.085,2.828,2.141,6.225,7.228,14.94,70.695,59.77,3.395,0.487,5.075,6.435,8.42,67.677,69.073,3.055,1.794,6.283,7.071,.37
00:01.749,0,0,0.000,0.000,0.000,0.000,.00,62.307,22.965,2.388,2.171,6.815,7.022,28.01,66.391,30.419,16.211,-13.857,15.015,15.015,26.20,70.656,41.385,2.321,2.455,6.628,7.142,21.20,71.319,51.833,3.060,2.295,7.866,7.969,14.39,70.414,60.557,3.530,0.552,6.634,7.252,7.73,67.307,69.71,3.259,1.927,7.789,7.809,.99
00:01.849,0,0,0.000,0.000,0.000,0.000,.00,62.713,23.628,2.641,2.188,6.815,7.801,27.82,68.132,33.86,16.118,-13.603,15.015,15.015,25.44,70.722,42.055,2.570,2.457,8.214,7.815,20.70,71.205,52.678,3.287,2.294,7.866,8.821,13.78,70.111,61.383,3.723,0.620,6.634,8.133,6.97,66.906,70.421,3.466,1.933,7.789,8.598,1.70
00:01.949,0,0,0.000,0.000,0.000,0.000,.00,63.092,24.299,2.893,2.205,8.336,8.572,27.64,68.361,34.583,15.814,-13.349,15.015,15.015,24.23,70.767,42.863,2.819,2.458,9.687,8.618,20.27,71.055,53.546,3.514,2.292,9.439,9.701,13.10,69.81,62.147,3.916,0.687,8.329,8.935,6.17,66.494,71.114,3.673,1.940,9.311,9.410,2.49
00:02.050,0,0,0.000,0.000,0.000,0.000,.00,63.466,24.98,3.145,2.221,8.336,9.310,27.43,68.588,35.478,15.377,-13.095,15.015,15.015,23.88,70.814,43.664,3.068,2.459,9.687,9.400,19.73,70.914,54.342,3.741,2.291,9.439,10.493,12.38,69.547,62.887,4.109,0.755,8.329,9.720,5.42,66.085,71.852,3.880,1.947,9.311,10.251,3.27
00:02.150,0,0,0.000,0.000,0.000,0.000,.00,63.842,25.79,3.398,2.238,9.885,10.203,27.21,68.809,36.404,14.807,-12.841,15.015,15.015,23.41,70.858,44.52,3.317,2.461,11.346,10.249,19.20,70.767,55.147,3.968,2.290,11.129,11.311,11.72,69.266,63.691,4.302,0.823,9.936,10.568,4.71,65.585,72.498,4.087,1.954,10.960,11.045,4.08
00:02.250,0,0,0.000,0.000,0.000,0.000,.00,64.216,26.653,3.650,2.255,9.885,11.103,26.91,68.982,37.051,14.103,-12.587,15.015,15.015,22.91,70.91,45.267,3.566,2.462,11.346,11.003,18.62,70.619,56.049,4.195,2.288,11.129,12.198,11.05,68.955,64.469,4.494,0.890,9.936,11.382,3.94,65.064,73.146,4.294,1.961,10.960,11.875,4.89
00:02.349,0,0,0.000,0.000,0.000,0.000,.00,64.57,27.497,3.902,2.272,11.711,12.018,26.56,69.188,37.713,13.267,-12.333,15.015,15.015,22.58,70.949,46.136,3.815,2.463,11.346,11.841,18.13,70.402,56.945,4.423,2.287,12.861,13.120,10.30,68.59,65.24,4.687,0.958,11.626,12.236,3.17,64.496,73.8,4.501,1.968,12.615,12.720,5.71
00:02.449,0,0,0.000,0.000,0.000,0.000,.00,64.934,28.295,4.141,2.278,11.711,12.884,26.21,69.341,38.616,12.559,-11.958,15.015,15.015,22.26,70.929,47.03,4.045,2.455,12.977,12.734,17.55,70.15,57.792,4.631,2.276,12.861,14.004,9.52,68.22,66.025,4.887,1.011,11.626,13.104,2.37,63.901,74.462,4.695,1.967,12.615,13.609,6.58
00:02.549,0,0,0.000,0.000,0.000,0.000,.00,65.275,29.095,4.380,2.284,13.503,13.737,25.91,69.486,39.585,11.985,-11.583,15.015,15.015,21.73,70.82,47.973,4.274,2.446,14.803,13.653,16.90,69.909,58.626,4.839,2.266,14.666,14.849,8.74,67.839,66.816,5.086,1.065,13.346,13.952,1.55,63.357,75.086,4.889,1.966,14.371,14.438,7.47
00:02.650,0,0,0.000,0.000,0.000,0.000,.00,65.591,29.967,4.619,2.290,13.503,14.665,25.58,69.629,40.524,11.492,-11.208,15.768,15.768,21.14,70.728,48.879,4.504,2.437,14.803,14.563,16.16,69.66,59.463,5.047,2.255,14.666,15.723,7.98,67.406,67.653,5.285,1.119,13.346,14.894,.72,62.741,75.682,5.083,1.964,14.371,15.277,8.29
00:02.749,0,0,0.000,0.000,0.000,0.000,.00,65.895,30.844,4.858,2.296,15.299,15.560,25.19,69.739,41.323,10.998,-10.833,17.698,16.574,20.58,70.586,49.706,4.734,2.429,14.803,15.399,15.45,69.353,60.376,5.255,2.245,16.407,16.660,7.21,66.965,68.441,5.485,1.173,15.166,15.768,.17,62.101,76.26,5.277,1.963,16.054,16.136,9.15
00:02.849,0,0,0.000,0.000,0.000,0.000,.00,66.227,31.772,5.097,2.302,15.299,16.547,24.78,69.83,42.324,10.504,-10.458,17.698,17.538,20.09,70.483,50.607,4.963,2.420,16.567,16.277,14.76,69.023,61.246,5.463,2.234,16.407,17.590,6.35,66.528,69.244,5.655,1.199,15.166,16.674,1.04,61.472,76.878,5.445,1.949,16.054,17.017,10.01
00:02.950,0,0,0.000,0.000,0.000,0.000,.00,66.509,32.696,5.307,2.291,17.221,17.487,24.36,69.845,43.379,10.152,-10.033,19.510,18.593,19.45,70.337,51.519,5.155,2.395,16.567,17.201,14.05,68.714,62.052,5.642,2.211,18.300,18.453,5.50,66.065,70.003,5.826,1.225,16.975,17.571,1.92,60.826,77.49,5.614,1.935,17.790,17.902,10.89
00:03.050,0,0,0.000,0.000,0.000,0.000,.00,66.794,33.629,5.516,2.281,17.221,18.463,23.91,69.852,44.454,9.933,-9.608,20.565,19.627,18.71,70.226,52.418,5.346,2.369,18.397,18.079,13.31,68.375,62.852,5.820,2.189,18.300,19.292,4.71,65.564,70.777,5.997,1.251,16.975,18.456,2.78,60.136,78.035,5.782,1.921,17.790,18.776,11.78
00:03.149,0,0,0.000,0.000,0.000,0.000,.00,67.037,34.506,5.726,2.271,19.162,19.348,23.45,69.853,45.315,9.727,-9.183,21.640,20.488,17.96,70.081,53.154,5.538,2.344,18.397,18.829,12.59,68.023,63.719,5.999,2.166,20.031,20.227,3.91,65.002,71.577,6.167,1.277,18.793,19.431,3.69,59.483,78.6,5.950,1.907,19.565,19.642,12.66
00:03.250,0,0,0.000,0.000,0.000,0.000,.00,67.225,35.447,5.936,2.261,19.162,20.309,23.00,69.83,46.333,9.521,-8.758,21.640,21.500,17.35,69.945,54.04,5.729,2.318,20.051,19.724,11.97,67.572,64.593,6.177,2.143,20.031,21.182,3.04,64.447,72.36,6.338,1.303,18.793,20.360,4.65,58.738,79.18,6.118,1.893,19.565,20.584,13.52
00:03.349,0,0,0.000,0.000,0.000,0.000,.00,67.409,36.349,6.103,2.232,21.021,21.229,22.47,69.74,47.381,9.451,-8.333,23.519,22.523,16.61,69.721,54.916,5.889,2.284,20.051,20.599,11.25,67.155,65.403,6.324,2.110,21.949,22.094,2.11,63.884,73.088,6.484,1.311,20.731,21.281,5.60,58.042,79.746,6.259,1.869,21.372,21.480,14.45
00:03.449,0,0,0.000,0.000,0.000,0.000,.00,67.602,37.338,6.270,2.204,21.021,22.213,21.96,69.67,48.443,9.457,-7.908,24.561,23.588,15.81,69.455,55.814,6.049,2.249,21.850,21.534,10.47,66.718,66.233,6.472,2.078,21.949,23.031,1.24,63.283,73.834,6.631,1.318,20.731,22.239,6.51,57.35,80.31,6.400,1.845,21.372,22.386,15.35
00:03.549,0,0,0.000,0.000,0.000,0.000,.00,67.754,38.239,6.438,2.175,22.958,23.128,21.40,69.56,49.448,9.462,-7.483,25.634,24.564,15.01,69.172,56.738,6.209,2.214,21.850,22.477,9.65,66.262,67.049,6.619,2.045,23.797,23.939,.34,62.645,74.543,6.778,1.325,22.609,23.159,7.46,56.64,80.882,6.541,1.821,23.161,23.299,16.24
00:03.650,0,0,0.000,0.000,0.000,0.000,.00,67.882,39.186,6.605,2.146,22.958,24.062,20.87,69.449,50.386,9.468,-7.058,26.645,25.508,14.22,68.878,57.683,6.369,2.179,23.752,23.466,8.79,65.742,67.873,6.766,2.012,23.797,24.914,.56,61.953,75.286,6.924,1.333,22.609,24.173,8.41,55.907,81.464,6.681,1.797,23.161,24.248,17.14
00:03.749,0,0,0.000,0.000,0.000,0.000,.00,67.987,40.159,6.772,2.117,24.817,25.042,20.29,69.3,51.364,9.474,-6.634,26.645,26.459,13.48,68.643,58.596,6.529,2.144,23.752,24.407,7.92,65.245,68.658,6.913,1.980,25.705,25.816,1.51,61.346,75.98,7.071,1.340,24.578,25.068,9.43,55.216,82.009,6.822,1.773,25.008,25.129,18.07
00:03.849,0,0,0.000,0.000,0.000,0.000,.00,68.131,41.124,6.974,2.074,24.817,25.996,19.68,69.171,52.385,9.483,-6.131,28.579,27.488,12.68,68.357,59.502,6.726,2.095,25.684,25.328,7.10,64.71,69.432,7.090,1.932,25.705,26.757,2.41,60.685,76.65,7.249,1.342,24.578,26.007,10.35,54.46,82.573,6.990,1.735,25.008,26.072,18.95
00:03.950,0,0,0.000,0.000,0.000,0.000,.00,68.244,42.039,7.102,2.033,26.790,26.917,19.10,68.956,53.396,9.495,-5.809,29.610,28.488,11.87,68.029,60.394,6.858,2.055,25.684,26.278,6.26,64.15,70.218,7.211,1.894,27.566,27.721,3.34,59.995,77.346,7.370,1.335,26.431,26.948,11.29,53.719,83.089,7.102,1.703,26.822,26.987,19.88
00:04.050,0,0,0.000,0.000,0.000,0.000,.00,68.351,42.996,7.230,1.992,28.646,27.852,18.53,68.745,54.262,9.508,-5.487,30.641,29.379,11.00,67.654,61.287,6.989,2.015,27.583,27.223,5.40,63.565,71.024,7.331,1.857,29.518,28.696,4.29,59.257,78.01,7.491,1.328,28.393,27.949,12.27,52.939,83.62,7.215,1.671,28.659,27.932,20.77
