,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,SWEDEN,SWEDEN,SWEDEN,SWEDEN,SWEDEN,SWEDEN,SWEDEN,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,48.73,11.656,0.000,0.000,0.139,0.139,.00,58.317,17.453,0.000,0.000,0.343,0.343,.00,0,0,0.000,0.000,0.000,0.000,.00,69.615,34.415,0.000,0.000,0.200,0.200,.00,72.086,44.739,0.000,0.000,0.913,0.913,.00,71.777,54.854,0.000,0.000,1.423,1.423,.00,69.795,63.59,0.000,0.000,1.227,1.227,.00
00:00.000,48.73,11.656,0.000,0.000,0.139,0.139,.00,58.317,17.453,0.000,0.000,0.343,0.343,.00,0,0,0.000,0.000,0.000,0.000,.00,69.615,34.415,0.000,0.000,0.200,0.200,.00,72.086,44.739,0.000,0.000,0.913,0.913,.00,71.777,54.854,0.000,0.000,1.423,1.423,.00,69.795,63.59,0.000,0.000,1.227,1.227,.00
00:00.713,49.068,11.728,0.000,0.000,0.464,0.464,26.22,58.756,18.012,0.000,0.000,1.053,1.053,28.90,67.612,30.591,0.000,0.000,7.937,7.937,.00,69.691,35.035,0.000,0.000,0.791,0.791,24.89,72.126,45.291,0.000,0.000,1.440,1.440,19.34,71.948,55.069,0.000,0.000,1.598,1.598,11.97,69.8,64.206,0.000,0.000,1.785,1.785,4.39
00:00.813,49.492,11.671,0.000,0.000,0.464,0.775,26.40,59.001,18.352,0.000,0.000,1.053,1.472,28.81,63.877,23.657,0.000,0.000,7.937,7.937,26.18,69.85,35.729,0.000,0.000,0.791,1.503,24.51,72.044,45.942,0.000,0.000,1.440,2.092,18.98,72.053,55.22,0.000,0.000,1.598,1.724,11.94,69.661,64.728,0.000,0.000,1.785,2.317,3.96
00:00.813,49.492,11.671,0.000,0.000,0.464,0.775,26.40,59.001,18.352,0.400,0.000,1.053,1.472,28.81,63.877,23.657,0.400,0.000,7.937,7.937,26.18,69.85,35.729,0.400,0.000,0.791,1.503,24.51,72.044,45.942,0.400,0.000,1.440,2.092,18.98,72.053,55.22,0.400,0.000,1.598,1.724,11.94,69.661,64.728,0.400,0.000,1.785,2.317,3.96
00:00.813,49.492,11.671,0.333,0.000,0.464,0.775,26.40,59.001,18.352,1.000,0.000,1.053,1.472,28.81,63.877,23.657,1.000,0.000,7.937,7.937,26.18,69.85,35.729,1.000,0.000,0.791,1.503,24.51,72.044,45.942,1.000,0.000,1.440,2.092,18.98,72.053,55.22,1.000,0.000,1.598,1.724,11.94,69.661,64.728,1.000,0.000,1.785,2.317,3.96
00:00.913,50.29,12.145,0.857,0.000,0.464,1.682,26.74,59.295,18.896,1.594,0.000,2.182,2.076,28.74,60.498,17.845,1.714,0.000,7.937,7.937,28.44,70.019,36.343,1.622,0.000,2.125,2.139,24.13,71.942,46.566,1.714,0.000,2.643,2.718,18.46,71.981,55.618,1.619,0.000,1.598,2.108,11.90,69.446,65.25,1.714,0.000,2.930,2.880,3.49
00:01.013,50.954,12.589,1.370,0.000,2.098,2.481,26.97,59.6,19.34,2.040,0.000,2.182,2.579,28.57,63.851,23.935,2.500,0.000,7.937,7.937,30.16,70.099,36.9,2.089,0.000,2.125,2.673,23.81,71.84,47.267,2.350,0.000,2.643,3.401,17.94,71.811,56.154,2.084,0.000,1.598,2.668,11.57,69.208,65.664,2.338,0.000,2.930,3.357,2.97
00:01.013,50.954,12.589,1.769,0.000,2.098,2.481,26.97,59.6,19.34,2.386,0.000,2.182,2.579,28.57,63.851,23.935,3.333,0.000,7.937,7.937,30.16,70.099,36.9,2.452,0.000,2.125,2.673,23.81,71.84,47.267,2.845,0.000,2.643,3.401,17.94,71.811,56.154,2.445,0.000,1.598,2.668,11.57,69.208,65.664,2.824,0.000,2.930,3.357,2.97
00:01.013,50.954,12.589,2.088,0.000,2.098,2.481,26.97,59.6,19.34,2.663,0.000,2.182,2.579,28.57,63.851,23.935,4.200,0.000,7.937,7.937,30.16,70.099,36.9,2.742,0.000,2.125,2.673,23.81,71.84,47.267,3.241,0.000,2.643,3.401,17.94,71.811,56.154,2.734,0.000,1.598,2.668,11.57,69.208,65.664,3.212,0.000,2.930,3.357,2.97
00:01.114,51.302,13.036,2.373,0.048,2.098,2.983,27.13,59.817,19.483,2.897,0.014,3.340,2.825,28.47,64.545,25.397,4.900,-0.720,7.937,7.937,28.22,70.134,37.323,2.980,-0.001,3.325,3.096,23.48,71.812,47.654,3.541,-0.047,3.987,3.789,17.38,71.532,56.717,2.975,0.007,2.898,3.285,11.07,68.979,66.013,3.503,-0.053,3.969,3.771,2.51
00:01.213,51.684,13.408,2.610,0.087,3.446,3.513,27.06,60.235,19.946,3.092,0.027,3.340,3.448,28.52,65.209,26.92,5.484,-1.320,7.937,7.937,27.68,70.165,37.72,3.177,-0.002,3.325,3.493,23.20,71.802,48.03,3.791,-0.087,3.987,4.165,17.08,71.364,57.191,3.175,0.013,2.898,3.786,10.48,68.829,66.459,3.745,-0.097,3.969,4.235,2.10
00:01.213,51.684,13.408,2.811,0.121,3.446,3.513,27.06,60.235,19.946,3.257,0.037,3.340,3.448,28.52,65.209,26.92,5.978,-1.828,7.937,7.937,27.68,70.165,37.72,3.344,-0.002,3.325,3.493,23.20,71.802,48.03,4.002,-0.120,3.987,4.165,17.08,71.364,57.191,3.344,0.018,2.898,3.786,10.48,68.829,66.459,3.951,-0.135,3.969,4.235,2.10
00:01.213,51.684,13.408,2.983,0.150,3.446,3.513,27.06,60.235,19.946,3.399,0.045,3.340,3.448,28.52,65.209,26.92,6.401,-2.263,7.937,7.937,27.68,70.165,37.72,3.488,-0.003,3.325,3.493,23.20,71.802,48.03,4.183,-0.149,3.987,4.165,17.08,71.364,57.191,3.489,0.023,2.898,3.786,10.48,68.829,66.459,4.126,-0.167,3.969,4.235,2.10
00:01.313,52.042,13.736,3.133,0.175,3.446,3.997,27.07,60.607,20.47,3.558,0.069,3.340,4.090,28.49,64.843,26.588,6.651,-2.567,7.937,7.937,27.07,70.27,38.236,3.649,0.016,3.325,4.019,22.94,71.742,48.67,4.362,-0.155,3.987,4.807,16.81,71.308,57.684,3.658,0.047,4.031,4.261,10.02,68.61,67.043,4.300,-0.174,3.969,4.855,1.68
00:01.413,52.547,14.242,3.536,0.229,4.468,4.707,27.09,61.008,21.026,3.945,0.095,4.855,4.733,28.38,64.767,26.592,7.328,-3.022,7.937,7.937,27.05,70.391,38.922,4.043,0.034,4.672,4.715,22.65,71.633,49.389,4.819,-0.170,5.394,5.519,16.31,71.195,58.212,4.060,0.072,4.031,4.799,9.63,68.367,67.659,4.750,-0.192,5.475,5.513,1.11
00:01.514,53.108,14.826,3.940,0.283,4.468,5.486,27.09,61.355,21.5,4.331,0.122,4.855,5.320,28.27,64.984,27.15,8.005,-3.476,7.937,7.937,26.99,70.5,39.568,4.437,0.052,4.672,5.344,22.25,71.542,50.118,5.276,-0.186,5.394,6.255,15.73,70.998,58.799,4.462,0.098,5.065,5.417,9.18,68.087,68.168,5.199,-0.210,5.475,6.083,.50
00:01.613,53.66,15.465,4.344,0.336,5.992,6.322,27.07,61.772,22.056,4.717,0.148,6.127,6.015,28.18,65.255,27.944,8.682,-3.931,7.937,7.937,26.75,70.575,40.348,4.831,0.071,6.023,6.127,21.87,71.455,50.834,5.733,-0.201,6.855,6.976,15.15,70.781,59.537,4.864,0.124,6.443,6.188,8.63,67.789,68.813,5.648,-0.229,6.716,6.791,.06
00:01.714,54.234,16.11,4.748,0.390,5.992,7.168,27.01,62.169,22.706,5.103,0.175,6.127,6.730,28.08,66.072,29.712,9.359,-4.386,7.937,7.937,26.38,70.649,41.075,5.225,0.089,6.023,6.858,21.37,71.372,51.567,6.190,-0.217,6.855,7.703,14.58,70.503,60.279,5.266,0.149,6.443,6.961,7.95,67.475,69.452,6.097,-0.247,6.716,7.500,.72
00:01.813,54.82,16.648,5.152,0.444,7.695,7.963,26.96,62.589,23.43,5.356,0.201,7.582,7.568,27.90,67.421,32.518,9.902,-4.840,7.937,7.937,25.71,70.697,41.795,5.486,0.107,7.538,7.554,20.91,71.241,52.364,6.514,-0.232,8.313,8.505,14.00,70.215,61.095,5.534,0.175,6.443,7.821,7.23,67.032,70.184,6.413,-0.265,8.138,8.337,1.40
00:01.914,55.454,17.477,5.445,0.496,7.695,8.995,26.99,62.957,24.062,5.525,0.246,7.582,8.298,27.69,68.277,34.333,10.280,-5.197,9.529,9.529,24.68,70.75,42.584,5.654,0.141,7.538,8.344,20.44,71.117,53.226,6.735,-0.229,8.313,9.375,13.35,69.935,61.845,5.709,0.214,8.105,8.628,6.45,66.644,70.873,6.621,-0.266,8.138,9.125,2.23
00:02.013,56.011,18.018,5.604,0.548,9.534,9.768,26.85,63.335,24.753,5.617,0.290,9.151,9.049,27.50,68.515,35.15,10.524,-5.555,11.539,10.381,24.00,70.791,43.38,5.733,0.176,9.051,9.139,19.92,70.974,54.043,6.822,-0.225,9.992,10.189,12.65,69.663,62.605,5.794,0.253,8.105,9.413,5.72,66.216,71.615,6.697,-0.267,9.785,9.981,2.99
00:02.114,56.546,18.488,5.700,0.599,9.534,10.477,26.87,63.706,25.447,5.709,0.334,9.151,9.835,27.28,68.752,36.054,10.635,-5.912,11.539,11.283,23.59,70.837,44.14,5.811,0.210,9.051,9.875,19.38,70.823,54.851,6.856,-0.222,9.992,11.010,11.97,69.358,63.412,5.880,0.291,9.712,10.273,4.99,65.774,72.254,6.725,-0.268,9.785,10.735,3.82
00:02.214,57.064,18.889,5.795,0.651,11.022,11.124,26.91,64.063,26.294,5.800,0.379,10.725,10.751,27.05,68.916,36.83,10.612,-6.269,13.324,12.076,23.12,70.905,44.994,5.889,0.244,10.609,10.730,18.88,70.668,55.739,6.890,-0.218,11.643,11.910,11.29,69.057,64.215,5.965,0.330,9.712,11.106,4.20,65.273,72.898,6.753,-0.268,11.411,11.551,4.58
00:02.314,57.607,19.414,5.891,0.702,12.423,11.859,26.99,64.461,27.207,5.939,0.436,12.634,11.710,26.71,69.129,37.439,10.455,-6.537,14.751,12.715,22.69,70.94,45.851,6.006,0.289,12.311,11.556,18.32,70.477,56.636,6.951,-0.202,13.448,12.802,10.56,68.734,64.96,6.091,0.379,11.435,11.921,3.42,64.699,73.593,6.806,-0.257,13.120,12.452,5.39
00:02.414,58.245,20.003,6.024,0.734,12.423,12.720,27.01,64.804,27.999,6.073,0.482,12.634,12.572,26.34,69.304,38.26,10.305,-6.277,14.751,13.517,22.41,70.957,46.699,6.124,0.335,12.311,12.401,17.74,70.257,57.484,7.030,-0.151,13.448,13.679,9.79,68.363,65.734,6.214,0.423,11.435,12.786,2.67,64.107,74.245,6.878,-0.206,13.120,13.311,6.29
00:02.514,58.755,20.602,6.158,0.765,12.423,13.479,27.04,65.16,28.806,6.206,0.528,12.634,13.427,26.03,69.433,39.219,10.154,-6.018,14.751,14.485,21.95,70.891,47.626,6.241,0.381,12.311,13.330,17.15,70.001,58.319,7.108,-0.100,13.448,14.529,9.03,68.008,66.516,6.338,0.467,13.101,13.608,1.86,63.577,74.868,6.949,-0.156,13.120,14.130,7.17
00:02.613,59.361,21.3,6.291,0.796,14.055,14.402,26.98,65.489,29.638,6.339,0.574,14.389,14.322,25.71,69.599,40.182,10.004,-5.758,16.557,15.424,21.36,70.787,48.563,6.359,0.426,14.099,14.243,16.45,69.764,59.144,7.187,-0.049,15.207,15.387,8.26,67.557,67.349,6.461,0.512,13.101,14.555,1.06,62.982,75.47,7.021,-0.106,14.837,14.951,7.98
00:02.713,59.831,22.082,6.425,0.827,14.055,15.288,26.91,65.807,30.53,6.473,0.620,14.389,15.235,25.35,69.71,41.02,9.853,-5.498,16.557,16.269,20.80,70.632,49.43,6.476,0.472,14.099,15.120,15.71,69.473,60.037,7.266,0.002,15.207,16.326,7.51,67.122,68.167,6.584,0.556,14.914,15.482,.15,62.343,76.042,7.093,-0.055,14.837,15.812,8.83
00:02.813,60.291,22.904,6.558,0.859,15.903,16.226,26.69,66.084,31.404,6.569,0.651,16.227,16.152,24.94,69.826,41.935,9.820,-5.312,18.386,17.192,20.29,70.545,50.26,6.556,0.499,15.921,15.926,14.99,69.168,60.939,7.323,0.033,17.009,17.251,6.67,66.707,68.954,6.664,0.579,14.914,16.340,.74,61.727,76.638,7.170,-0.015,16.535,16.667,9.69
00:02.913,60.88,23.867,6.673,0.873,15.903,17.354,26.44,66.416,32.341,6.701,0.684,16.227,17.120,24.52,69.852,42.969,9.791,-5.056,18.386,18.184,19.72,70.402,51.164,6.664,0.528,15.921,16.840,14.34,68.832,61.762,7.405,0.073,17.009,18.140,5.82,66.254,69.722,6.781,0.609,16.736,17.232,1.59,61.085,77.239,7.248,0.026,16.535,17.541,10.54
00:03.013,61.334,24.773,6.788,0.887,17.981,18.346,26.17,66.707,33.286,6.833,0.718,18.137,18.110,24.09,69.863,44.067,9.761,-4.801,20.341,19.281,19.01,70.283,52.091,6.773,0.558,17.670,17.774,13.60,68.499,62.592,7.487,0.113,18.849,19.004,5.00,65.742,70.509,6.898,0.639,16.736,18.135,2.45,60.416,77.824,7.325,0.066,18.271,18.428,11.42
00:03.114,61.72,25.474,6.903,0.902,18.993,19.145,25.85,66.956,34.228,6.965,0.752,18.137,19.084,23.63,69.845,45.039,9.732,-4.545,21.439,20.212,18.24,70.149,52.957,6.881,0.587,17.670,18.622,12.86,68.147,63.402,7.569,0.153,18.849,19.887,4.18,65.227,71.273,7.015,0.668,18.552,19.056,3.37,59.703,78.426,7.402,0.106,18.271,19.359,12.31
00:03.214,62.143,26.32,7.018,0.916,18.993,20.079,25.63,67.152,35.148,7.096,0.785,20.100,20.001,23.14,69.847,45.956,9.703,-4.289,21.439,21.129,17.54,69.975,53.718,6.989,0.617,19.480,19.402,12.16,67.737,64.274,7.651,0.193,20.626,20.851,3.36,64.664,72.053,7.132,0.698,18.552,20.019,4.28,58.978,78.979,7.479,0.147,20.085,20.272,13.24
00:03.313,62.599,27.245,7.133,0.930,20.739,21.110,25.33,67.345,36.041,7.228,0.819,20.100,20.914,22.63,69.77,46.982,9.674,-4.034,23.329,22.122,16.89,69.809,54.599,7.128,0.650,19.480,20.271,11.50,67.303,65.129,7.756,0.238,20.626,21.782,2.45,64.082,72.846,7.277,0.728,20.443,20.967,5.22,58.301,79.537,7.578,0.192,20.085,21.148,14.14
00:03.413,62.97,28.137,7.250,0.942,21.773,22.067,25.00,67.544,36.933,7.339,0.834,21.942,21.805,22.14,69.685,48.061,9.676,-3.826,24.358,23.206,16.11,69.576,55.459,7.227,0.667,21.143,21.162,10.76,66.869,65.932,7.829,0.263,22.548,22.694,1.54,63.502,73.566,7.382,0.745,20.443,21.893,6.20,57.597,80.11,7.650,0.220,21.874,22.068,15.02
00:03.513,63.338,29.062,7.367,0.954,21.773,23.061,24.63,67.697,37.907,7.449,0.848,21.942,22.790,21.65,69.602,49.127,9.678,-3.619,25.440,24.240,15.29,69.267,56.412,7.325,0.684,21.143,22.160,9.98,66.434,66.748,7.903,0.289,22.548,23.593,.66,62.864,74.3,7.488,0.762,22.350,22.831,7.12,56.883,80.688,7.723,0.248,21.874,22.977,15.92
00:03.613,63.68,30.007,7.484,0.965,23.730,24.063,24.24,67.832,38.838,7.559,0.863,23.852,23.711,21.06,69.483,50.048,9.681,-3.412,26.509,25.168,14.48,68.956,57.31,7.424,0.702,23.047,23.087,9.09,65.941,67.562,7.977,0.315,24.386,24.545,.22,62.213,75.02,7.594,0.779,22.350,23.802,8.09,56.132,81.266,7.795,0.276,23.700,23.935,16.83
00:03.714,64.095,30.883,7.601,0.977,24.735,25.030,23.81,67.938,39.808,7.670,0.878,25.759,24.687,20.50,69.358,51.006,9.683,-3.204,28.384,26.087,13.74,68.731,58.299,7.522,0.719,24.992,24.097,8.23,65.413,68.41,8.051,0.340,26.318,25.518,1.15,61.58,75.723,7.700,0.796,24.284,24.719,9.06,55.446,81.831,7.867,0.304,25.527,24.838,17.77
00:03.814,64.405,31.776,7.717,0.989,24.735,25.974,23.48,68.076,40.783,7.733,0.880,25.759,25.651,19.89,69.236,52.013,9.686,-3.086,28.384,27.110,12.98,68.461,59.175,7.582,0.726,24.992,24.986,7.38,64.881,69.156,8.117,0.356,26.318,26.432,2.12,60.938,76.389,7.789,0.800,24.284,25.646,10.00,54.757,82.368,7.931,0.320,25.527,25.712,18.66
00:03.913,64.686,32.554,7.803,0.982,26.646,26.800,23.07,68.214,41.686,7.820,0.879,25.759,26.563,19.30,69.04,53.042,9.688,-2.930,29.417,28.124,12.18,68.171,60.065,7.667,0.732,24.992,25.921,6.57,64.347,69.94,8.183,0.371,26.318,27.381,3.02,60.235,77.109,7.878,0.804,26.164,26.652,10.93,53.974,82.907,7.995,0.337,25.527,26.674,19.52
00:04.014,64.98,33.382,7.889,0.975,26.646,27.679,22.72,68.33,42.637,7.906,0.878,27.666,27.521,18.76,68.814,53.951,9.690,-2.775,30.465,29.060,11.31,67.783,60.963,7.752,0.738,26.861,26.874,5.73,63.788,70.711,8.249,0.387,28.199,28.312,3.95,59.517,77.778,7.967,0.809,26.164,27.601,11.93,53.24,83.424,8.059,0.353,27.358,27.572,20.46
00:04.114,65.234,34.377,7.975,0.969,28.351,28.703,22.34,68.339,43.595,7.992,0.877,27.666,28.451,18.17,68.621,54.829,9.691,-2.620,30.465,29.959,10.51,67.413,61.865,7.837,0.744,26.861,27.849,4.82,63.187,71.526,8.315,0.402,28.199,29.324,4.90,58.784,78.417,8.057,0.813,28.141,28.572,12.91,52.478,83.918,8.123,0.370,27.358,28.481,21.34
