,ID 1059,ID 1059,ID 1059,ID 1059,ID 1059,ID 1059,ID 1059,ID 1084,ID 1084,ID 1084,ID 1084,ID 1084,ID 1084,ID 1084,ID 966,ID 966,ID 966,ID 966,ID 966,ID 966,ID 966,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 923,ID 923,ID 923,ID 923,ID 923,ID 923,ID 923,ID 641,ID 641,ID 641,ID 641,ID 641,ID 641,ID 641,ID 820,ID 820,ID 820,ID 820,ID 820,ID 820,ID 820,ID 796,ID 796,ID 796,ID 796,ID 796,ID 796,ID 796
,LAROS,LAROS,LAROS,LAROS,LAROS,LAROS,LAROS,SOLBU,SOLBU,SOLBU,SOLBU,SOLBU,SOLBU,SOLBU,BARONTINI,BARONTINI,BARONTINI,BARONTINI,BARONTINI,BARONTINI,BARONTINI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,HULLER,HULLER,HULLER,HULLER,HULLER,HULLER,HULLER,MUJEZINOVIC,MUJEZINOVIC,MUJEZINOVIC,MUJEZINOVIC,MUJEZINOVIC,MUJEZINOVIC,MUJEZINOVIC,DODDS,DODDS,DODDS,DODDS,DODDS,DODDS,DODDS,MEZIANE,MEZIANE,MEZIANE,MEZIANE,MEZIANE,MEZIANE,MEZIANE
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,30.947,6.935,0.000,0.000,3.239,3.239,.00,34.757,6.188,0.000,0.000,3.239,3.239,.00,38.538,5.88,0.000,0.000,3.239,3.239,.00,42.239,5.795,0.000,0.000,3.239,3.239,.00,46.019,6.168,0.000,0.000,3.239,3.239,.00,49.479,6.399,0.000,0.000,3.239,3.239,.00,52.887,7.097,0.000,0.000,3.244,3.244,.00,56.364,8.04,0.000,0.000,3.245,3.245,.00
00:00.000,30.947,6.935,0.000,0.000,3.239,3.239,.00,34.757,6.188,0.000,0.000,3.239,3.239,.00,38.538,5.88,0.000,0.000,3.239,3.239,.00,42.239,5.795,0.000,0.000,3.239,3.239,.00,46.019,6.168,0.000,0.000,3.239,3.239,.00,49.479,6.399,0.000,0.000,3.239,3.239,.00,52.887,7.097,0.000,0.000,3.244,3.244,.00,56.364,8.04,0.000,0.000,3.245,3.245,.00
00:00.568,31.108,6.963,0.000,0.000,3.811,3.811,16.98,34.885,6.184,0.000,0.000,3.811,3.811,20.20,38.665,5.894,0.000,0.000,3.810,3.810,23.09,42.338,5.825,0.000,0.000,3.810,3.810,25.77,46.14,6.214,0.000,0.000,3.810,3.810,28.18,49.466,6.334,0.000,0.000,3.810,3.810,30.46,52.957,7.125,0.000,0.000,3.810,3.810,32.38,56.323,8.057,0.000,0.000,3.810,3.810,34.17
00:00.667,31.33,7.013,0.000,0.000,3.811,4.382,17.07,35.107,6.23,0.000,0.000,3.811,4.381,20.29,38.787,5.827,0.000,0.000,3.810,4.382,23.17,42.48,5.932,0.000,0.000,3.810,4.382,25.82,46.281,6.247,0.000,0.000,3.810,4.381,28.23,49.601,6.392,0.500,0.000,3.810,4.382,30.50,53.082,7.182,0.500,0.000,3.810,4.382,32.41,56.374,8.126,0.500,0.000,3.810,4.382,34.13
00:00.667,31.33,7.013,0.400,0.000,3.811,4.382,17.07,35.107,6.23,0.400,0.000,3.811,4.381,20.29,38.787,5.827,0.400,0.000,3.810,4.382,23.17,42.48,5.932,0.400,0.000,3.810,4.382,25.82,46.281,6.247,0.400,0.000,3.810,4.381,28.23,49.601,6.392,1.200,0.000,3.810,4.382,30.50,53.082,7.182,1.200,0.000,3.810,4.382,32.41,56.374,8.126,1.200,0.000,3.810,4.382,34.13
00:00.667,31.33,7.013,1.000,0.000,3.811,4.382,17.07,35.107,6.23,1.000,0.000,3.811,4.381,20.29,38.787,5.827,1.000,0.000,3.810,4.382,23.17,42.48,5.932,1.000,0.000,3.810,4.382,25.82,46.281,6.247,1.000,0.000,3.810,4.381,28.23,49.601,6.392,1.952,0.000,3.810,4.382,30.50,53.082,7.182,1.953,0.000,3.810,4.382,32.41,56.374,8.126,1.952,0.000,3.810,4.382,34.13
00:00.767,31.63,7.07,1.673,0.000,3.811,4.953,17.19,35.413,6.293,1.673,0.000,3.811,4.953,20.42,38.999,5.832,1.673,0.000,3.810,4.953,23.31,42.714,6.058,1.674,0.000,3.810,4.953,25.84,46.486,6.32,1.673,0.000,3.810,4.954,28.31,49.778,6.504,2.489,0.000,3.810,4.953,30.55,53.305,7.276,2.490,0.000,3.810,4.954,32.46,56.45,8.269,2.489,0.000,3.810,4.953,34.12
00:00.867,31.987,7.154,2.179,0.000,3.811,5.525,17.37,35.769,6.415,2.179,0.000,3.811,5.525,20.59,39.295,5.891,2.179,0.000,3.810,5.525,23.45,42.998,6.23,2.179,0.000,3.810,5.525,25.92,46.717,6.366,2.179,0.000,3.810,5.525,28.40,50.072,6.668,2.892,0.000,3.810,5.525,30.60,53.581,7.443,2.893,0.000,3.810,5.524,32.55,56.636,8.505,2.892,0.000,3.810,5.525,34.07
