,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 712,ID 712,ID 712,ID 712,ID 712,ID 712,ID 712,ID 661,ID 661,ID 661,ID 661,ID 661,ID 661,ID 661,ID 824,ID 824,ID 824,ID 824,ID 824,ID 824,ID 824,ID 966,ID 966,ID 966,ID 966,ID 966,ID 966,ID 966,ID 772,ID 772,ID 772,ID 772,ID 772,ID 772,ID 772,ID 1014,ID 1014,ID 1014,ID 1014,ID 1014,ID 1014,ID 1014,ID 647,ID 647,ID 647,ID 647,ID 647,ID 647,ID 647
,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,DE ARRIBA,DE ARRIBA,DE ARRIBA,DE ARRIBA,DE ARRIBA,DE ARRIBA,DE ARRIBA,DUDYCHA,DUDYCHA,DUDYCHA,DUDYCHA,DUDYCHA,DUDYCHA,DUDYCHA,GILES,GILES,GILES,GILES,GILES,GILES,GILES,BARONTINI,BARONTINI,BARONTINI,BARONTINI,BARONTINI,BARONTINI,BARONTINI,ANSELMINI,ANSELMINI,ANSELMINI,ANSELMINI,ANSELMINI,ANSELMINI,ANSELMINI,TECUCEANU,TECUCEANU,TECUCEANU,TECUCEANU,TECUCEANU,TECUCEANU,TECUCEANU,BLOUDEK,BLOUDEK,BLOUDEK,BLOUDEK,BLOUDEK,BLOUDEK,BLOUDEK
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.188,3.188,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.188,3.188,.00,0,0,0.000,0.000,3.188,3.188,.00
00:00.000,0,0,0.000,0.000,3.188,3.188,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.187,3.187,.00,0,0,0.000,0.000,3.188,3.188,.00,0,0,0.000,0.000,3.188,3.188,.00
00:00.558,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00,0,0,0.000,0.000,3.759,3.759,.00
00:00.658,31.403,7.192,0.000,0.000,3.759,4.331,.00,0,0,0.000,0.000,3.759,4.330,.00,39.032,6.04,0.000,0.000,3.759,4.330,.00,42.753,5.772,0.000,0.000,3.759,4.331,.00,0,0,0.000,0.000,3.759,4.331,.00,0,0,0.000,0.000,3.759,4.330,.00,53.076,7.139,0.000,0.000,3.759,4.331,.00,56.515,8.331,0.000,0.000,3.759,4.331,.00
00:00.658,31.403,7.192,0.000,0.000,3.759,4.331,.00,0,0,0.000,0.000,3.759,4.330,.00,39.032,6.04,0.000,0.000,3.759,4.330,.00,42.753,5.772,0.000,0.000,3.759,4.331,.00,0,0,0.000,0.000,3.759,4.331,.00,0,0,0.000,0.000,3.759,4.330,.00,53.076,7.139,0.000,0.000,3.759,4.331,.00,56.515,8.331,0.000,0.000,3.759,4.331,.00
00:00.658,31.403,7.192,0.333,0.000,3.759,4.331,.00,0,0,0.333,0.000,3.759,4.330,.00,39.032,6.04,0.333,0.000,3.759,4.330,.00,42.753,5.772,0.333,0.000,3.759,4.331,.00,0,0,0.333,0.000,3.759,4.331,.00,0,0,0.333,0.000,3.759,4.330,.00,53.076,7.139,0.333,0.000,3.759,4.331,.00,56.515,8.331,0.333,0.000,3.759,4.331,.00
00:00.758,31.709,7.247,0.857,0.000,3.759,4.902,17.12,-9.436,47.418,0.857,0.000,3.759,4.902,.00,39.371,6.164,0.857,0.000,3.759,4.901,23.33,43.129,5.958,0.857,0.000,3.759,4.902,26.15,46.225,5.76,0.857,0.000,3.759,4.902,.00,50.191,7.116,0.857,0.000,3.759,4.902,.00,53.38,7.365,0.857,0.000,3.759,4.901,32.48,56.602,8.316,0.857,0.000,3.759,4.902,34.07
00:00.858,32.146,7.305,1.464,0.000,3.759,5.473,17.30,-8.583,47.311,1.465,0.000,3.759,5.474,40.20,39.808,6.272,1.464,0.000,3.759,5.473,23.48,43.522,6.109,1.465,0.000,3.759,5.474,26.28,46.755,6.222,1.464,0.000,3.759,5.473,28.61,50.503,7.288,1.465,0.000,3.759,5.474,30.46,53.789,7.711,1.464,0.000,3.759,5.473,32.54,56.951,8.506,1.465,0.000,3.759,5.474,34.14
