,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.833,2.833,.00,0,0,0.000,0.000,2.833,2.833,.00,0,0,0.000,0.000,2.834,2.834,.00,0,0,0.000,0.000,2.833,2.833,.00,0,0,0.000,0.000,2.833,2.833,.00,0,0,0.000,0.000,2.833,2.833,.00
00:00.000,0,0,1.000,0.000,2.833,2.833,.00,0,0,1.000,0.000,2.833,2.833,.00,0,0,1.000,0.000,2.834,2.834,.00,0,0,1.000,0.000,2.833,2.833,.00,0,0,1.000,0.000,2.833,2.833,.00,0,0,1.000,0.000,2.833,2.833,.00
00:00.496,0,0,2.000,0.000,3.404,3.404,5.19,0,0,2.000,0.000,3.404,3.404,5.19,0,0,2.000,0.000,3.405,3.405,5.19,0,0,2.000,0.000,3.405,3.405,5.19,0,0,2.000,0.000,3.405,3.405,5.19,0,0,2.000,0.000,3.404,3.404,5.19
00:00.596,0,0,2.928,0.000,3.404,3.977,5.19,0,0,2.928,0.000,3.404,3.976,5.19,0,0,2.929,0.000,3.405,3.976,5.19,0,0,2.929,0.000,3.405,3.976,5.19,0,0,2.929,0.000,3.405,3.976,5.19,0,0,2.929,0.000,3.404,3.976,5.19
00:00.596,0,0,3.485,0.000,3.404,3.977,5.19,0,0,3.485,0.000,3.404,3.976,5.19,0,0,3.486,0.000,3.405,3.976,5.19,0,0,3.486,0.000,3.405,3.976,5.19,0,0,3.486,0.000,3.405,3.976,5.19,0,0,3.486,0.000,3.404,3.976,5.19
00:00.596,0,0,3.856,0.000,3.404,3.977,5.19,0,0,3.856,0.000,3.404,3.976,5.19,0,0,3.857,0.000,3.405,3.976,5.19,0,0,3.857,0.000,3.405,3.976,5.19,0,0,3.857,0.000,3.405,3.976,5.19,0,0,3.857,0.000,3.404,3.976,5.19
00:00.696,0,0,4.121,0.000,3.404,4.548,5.19,0,0,4.121,0.000,3.404,4.547,5.19,0,0,4.122,0.000,3.405,4.548,5.19,0,0,4.122,0.000,3.405,4.548,5.19,0,0,4.122,0.000,3.405,4.547,5.19,0,0,4.122,0.000,3.404,4.548,5.19
00:00.796,0,0,4.320,0.001,3.404,5.119,5.19,0,0,4.320,0.001,3.404,5.119,5.19,0,0,4.321,-0.001,3.405,5.119,5.19,0,0,4.321,-0.001,3.405,5.119,5.19,0,0,4.321,-0.001,3.405,5.119,5.19,0,0,4.321,0.000,3.404,5.119,5.19
00:00.796,0,0,4.475,0.001,3.404,5.119,5.19,0,0,4.475,0.001,3.404,5.119,5.19,0,0,4.476,-0.001,3.405,5.119,5.19,0,0,4.476,-0.001,3.405,5.119,5.19,0,0,4.476,-0.001,3.405,5.119,5.19,0,0,4.476,0.000,3.404,5.119,5.19
00:00.796,0,0,4.599,0.001,3.404,5.119,5.19,0,0,4.599,0.001,3.404,5.119,5.19,0,0,4.599,-0.001,3.405,5.119,5.19,0,0,4.599,-0.001,3.405,5.119,5.19,0,0,4.599,-0.001,3.405,5.119,5.19,0,0,4.600,0.000,3.404,5.119,5.19
00:00.896,0,0,4.700,0.001,3.404,5.690,5.19,0,0,4.700,0.001,3.404,5.691,5.19,0,0,4.701,-0.001,3.405,5.691,5.19,0,0,4.701,-0.001,3.405,5.690,5.19,0,0,4.701,-0.001,3.405,5.690,5.19,0,0,4.701,0.000,3.404,5.690,5.19
00:00.996,0,0,4.738,-0.022,3.404,6.262,5.19,0,0,4.738,-0.022,3.404,6.262,5.19,0,0,4.738,-0.024,3.405,6.262,5.19,0,0,4.738,-0.024,3.405,6.262,5.19,0,0,4.738,-0.024,3.405,6.261,5.19,0,0,4.739,-0.023,3.404,6.262,5.19
00:00.996,0,0,4.770,-0.042,3.404,6.262,5.19,0,0,4.770,-0.042,3.404,6.262,5.19,0,0,4.770,-0.044,3.405,6.262,5.19,0,0,4.770,-0.044,3.405,6.262,5.19,0,0,4.770,-0.044,3.405,6.261,5.19,0,0,4.771,-0.043,3.404,6.262,5.19
