,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.417,2.417,.00
00:00.000,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.416,2.416,.00,0,0,0.000,0.000,2.417,2.417,.00
00:00.423,0,0,0.000,0.000,2.988,2.988,.00,0,0,0.000,0.000,2.987,2.987,.00,0,0,0.000,0.000,2.987,2.987,.00,0,0,0.000,0.000,2.988,2.988,.00,0,0,0.000,0.000,2.987,2.987,.00,0,0,0.000,0.000,2.987,2.987,.00
00:00.523,0,0,0.000,0.000,2.988,3.559,.00,0,0,0.000,0.000,2.987,3.559,.00,0,0,0.000,0.000,2.987,3.559,.00,0,0,0.000,0.000,2.988,3.559,.00,0,0,0.000,0.000,2.987,3.559,.00,0,0,0.000,0.000,2.987,3.559,.00
00:00.523,0,0,0.400,0.000,2.988,3.559,.00,0,0,0.400,0.000,2.987,3.559,.00,0,0,0.400,0.000,2.987,3.559,.00,0,0,0.400,0.000,2.988,3.559,.00,0,0,0.400,0.000,2.987,3.559,.00,0,0,0.400,0.000,2.987,3.559,.00
00:00.523,0,0,1.000,0.000,2.988,3.559,.00,0,0,1.000,0.000,2.987,3.559,.00,0,0,1.000,0.000,2.987,3.559,.00,0,0,1.000,0.000,2.988,3.559,.00,0,0,1.000,0.000,2.987,3.559,.00,0,0,1.000,0.000,2.987,3.559,.00
00:00.623,0,0,1.674,0.000,2.988,4.131,.00,0,0,1.673,0.000,2.987,4.130,.00,0,0,1.673,0.000,2.987,4.130,.00,0,0,1.673,0.000,2.988,4.131,.00,0,0,1.673,0.000,2.987,4.130,.00,0,0,1.673,0.000,2.987,4.130,.00
00:00.723,49.622,10.548,2.179,0.000,2.988,4.702,.00,56.106,13.803,2.178,0.000,2.987,4.701,.00,0,0,2.179,0.000,2.987,4.701,.00,65.938,22.812,2.178,0.000,2.988,4.701,.00,69.809,28.725,2.178,0.000,2.987,4.701,.00,73.124,33.703,2.179,0.000,2.987,4.702,.00
00:00.723,49.622,10.548,2.572,0.000,2.988,4.702,.00,56.106,13.803,2.571,0.000,2.987,4.701,.00,0,0,2.571,0.000,2.987,4.701,.00,65.938,22.812,2.571,0.000,2.988,4.701,.00,69.809,28.725,2.571,0.000,2.987,4.701,.00,73.124,33.703,2.571,0.000,2.987,4.702,.00
00:00.723,49.622,10.548,2.886,0.000,2.988,4.702,.00,56.106,13.803,2.885,0.000,2.987,4.701,.00,0,0,2.886,0.000,2.987,4.701,.00,65.938,22.812,2.885,0.000,2.988,4.701,.00,69.809,28.725,2.885,0.000,2.987,4.701,.00,73.124,33.703,2.886,0.000,2.987,4.702,.00
00:00.823,50.045,10.914,3.143,0.000,2.988,5.273,27.63,56.405,14.109,3.142,0.000,2.987,5.274,29.91,0,0,3.143,0.000,2.987,5.273,.00,66.137,23.323,3.142,0.000,2.988,5.273,30.49,69.955,29.022,3.142,0.000,2.987,5.273,29.05,73.179,34.205,3.143,0.000,2.987,5.274,27.87
00:00.923,50.391,11.093,3.358,-0.001,2.988,5.844,27.67,56.712,14.615,3.356,0.001,2.987,5.845,29.91,0,0,3.357,0.000,2.987,5.844,.00,66.279,23.774,3.356,0.001,2.988,5.845,30.27,70.15,29.361,3.356,0.001,2.987,5.845,28.94,73.246,34.545,3.357,-0.001,2.987,5.844,27.56
00:00.923,50.391,11.093,3.539,-0.001,2.988,5.844,27.67,56.712,14.615,3.538,0.001,2.987,5.845,29.91,0,0,3.538,0.000,2.987,5.844,.00,66.279,23.774,3.538,0.001,2.988,5.845,30.27,70.15,29.361,3.538,0.001,2.987,5.845,28.94,73.246,34.545,3.538,-0.001,2.987,5.844,27.56
