,ID 1608,ID 1608,ID 1608,ID 1608,ID 1608,ID 1608,ID 1608,ID 2055,ID 2055,ID 2055,ID 2055,ID 2055,ID 2055,ID 2055,ID 1862,ID 1862,ID 1862,ID 1862,ID 1862,ID 1862,ID 1862,ID 2080,ID 2080,ID 2080,ID 2080,ID 2080,ID 2080,ID 2080,ID 2125,ID 2125,ID 2125,ID 2125,ID 2125,ID 2125,ID 2125,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1973,ID 1973,ID 1973,ID 1973,ID 1973,ID 1973,ID 1973
,SEGURA,SEGURA,SEGURA,SEGURA,SEGURA,SEGURA,SEGURA,SENN,SENN,SENN,SENN,SENN,SENN,SENN,MANGIONE,MANGIONE,MANGIONE,MANGIONE,MANGIONE,MANGIONE,MANGIONE,LILJA,LILJA,LILJA,LILJA,LILJA,LILJA,LILJA,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00
00:00.000,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00,0,0,0.000,0.000,3.319,3.319,.00
00:00.581,0,0,0.000,0.000,3.890,3.890,.00,0,0,0.000,0.000,3.890,3.890,.00,0,0,0.000,0.000,3.890,3.890,.00,0,0,0.000,0.000,3.890,3.890,.00,0,0,0.000,0.000,3.890,3.890,.00,0,0,0.000,0.000,3.890,3.890,.00,0,0,0.000,0.000,3.890,3.890,.00
00:00.681,42.437,8.474,0.000,0.000,3.890,4.462,.00,49.742,10.826,0.000,0.000,3.890,4.462,.00,55.774,13.767,0.000,0.000,3.890,4.462,.00,61.352,18.18,0.000,0.000,3.890,4.461,.00,65.638,22.938,0.000,0.000,3.890,4.462,.00,69.722,28.441,0.000,0.000,3.890,4.462,.00,72.816,33.284,0.000,0.000,3.890,4.462,.00
00:00.681,42.437,8.474,0.000,0.000,3.890,4.462,.00,49.742,10.826,0.400,0.000,3.890,4.462,.00,55.774,13.767,0.400,0.000,3.890,4.462,.00,61.352,18.18,0.400,0.000,3.890,4.461,.00,65.638,22.938,0.400,0.000,3.890,4.462,.00,69.722,28.441,0.400,0.000,3.890,4.462,.00,72.816,33.284,0.400,0.000,3.890,4.462,.00
00:00.681,42.437,8.474,0.333,0.000,3.890,4.462,.00,49.742,10.826,1.000,0.000,3.890,4.462,.00,55.774,13.767,1.000,0.000,3.890,4.462,.00,61.352,18.18,1.000,0.000,3.890,4.461,.00,65.638,22.938,1.000,0.000,3.890,4.462,.00,69.722,28.441,1.000,0.000,3.890,4.462,.00,72.816,33.284,1.000,0.000,3.890,4.462,.00
00:00.781,42.841,8.611,0.857,0.000,3.890,5.033,24.02,50.11,10.987,1.673,0.000,3.890,5.033,27.52,56.105,14.148,1.673,0.000,3.890,5.033,29.70,61.671,18.57,1.673,0.000,3.890,5.033,30.53,65.884,23.259,1.673,0.000,3.890,5.033,30.19,69.819,28.782,1.674,0.000,3.890,5.034,29.19,72.902,33.831,1.673,0.000,3.890,5.034,27.95
00:00.881,43.221,8.684,1.465,0.000,3.890,5.605,24.20,50.424,11.083,2.178,0.000,3.890,5.604,27.66,56.434,14.507,2.179,0.000,3.890,5.604,29.67,61.871,18.911,2.179,0.000,3.890,5.604,30.48,66.051,23.604,2.179,0.000,3.890,5.605,30.14,69.97,29.095,2.179,0.000,3.890,5.605,29.02,73.012,34.383,2.179,0.000,3.890,5.604,27.63
