,ID 1503,ID 1503,ID 1503,ID 1503,ID 1503,ID 1503,ID 1503,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1826,ID 1826,ID 1826,ID 1826,ID 1826,ID 1826,ID 1826,ID 1711,ID 1711,ID 1711,ID 1711,ID 1711,ID 1711,ID 1711,ID 1817,ID 1817,ID 1817,ID 1817,ID 1817,ID 1817,ID 1817,ID 1952,ID 1952,ID 1952,ID 1952,ID 1952,ID 1952,ID 1952,ID 1913,ID 1913,ID 1913,ID 1913,ID 1913,ID 1913,ID 1913,ID 2005,ID 2005,ID 2005,ID 2005,ID 2005,ID 2005,ID 2005
,GOGL-WALLI,GOGL-WALLI,GOGL-WALLI,GOGL-WALLI,GOGL-WALLI,GOGL-WALLI,GOGL-WALLI,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MAWDSLEY,MAWDSLEY,MAWDSLEY,MAWDSLEY,MAWDSLEY,MAWDSLEY,MAWDSLEY,NIELSEN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,NIELSEN,ADELEKE,ADELEKE,ADELEKE,ADELEKE,ADELEKE,ADELEKE,ADELEKE,KACZMAREK,KACZMAREK,KACZMAREK,KACZMAREK,KACZMAREK,KACZMAREK,KACZMAREK,KLAVER,KLAVER,KLAVER,KLAVER,KLAVER,KLAVER,KLAVER,MIKLOS,MIKLOS,MIKLOS,MIKLOS,MIKLOS,MIKLOS,MIKLOS
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00
00:00.000,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00,0,0,0.000,0.000,2.919,2.919,.00
00:00.511,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00
00:00.611,0,0,0.500,0.000,3.491,4.062,.00,0,0,0.500,0.000,3.490,4.062,.00,0,0,0.500,0.000,3.490,4.062,.00,0,0,0.500,0.000,3.490,4.061,.00,0,0,0.500,0.000,3.490,4.062,.00,0,0,0.500,0.000,3.490,4.062,.00,0,0,0.500,0.000,3.491,4.062,.00,0,0,0.500,0.000,3.490,4.062,.00
00:00.611,0,0,1.200,0.000,3.491,4.062,.00,0,0,1.200,0.000,3.490,4.062,.00,0,0,1.200,0.000,3.490,4.062,.00,0,0,1.200,0.000,3.490,4.061,.00,0,0,1.200,0.000,3.490,4.062,.00,0,0,1.200,0.000,3.490,4.062,.00,0,0,1.200,0.000,3.491,4.062,.00,0,0,1.200,0.000,3.490,4.062,.00
00:00.611,0,0,1.952,0.000,3.491,4.062,.00,0,0,1.952,0.000,3.490,4.062,.00,0,0,1.952,0.000,3.490,4.062,.00,0,0,1.952,0.000,3.490,4.061,.00,0,0,1.952,0.000,3.490,4.062,.00,0,0,1.952,0.000,3.490,4.062,.00,0,0,1.952,0.000,3.491,4.062,.00,0,0,1.953,0.000,3.490,4.062,.00
00:00.711,35.389,7.539,2.490,0.000,3.491,4.633,.00,42.296,8.172,2.490,0.000,3.490,4.633,.00,49.743,10.889,2.489,0.000,3.490,4.633,.00,56.111,14.133,2.490,0.000,3.490,4.633,.00,61.218,18.23,2.490,0.000,3.490,4.633,.00,65.857,23.016,2.490,0.000,3.490,4.633,.00,69.711,28.515,2.489,0.000,3.491,4.633,.00,72.947,33.453,2.490,0.000,3.490,4.634,.00
00:00.811,35.771,7.762,2.893,0.000,3.491,5.205,19.69,42.538,8.07,2.893,0.000,3.490,5.205,24.13,50.113,11.146,2.892,0.000,3.490,5.204,27.47,56.426,14.44,2.893,0.000,3.490,5.205,29.68,61.479,18.442,2.893,0.000,3.490,5.205,30.40,66.042,23.375,2.893,0.000,3.490,5.205,30.29,69.849,28.969,2.892,0.000,3.491,5.205,29.13,73.083,33.972,2.894,0.000,3.490,5.205,27.93
