,ID 1798,ID 1798,ID 1798,ID 1798,ID 1798,ID 1798,ID 1798,ID 1978,ID 1978,ID 1978,ID 1978,ID 1978,ID 1978,ID 1978,ID 1902,ID 1902,ID 1902,ID 1902,ID 1902,ID 1902,ID 1902,ID 2053,ID 2053,ID 2053,ID 2053,ID 2053,ID 2053,ID 2053,ID 1723,ID 1723,ID 1723,ID 1723,ID 1723,ID 1723,ID 1723,ID 2015,ID 2015,ID 2015,ID 2015,ID 2015,ID 2015,ID 2015,ID 1593,ID 1593,ID 1593,ID 1593,ID 1593,ID 1593,ID 1593,ID 1740,ID 1740,ID 1740,ID 1740,ID 1740,ID 1740,ID 1740
,KERI,KERI,KERI,KERI,KERI,KERI,KERI,WIELGOSZ,WIELGOSZ,WIELGOSZ,WIELGOSZ,WIELGOSZ,WIELGOSZ,WIELGOSZ,RICHARD,RICHARD,RICHARD,RICHARD,RICHARD,RICHARD,RICHARD,ROSAMILIA,ROSAMILIA,ROSAMILIA,ROSAMILIA,ROSAMILIA,ROSAMILIA,ROSAMILIA,WALLACE,WALLACE,WALLACE,WALLACE,WALLACE,WALLACE,WALLACE,HORVAT,HORVAT,HORVAT,HORVAT,HORVAT,HORVAT,HORVAT,GARCIA,GARCIA,GARCIA,GARCIA,GARCIA,GARCIA,GARCIA,KOLBERG,KOLBERG,KOLBERG,KOLBERG,KOLBERG,KOLBERG,KOLBERG
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,1.977,1.977,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00
00:00.000,0,0,0.000,0.000,1.977,1.977,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00,0,0,0.000,0.000,1.976,1.976,.00
00:00.346,0,0,0.000,0.000,2.548,2.548,.00,0,0,0.000,0.000,2.547,2.547,.00,0,0,0.000,0.000,2.547,2.547,.00,0,0,0.000,0.000,2.547,2.547,.00,0,0,0.000,0.000,2.548,2.548,.00,0,0,0.000,0.000,2.547,2.547,.00,0,0,0.000,0.000,2.548,2.548,.00,0,0,0.000,0.000,2.547,2.547,.00
00:00.446,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00
00:00.446,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00
00:00.446,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00,0,0,0.000,0.000,2.548,3.119,.00,0,0,0.000,0.000,2.547,3.119,.00
00:00.546,0,0,0.000,0.000,2.548,3.691,.00,0,0,0.000,0.000,2.547,3.691,.00,0,0,0.000,0.000,2.547,3.691,.00,0,0,0.000,0.000,2.547,3.691,.00,0,0,0.000,0.000,2.548,3.690,.00,0,0,0.000,0.000,2.547,3.690,.00,0,0,0.000,0.000,2.548,3.690,.00,0,0,0.000,0.000,2.547,3.690,.00
00:00.646,0,0,0.000,0.000,2.548,4.262,.00,0,0,0.000,0.000,2.547,4.262,.00,0,0,0.000,0.000,2.547,4.262,.00,0,0,0.000,0.000,2.547,4.262,.00,0,0,0.000,0.000,2.548,4.262,.00,0,0,0.000,0.000,2.547,4.262,.00,0,0,0.250,0.000,2.548,4.262,.00,0,0,0.250,0.000,2.547,4.262,.00
00:00.646,0,0,0.222,0.000,2.548,4.262,.00,0,0,0.222,0.000,2.547,4.262,.00,0,0,0.222,0.000,2.547,4.262,.00,0,0,0.222,0.000,2.547,4.262,.00,0,0,0.222,0.000,2.548,4.262,.00,0,0,0.222,0.000,2.547,4.262,.00,0,0,0.667,0.000,2.548,4.262,.00,0,0,0.667,0.000,2.547,4.262,.00
00:00.646,0,0,0.600,0.000,2.548,4.262,.00,0,0,0.600,0.000,2.547,4.262,.00,0,0,0.600,0.000,2.547,4.262,.00,0,0,0.600,0.000,2.547,4.262,.00,0,0,0.600,0.000,2.548,4.262,.00,0,0,0.600,0.000,2.547,4.262,.00,0,0,1.172,0.000,2.548,4.262,.00,0,0,1.171,0.000,2.547,4.262,.00
00:00.746,31.751,7.012,1.065,0.000,2.548,4.833,.00,35.443,6.186,1.065,0.000,2.547,4.833,.00,39.147,5.883,1.065,0.000,2.547,4.834,.00,43.165,6.22,1.065,0.000,2.547,4.834,.00,46.667,5.95,1.066,0.000,2.548,4.833,.00,49.943,6.442,1.065,0.000,2.547,4.834,.00,53.686,7.818,1.585,0.000,2.548,4.833,.00,56.807,8.738,1.584,0.000,2.547,4.833,.00
00:00.846,32.009,7.019,1.452,0.000,2.548,5.405,17.49,35.674,6.195,1.452,0.000,2.547,5.405,20.69,39.435,5.803,1.452,0.000,2.547,5.405,23.52,43.562,6.366,1.452,0.000,2.547,5.404,26.12,47.112,6.232,1.454,0.000,2.548,5.405,28.79,50.372,6.729,1.452,0.000,2.547,5.404,30.76,53.982,7.927,1.929,0.000,2.548,5.405,32.43,57.137,8.871,1.929,0.000,2.547,5.405,33.99
00:00.846,32.009,7.019,1.748,-0.064,2.548,5.405,17.49,35.674,6.195,1.748,-0.064,2.547,5.405,20.69,39.435,5.803,1.748,-0.064,2.547,5.405,23.52,43.562,6.366,1.748,-0.064,2.547,5.404,26.12,47.112,6.232,1.750,-0.065,2.548,5.405,28.79,50.372,6.729,1.748,-0.064,2.547,5.404,30.76,53.982,7.927,2.188,-0.064,2.548,5.405,32.43,57.137,8.871,2.188,-0.064,2.547,5.405,33.99
00:00.846,32.009,7.019,2.002,-0.119,2.548,5.405,17.49,35.674,6.195,2.002,-0.119,2.547,5.405,20.69,39.435,5.803,2.002,-0.119,2.547,5.405,23.52,43.562,6.366,2.002,-0.119,2.547,5.404,26.12,47.112,6.232,2.004,-0.121,2.548,5.405,28.79,50.372,6.729,2.001,-0.120,2.547,5.404,30.76,53.982,7.927,2.410,-0.119,2.548,5.405,32.43,57.137,8.871,2.410,-0.119,2.547,5.405,33.99
00:00.946,32.336,7.03,2.221,-0.167,2.548,5.976,17.67,35.934,6.165,2.221,-0.167,2.547,5.976,20.84,39.606,5.663,2.221,-0.167,2.547,5.976,23.78,43.901,6.406,2.221,-0.167,2.547,5.976,26.30,47.458,6.421,2.224,-0.169,2.548,5.976,28.91,50.771,6.967,2.221,-0.167,2.547,5.976,30.86,54.3,8.104,2.603,-0.167,2.548,5.977,32.57,57.459,9.088,2.602,-0.167,2.547,5.976,34.13
00:01.046,32.757,7.111,2.574,-0.222,3.558,6.547,17.89,36.321,6.208,2.574,-0.222,2.547,6.548,21.05,39.746,5.551,2.574,-0.222,2.547,6.548,24.00,44.283,6.565,2.574,-0.222,3.717,6.547,26.51,47.866,6.61,2.578,-0.226,3.916,6.547,29.02,51.224,7.259,2.574,-0.223,4.066,6.548,30.97,54.642,8.318,2.956,-0.223,3.626,6.547,32.67,57.756,9.319,2.955,-0.222,3.659,6.548,34.20
00:01.146,33.121,7.202,2.928,-0.278,3.558,7.119,18.13,36.636,6.277,2.928,-0.278,2.547,7.119,21.29,39.855,5.601,2.928,-0.278,2.547,7.119,24.18,44.555,6.714,2.928,-0.278,3.717,7.119,26.67,48.085,6.737,2.931,-0.282,3.916,7.119,29.17,51.448,7.41,2.927,-0.279,4.066,7.119,31.09,54.942,8.584,3.309,-0.279,3.626,7.119,32.76,58.023,9.586,3.308,-0.278,3.659,7.119,34.25
00:01.246,33.496,7.276,3.192,-0.364,3.558,7.690,18.33,36.987,6.374,3.192,-0.364,3.743,7.690,21.47,40.155,5.806,3.192,-0.364,3.557,7.690,24.22,44.906,6.895,3.192,-0.364,3.717,7.691,26.76,48.491,6.962,3.196,-0.368,3.916,7.691,29.24,51.903,7.691,3.192,-0.365,4.066,7.691,31.14,55.311,8.906,3.574,-0.365,3.626,7.690,32.78,58.349,9.924,3.573,-0.364,3.659,7.691,34.25
00:01.346,33.967,7.373,3.457,-0.450,3.558,8.000,18.54,37.37,6.468,3.457,-0.450,3.743,8.000,21.65,40.978,6.112,3.457,-0.450,3.557,8.000,24.29,45.326,7.114,3.457,-0.450,3.717,8.000,26.88,48.931,7.166,3.461,-0.455,3.916,8.000,29.37,52.332,7.968,3.457,-0.451,4.066,8.000,31.26,55.657,9.144,3.839,-0.451,3.626,8.000,32.81,58.685,10.187,3.838,-0.450,3.659,8.000,34.24
00:01.446,34.443,7.428,3.722,-0.535,8.000,8.000,18.80,37.763,6.547,3.722,-0.535,8.000,8.000,21.85,41.638,6.339,3.722,-0.535,8.000,8.000,24.65,45.798,7.296,3.722,-0.535,8.000,8.000,27.02,49.256,7.341,3.727,-0.541,8.000,8.000,29.53,52.82,8.288,3.722,-0.537,8.000,8.000,31.37,56.046,9.431,4.104,-0.536,8.000,8.000,32.89,59.089,10.465,4.103,-0.535,8.000,8.000,34.29
00:01.547,34.996,7.538,3.987,-0.621,8.000,8.000,19.10,38.205,6.684,3.987,-0.621,8.000,8.000,22.07,42.201,6.533,3.987,-0.621,8.000,8.000,24.96,46.295,7.551,3.987,-0.621,8.000,8.000,27.23,49.637,7.561,3.992,-0.628,8.000,8.000,29.64,53.303,8.66,3.986,-0.623,8.000,8.000,31.49,56.436,9.745,4.369,-0.622,8.000,8.000,32.96,59.458,10.809,4.368,-0.621,8.000,8.000,34.38
00:01.646,35.58,7.651,4.252,-0.707,8.000,8.000,19.42,38.741,6.837,4.252,-0.707,8.000,8.000,22.29,42.748,6.683,4.252,-0.707,8.000,8.000,25.22,46.878,7.885,4.252,-0.707,8.000,8.000,27.40,50.175,7.877,4.257,-0.714,8.000,8.000,29.75,53.87,9.092,4.251,-0.709,8.000,8.000,31.57,56.876,10.075,4.634,-0.708,8.000,8.000,33.02,59.889,11.224,4.632,-0.707,8.000,8.000,34.40
00:01.747,36.225,7.828,4.516,-0.793,8.000,8.000,19.75,39.353,7.04,4.516,-0.793,8.000,8.000,22.56,43.475,7.014,4.490,-0.784,8.000,8.000,25.50,47.353,8.136,4.519,-0.770,8.000,8.000,27.57,50.764,8.245,4.526,-0.777,8.000,8.000,29.91,54.481,9.571,4.541,-0.761,8.000,8.000,31.66,57.345,10.503,4.790,-0.760,8.000,8.000,33.09,60.335,11.668,4.782,-0.762,8.000,8.000,34.41
00:01.847,36.892,8.041,4.655,-0.853,8.000,8.000,20.08,39.966,7.277,4.624,-0.869,8.000,8.000,22.85,44.091,7.311,4.595,-0.862,8.000,8.000,25.78,47.961,8.457,4.652,-0.833,8.000,8.000,27.73,51.435,8.747,4.661,-0.840,8.000,8.000,30.07,55.01,9.975,4.697,-0.813,8.000,8.000,31.76,57.828,10.984,4.814,-0.812,8.000,8.000,33.12,60.735,12.097,4.799,-0.817,8.000,8.000,34.41
00:01.946,37.609,8.276,4.661,-0.914,8.000,8.000,20.40,40.623,7.557,4.599,-0.945,8.000,8.000,23.11,44.753,7.658,4.567,-0.939,8.000,8.000,26.01,48.585,8.871,4.653,-0.897,8.000,8.000,27.93,52.09,9.264,4.664,-0.903,8.000,8.000,30.18,55.59,10.423,4.720,-0.865,8.000,8.000,31.84,58.313,11.474,4.723,-0.864,8.000,8.000,33.12,61.212,12.599,4.702,-0.872,8.000,8.000,34.39
00:02.047,38.292,8.463,4.552,-0.975,8.000,8.000,20.74,41.222,7.785,4.459,-1.021,8.000,8.000,23.38,45.236,7.863,4.425,-1.017,8.000,8.000,26.23,49.171,9.285,4.539,-0.960,8.000,8.000,28.08,52.426,9.505,4.551,-0.966,8.000,8.000,30.28,56.14,10.863,4.628,-0.917,8.069,8.069,31.94,58.799,11.979,4.632,-0.916,8.000,8.000,33.12,61.68,13.13,4.604,-0.927,8.000,8.000,34.37
00:02.146,38.996,8.666,4.444,-1.035,8.112,8.112,21.09,41.838,8.094,4.320,-1.097,8.000,8.000,23.64,45.794,8.132,4.283,-1.094,8.000,8.000,26.43,49.774,9.667,4.425,-1.023,8.362,8.362,28.20,52.975,9.915,4.438,-1.029,8.000,8.000,30.35,56.701,11.373,4.537,-0.969,9.530,8.801,32.02,59.289,12.513,4.541,-0.967,8.542,8.542,33.11,62.142,13.67,4.506,-0.982,8.451,8.451,34.33
00:02.247,39.681,8.864,4.363,-1.041,8.112,8.814,21.45,42.489,8.448,4.208,-1.118,8.000,8.000,23.86,46.215,8.283,4.168,-1.116,8.000,8.000,26.63,50.27,9.959,4.339,-1.031,8.362,8.928,28.36,53.476,10.27,4.405,-0.994,8.602,8.602,30.45,57.161,11.84,4.526,-0.926,9.530,9.455,32.05,59.746,13.071,4.528,-0.925,8.542,9.259,33.08,62.576,14.219,4.490,-0.941,8.451,9.141,34.27
00:02.346,40.327,9.031,4.321,-1.011,8.112,9.479,21.79,43.14,8.779,4.131,-1.101,8.611,8.611,24.07,46.701,8.497,4.140,-1.075,8.297,8.297,26.82,50.772,10.242,4.302,-0.998,8.362,9.502,28.50,54.022,10.774,4.372,-0.959,9.895,9.340,30.55,57.66,12.318,4.516,-0.882,9.530,10.145,32.05,60.234,13.656,4.516,-0.883,9.982,10.013,33.00,63.034,14.746,4.474,-0.900,9.857,9.838,34.19
