,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1833,ID 1833,ID 1833,ID 1833,ID 1833,ID 1833,ID 1833,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1907,ID 1907,ID 1907,ID 1907,ID 1907,ID 1907,ID 1907,ID 2074,ID 2074,ID 2074,ID 2074,ID 2074,ID 2074,ID 2074,ID 1880,ID 1880,ID 1880,ID 1880,ID 1880,ID 1880,ID 1880,ID 1950,ID 1950,ID 1950,ID 1950,ID 1950,ID 1950,ID 1950,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1561,ID 1561,ID 1561,ID 1561,ID 1561,ID 1561,ID 1561,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 492,ID 492,ID 492,ID 492,ID 492,ID 492,ID 492,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697
,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,AUERBACH,AUERBACH,AUERBACH,AUERBACH,AUERBACH,AUERBACH,AUERBACH,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,DAMINK,DAMINK,DAMINK,DAMINK,DAMINK,DAMINK,DAMINK,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,ZENONI,ZENONI,ZENONI,ZENONI,ZENONI,ZENONI,ZENONI,GALANT,GALANT,GALANT,GALANT,GALANT,GALANT,GALANT,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,SATEN,SATEN,SATEN,SATEN,SATEN,SATEN,SATEN,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,BELL,BELL,BELL,BELL,BELL,BELL,BELL
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,42.763,79.469,0.000,0.000,1.622,1.622,.00,43.087,80.289,0.000,0.000,1.622,1.622,.00,42.618,81.05,0.000,0.000,1.622,1.622,.00,0,0,0.000,0.000,1.622,1.622,.00,43.007,82.528,0.000,0.000,1.622,1.622,.00,42.654,83.445,0.000,0.000,1.893,1.893,.00,42.787,84.151,0.000,0.000,1.893,1.893,.00,43.038,84.884,0.000,0.000,1.893,1.893,.00,42.818,85.741,0.000,0.000,1.893,1.893,.00,42.699,86.222,0.000,0.000,1.893,1.893,.00,42.623,86.604,0.000,0.000,1.893,1.893,.00,42.961,87.421,0.000,0.000,1.893,1.893,.00,42.866,88.319,0.000,0.000,1.899,1.899,.00,42.566,88.861,0.000,0.000,1.899,1.899,.00
00:00.000,42.763,79.469,0.000,0.000,1.622,1.622,.00,43.087,80.289,0.000,0.000,1.622,1.622,.00,42.618,81.05,0.000,0.000,1.622,1.622,.00,0,0,0.000,0.000,1.622,1.622,.00,43.007,82.528,0.000,0.000,1.622,1.622,.00,42.654,83.445,0.000,0.000,1.893,1.893,.00,42.787,84.151,0.000,0.000,1.893,1.893,.00,43.038,84.884,0.000,0.000,1.893,1.893,.00,42.818,85.741,0.000,0.000,1.893,1.893,.00,42.699,86.222,0.000,0.000,1.893,1.893,.00,42.623,86.604,0.000,0.000,1.893,1.893,.00,42.961,87.421,0.000,0.000,1.893,1.893,.00,42.866,88.319,0.000,0.000,1.899,1.899,.00,42.566,88.861,0.000,0.000,1.899,1.899,.00
00:00.285,42.766,79.495,0.000,0.000,2.193,2.193,25.96,43.029,80.322,0.000,0.000,2.193,2.193,26.31,42.67,81.018,0.000,0.000,2.193,2.193,27.18,0,0,0.000,0.000,2.193,2.193,.00,42.987,82.576,0.000,0.000,2.193,2.193,27.95,42.593,83.509,0.000,0.000,2.193,2.193,28.84,42.775,84.142,0.000,0.000,2.193,2.193,29.25,43.009,84.882,0.000,0.000,2.193,2.193,29.59,42.777,85.759,0.000,0.000,2.366,2.366,30.35,42.73,86.224,0.000,0.000,2.559,2.559,30.78,42.663,86.62,0.000,0.000,2.559,2.559,31.10,42.903,87.434,0.000,0.000,2.566,2.566,31.44,42.894,88.299,0.000,0.000,2.566,2.566,32.14,42.591,88.833,0.000,0.000,2.566,2.566,32.74
00:00.385,42.794,79.554,0.000,0.000,2.193,2.765,25.97,42.939,80.339,0.000,0.000,2.193,2.765,26.37,42.705,81.058,0.000,0.000,2.193,2.765,27.12,0,0,0.000,0.000,2.193,2.765,.00,42.944,82.659,0.000,0.000,2.193,2.765,27.99,42.56,83.502,0.000,0.000,2.193,2.765,28.93,42.738,84.151,0.000,0.000,2.193,2.765,29.25,42.954,84.876,0.000,0.000,2.193,2.765,29.61,42.75,85.767,0.000,0.000,2.366,2.765,30.39,42.691,86.222,0.000,0.000,2.559,2.765,30.75,42.619,86.663,0.000,0.000,2.559,2.819,31.08,42.849,87.435,0.000,0.000,2.566,2.861,31.49,42.869,88.277,0.000,0.000,2.566,3.126,32.11,42.614,88.835,0.000,0.000,2.566,3.233,32.70
00:00.385,42.794,79.554,0.000,0.000,2.193,2.765,25.97,42.939,80.339,0.000,0.000,2.193,2.765,26.37,42.705,81.058,0.400,0.000,2.193,2.765,27.12,0,0,0.400,0.000,2.193,2.765,.00,42.944,82.659,0.400,0.000,2.193,2.765,27.99,42.56,83.502,0.400,0.000,2.193,2.765,28.93,42.738,84.151,0.400,0.000,2.193,2.765,29.25,42.954,84.876,0.400,0.000,2.193,2.765,29.61,42.75,85.767,0.400,0.000,2.366,2.765,30.39,42.691,86.222,0.400,0.000,2.559,2.765,30.75,42.619,86.663,0.400,0.000,2.559,2.819,31.08,42.849,87.435,0.400,0.000,2.566,2.861,31.49,42.869,88.277,0.400,0.000,2.566,3.126,32.11,42.614,88.835,0.400,0.000,2.566,3.233,32.70
00:00.385,42.794,79.554,0.333,0.000,2.193,2.765,25.97,42.939,80.339,0.333,0.000,2.193,2.765,26.37,42.705,81.058,1.000,0.000,2.193,2.765,27.12,0,0,1.000,0.000,2.193,2.765,.00,42.944,82.659,1.000,0.000,2.193,2.765,27.99,42.56,83.502,1.000,0.000,2.193,2.765,28.93,42.738,84.151,1.000,0.000,2.193,2.765,29.25,42.954,84.876,1.000,0.000,2.193,2.765,29.61,42.75,85.767,1.000,0.000,2.366,2.765,30.39,42.691,86.222,1.000,0.000,2.559,2.765,30.75,42.619,86.663,1.000,0.000,2.559,2.819,31.08,42.849,87.435,1.000,0.000,2.566,2.861,31.49,42.869,88.277,1.000,0.000,2.566,3.126,32.11,42.614,88.835,1.000,0.000,2.566,3.233,32.70
00:00.485,42.791,79.579,0.857,0.000,2.193,3.336,25.99,42.801,80.371,0.857,0.000,2.193,3.336,26.45,42.696,81.088,1.673,0.000,2.193,3.336,27.12,0,0,1.673,0.000,2.193,3.336,.00,42.875,82.71,1.622,0.000,2.193,3.336,28.08,42.527,83.488,1.622,0.000,2.193,3.336,28.95,42.68,84.141,1.622,0.000,2.193,3.336,29.28,42.854,84.863,1.622,0.000,2.193,3.336,29.64,42.685,85.772,1.624,0.000,2.366,3.336,30.42,42.647,86.165,1.624,0.000,2.559,3.336,30.78,42.549,86.715,1.624,0.000,2.559,3.342,31.14,42.744,87.406,1.624,0.000,2.566,3.342,31.53,42.796,88.259,1.624,0.000,2.566,3.342,32.11,42.609,88.878,1.624,0.000,2.566,3.573,32.68
00:00.585,42.737,79.683,1.464,0.000,2.193,3.908,26.01,42.601,80.47,1.464,0.000,2.193,3.908,26.57,42.582,81.162,2.179,0.000,2.193,3.908,27.15,0,0,2.179,0.000,2.193,3.908,.00,42.761,82.754,2.089,0.000,2.193,3.908,28.17,42.53,83.399,2.089,0.000,2.193,3.913,28.96,42.579,84.119,2.089,0.000,2.193,3.913,29.32,42.68,84.904,2.089,0.000,2.193,3.913,29.70,42.589,85.733,2.092,0.000,2.366,3.913,30.47,42.595,86.125,2.092,0.000,2.559,3.913,30.77,42.459,86.766,2.092,0.000,2.559,3.913,31.23,42.58,87.43,2.092,0.000,2.566,3.913,31.58,42.68,88.234,2.092,0.000,2.566,3.913,32.15,42.525,88.927,2.092,0.000,2.566,3.913,32.72
