,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1833,ID 1833,ID 1833,ID 1833,ID 1833,ID 1833,ID 1833,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1907,ID 1907,ID 1907,ID 1907,ID 1907,ID 1907,ID 1907,ID 2074,ID 2074,ID 2074,ID 2074,ID 2074,ID 2074,ID 2074,ID 1880,ID 1880,ID 1880,ID 1880,ID 1880,ID 1880,ID 1880,ID 1950,ID 1950,ID 1950,ID 1950,ID 1950,ID 1950,ID 1950,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1561,ID 1561,ID 1561,ID 1561,ID 1561,ID 1561,ID 1561,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 492,ID 492,ID 492,ID 492,ID 492,ID 492,ID 492,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697
,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,AUERBACH,AUERBACH,AUERBACH,AUERBACH,AUERBACH,AUERBACH,AUERBACH,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,DAMINK,DAMINK,DAMINK,DAMINK,DAMINK,DAMINK,DAMINK,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,HERMANSSON,ZENONI,ZENONI,ZENONI,ZENONI,ZENONI,ZENONI,ZENONI,GALANT,GALANT,GALANT,GALANT,GALANT,GALANT,GALANT,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,SASINEK MAKI,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,SATEN,SATEN,SATEN,SATEN,SATEN,SATEN,SATEN,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,BELL,BELL,BELL,BELL,BELL,BELL,BELL
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,42.759,79.471,0.000,0.000,1.468,1.468,.00,43.087,80.291,0.000,0.000,1.468,1.468,.00,42.609,81.056,0.000,0.000,1.468,1.468,.00,-9.112,89.628,0.000,0.000,1.712,1.712,.00,43.001,82.519,0.000,0.000,1.468,1.468,.00,42.666,83.431,0.000,0.000,1.712,1.712,.00,42.788,84.146,0.000,0.000,1.712,1.712,.00,43.027,84.891,0.000,0.000,1.712,1.712,.00,42.822,85.737,0.000,0.000,1.719,1.719,.00,42.689,86.21,0.000,0.000,1.719,1.719,.00,42.621,86.578,0.000,0.000,1.719,1.719,.00,42.96,87.416,0.000,0.000,1.719,1.719,.00,42.866,88.316,0.000,0.000,1.719,1.719,.00,42.562,88.855,0.000,0.000,1.719,1.719,.00
00:00.000,42.759,79.471,0.000,0.000,1.468,1.468,.00,43.087,80.291,0.000,0.000,1.468,1.468,.00,42.609,81.056,0.000,0.000,1.468,1.468,.00,-9.112,89.628,0.000,0.000,1.712,1.712,.00,43.001,82.519,0.000,0.000,1.468,1.468,.00,42.666,83.431,0.000,0.000,1.712,1.712,.00,42.788,84.146,0.000,0.000,1.712,1.712,.00,43.027,84.891,0.000,0.000,1.712,1.712,.00,42.822,85.737,0.000,0.000,1.719,1.719,.00,42.689,86.21,0.000,0.000,1.719,1.719,.00,42.621,86.578,0.000,0.000,1.719,1.719,.00,42.96,87.416,0.000,0.000,1.719,1.719,.00,42.866,88.316,0.000,0.000,1.719,1.719,.00,42.562,88.855,0.000,0.000,1.719,1.719,.00
00:00.258,42.775,79.492,0.000,0.000,2.039,2.039,25.96,43.062,80.299,0.000,0.000,2.039,2.039,26.31,42.666,81.027,0.000,0.000,2.039,2.039,27.19,-9.112,89.628,0.000,0.000,2.379,2.379,69.82,42.993,82.553,0.000,0.000,2.045,2.045,27.94,42.606,83.492,0.000,0.000,2.045,2.045,28.83,42.767,84.149,0.000,0.000,2.045,2.045,29.24,43.009,84.882,0.000,0.000,2.045,2.045,29.60,42.782,85.753,0.000,0.000,2.358,2.358,30.35,42.731,86.221,0.000,0.000,2.385,2.385,30.77,42.663,86.603,0.000,0.000,2.385,2.385,31.08,42.923,87.43,0.000,0.000,2.385,2.385,31.44,42.887,88.301,0.000,0.000,2.385,2.385,32.14,42.578,88.83,0.000,0.000,2.385,2.385,32.73
00:00.358,42.797,79.528,0.000,0.000,2.039,2.611,25.96,42.975,80.326,0.000,0.000,2.039,2.611,26.33,42.692,81.041,0.000,0.000,2.039,2.611,27.13,-9.112,89.628,0.000,0.000,2.379,3.045,69.82,42.96,82.639,0.000,0.000,2.045,2.611,27.97,42.573,83.502,0.000,0.000,2.045,2.611,28.91,42.758,84.139,0.000,0.000,2.045,2.611,29.26,42.974,84.869,0.000,0.000,2.045,2.611,29.61,42.769,85.771,0.000,0.000,2.358,2.611,30.39,42.715,86.224,0.000,0.000,2.385,2.611,30.75,42.632,86.663,0.000,0.000,2.385,2.806,31.07,42.867,87.439,0.000,0.000,2.385,2.845,31.47,42.891,88.281,0.000,0.000,2.385,3.045,32.11,42.605,88.836,0.000,0.000,2.385,3.052,32.71
00:00.358,42.797,79.528,0.000,0.000,2.039,2.611,25.96,42.975,80.326,0.000,0.000,2.039,2.611,26.33,42.692,81.041,0.000,0.000,2.039,2.611,27.13,-9.112,89.628,0.400,0.000,2.379,3.045,69.82,42.96,82.639,0.400,0.000,2.045,2.611,27.97,42.573,83.502,0.400,0.000,2.045,2.611,28.91,42.758,84.139,0.400,0.000,2.045,2.611,29.26,42.974,84.869,0.400,0.000,2.045,2.611,29.61,42.769,85.771,0.400,0.000,2.358,2.611,30.39,42.715,86.224,0.400,0.000,2.385,2.611,30.75,42.632,86.663,0.400,0.000,2.385,2.806,31.07,42.867,87.439,0.400,0.000,2.385,2.845,31.47,42.891,88.281,0.400,0.000,2.385,3.045,32.11,42.605,88.836,0.400,0.000,2.385,3.052,32.71
00:00.358,42.797,79.528,0.333,0.000,2.039,2.611,25.96,42.975,80.326,0.333,0.000,2.039,2.611,26.33,42.692,81.041,0.333,0.000,2.039,2.611,27.13,-9.112,89.628,1.000,0.000,2.379,3.045,69.82,42.96,82.639,1.000,0.000,2.045,2.611,27.97,42.573,83.502,1.000,0.000,2.045,2.611,28.91,42.758,84.139,1.000,0.000,2.045,2.611,29.26,42.974,84.869,1.000,0.000,2.045,2.611,29.61,42.769,85.771,1.000,0.000,2.358,2.611,30.39,42.715,86.224,1.000,0.000,2.385,2.611,30.75,42.632,86.663,1.000,0.000,2.385,2.806,31.07,42.867,87.439,1.000,0.000,2.385,2.845,31.47,42.891,88.281,1.000,0.000,2.385,3.045,32.11,42.605,88.836,1.000,0.000,2.385,3.052,32.71
00:00.458,42.785,79.578,0.857,0.000,2.039,3.182,25.97,42.844,80.343,0.857,0.000,2.039,3.182,26.41,42.693,81.073,0.857,0.000,2.039,3.182,27.12,-9.112,89.628,1.714,0.000,2.379,3.713,69.82,42.892,82.699,1.630,0.000,2.045,3.182,28.06,42.535,83.507,1.630,0.000,2.045,3.182,28.94,42.702,84.145,1.630,0.000,2.045,3.182,29.26,42.89,84.858,1.630,0.000,2.045,3.188,29.62,42.701,85.774,1.631,0.000,2.358,3.188,30.41,42.657,86.181,1.631,0.000,2.385,3.188,30.77,42.56,86.697,1.631,0.000,2.385,3.188,31.13,42.775,87.408,1.631,0.000,2.385,3.188,31.52,42.815,88.27,1.631,0.000,2.385,3.188,32.10,42.605,88.864,1.631,0.000,2.385,3.572,32.69
00:00.558,42.777,79.648,1.463,0.000,2.039,3.754,26.02,42.659,80.439,1.464,0.000,2.039,3.754,26.52,42.606,81.135,1.427,0.000,2.039,3.754,27.14,-9.112,89.628,2.333,0.000,2.379,4.379,69.82,42.795,82.734,2.103,0.000,2.045,3.754,28.15,42.537,83.426,2.103,0.000,2.045,3.754,28.97,42.62,84.121,2.103,0.000,2.045,3.759,29.30,42.74,84.891,2.103,0.000,2.045,3.759,29.68,42.609,85.756,2.105,0.000,2.358,3.759,30.46,42.617,86.137,2.105,0.000,2.385,3.759,30.78,42.477,86.753,2.105,0.000,2.385,3.759,31.21,42.619,87.419,2.105,0.000,2.385,3.759,31.56,42.721,88.229,2.105,0.000,2.385,3.759,32.14,42.547,88.907,2.105,0.000,2.385,3.759,32.71
