,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 2086,ID 2086,ID 2086,ID 2086,ID 2086,ID 2086,ID 2086,ID 1718,ID 1718,ID 1718,ID 1718,ID 1718,ID 1718,ID 1718,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1984,ID 1984,ID 1984,ID 1984,ID 1984,ID 1984,ID 1984,ID 1824,ID 1824,ID 1824,ID 1824,ID 1824,ID 1824,ID 1824,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1594,ID 1594,ID 1594,ID 1594,ID 1594,ID 1594,ID 1594,ID 1846,ID 1846,ID 1846,ID 1846,ID 1846,ID 1846,ID 1846
,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,REEKIE,REEKIE,REEKIE,REEKIE,REEKIE,REEKIE,REEKIE,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,AFONSO,AFONSO,AFONSO,AFONSO,AFONSO,AFONSO,AFONSO,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,BELL,BELL,BELL,BELL,BELL,BELL,BELL,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,GUERRERO,GUERRERO,GUERRERO,GUERRERO,GUERRERO,GUERRERO,GUERRERO,CAVALLI,CAVALLI,CAVALLI,CAVALLI,CAVALLI,CAVALLI,CAVALLI
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00
00:00.000,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00,0,0,0.000,0.000,2.839,2.839,.00
00:00.497,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19,0,0,0.000,0.000,3.410,3.410,5.19
00:00.597,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19
00:00.597,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.000,0.000,3.410,3.982,5.19,0,0,0.400,0.000,3.410,3.982,5.19,0,0,0.400,0.000,3.410,3.982,5.19
00:00.597,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,0.333,0.000,3.410,3.982,5.19,0,0,1.000,0.000,3.410,3.982,5.19,0,0,1.000,0.000,3.410,3.982,5.19
00:00.697,41.977,79.92,0.857,0.000,3.410,4.553,5.19,42.088,80.678,0.857,0.000,3.410,4.553,5.19,42.171,81.635,0.857,0.000,3.410,4.553,5.19,42.274,82.338,0.857,0.000,3.410,4.553,5.19,41.994,83.265,0.857,0.000,3.410,4.553,5.19,42.087,83.952,0.857,0.000,3.410,4.553,5.19,42.012,84.942,0.857,0.000,3.410,4.553,5.19,42.112,85.505,0.857,0.000,3.410,4.553,5.19,41.913,86.003,0.857,0.000,3.410,4.553,5.19,41.971,86.869,0.857,0.000,3.410,4.553,5.19,41.825,87.62,0.857,0.000,3.410,4.553,5.19,41.72,88.39,1.674,0.000,3.410,4.553,5.19,41.719,89.548,1.674,0.000,3.410,4.553,5.19
00:00.797,41.643,80.066,1.465,0.000,3.410,5.125,2.01,41.82,80.688,1.465,0.000,3.410,5.125,1.27,41.722,81.79,1.465,0.000,3.410,5.125,.35,41.901,82.455,1.465,0.000,3.410,5.125,.34,41.709,83.186,1.465,0.000,3.410,5.125,1.10,41.728,84.01,1.465,0.000,3.410,5.125,1.78,41.772,84.946,1.465,0.000,3.410,5.125,2.69,41.748,85.499,1.465,0.000,3.410,5.125,3.25,41.578,86.16,1.463,0.000,3.410,5.125,3.66,41.693,86.884,1.465,0.000,3.410,5.125,4.49,41.45,87.657,1.465,0.000,3.410,5.125,5.15,41.361,88.412,2.179,0.000,3.410,5.125,5.84,41.388,89.465,2.179,0.000,3.410,5.125,6.95
