,ID 947,ID 947,ID 947,ID 947,ID 947,ID 947,ID 947,ID 877,ID 877,ID 877,ID 877,ID 877,ID 877,ID 877,ID 799,ID 799,ID 799,ID 799,ID 799,ID 799,ID 799,ID 1236,ID 1236,ID 1236,ID 1236,ID 1236,ID 1236,ID 1236,ID 789,ID 789,ID 789,ID 789,ID 789,ID 789,ID 789,ID 850,ID 850,ID 850,ID 850,ID 850,ID 850,ID 850,ID 331,ID 331,ID 331,ID 331,ID 331,ID 331,ID 331,ID 1109,ID 1109,ID 1109,ID 1109,ID 1109,ID 1109,ID 1109,ID 720,ID 720,ID 720,ID 720,ID 720,ID 720,ID 720,ID 607,ID 607,ID 607,ID 607,ID 607,ID 607,ID 607,ID 312,ID 312,ID 312,ID 312,ID 312,ID 312,ID 312,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 1108,ID 638,ID 638,ID 638,ID 638,ID 638,ID 638,ID 638,ID 826,ID 826,ID 826,ID 826,ID 826,ID 826,ID 826,ID 222,ID 222,ID 222,ID 222,ID 222,ID 222,ID 222,ID 965,ID 965,ID 965,ID 965,ID 965,ID 965,ID 965
,GRIGGS,GRIGGS,GRIGGS,GRIGGS,GRIGGS,GRIGGS,GRIGGS,PROBST,PROBST,PROBST,PROBST,PROBST,PROBST,PROBST,MORNET,MORNET,MORNET,MORNET,MORNET,MORNET,MORNET,CELIK,CELIK,CELIK,CELIK,CELIK,CELIK,CELIK,GOUYETTE,GOUYETTE,GOUYETTE,GOUYETTE,GOUYETTE,GOUYETTE,GOUYETTE,BARTELSMEYER,BARTELSMEYER,BARTELSMEYER,BARTELSMEYER,BARTELSMEYER,BARTELSMEYER,BARTELSMEYER,DANIELSSON,DANIELSSON,DANIELSSON,DANIELSSON,DANIELSSON,DANIELSSON,DANIELSSON,RAK,RAK,RAK,RAK,RAK,RAK,RAK,GARCIA,GARCIA,GARCIA,GARCIA,GARCIA,GARCIA,GARCIA,PALLITSCH,PALLITSCH,PALLITSCH,PALLITSCH,PALLITSCH,PALLITSCH,PALLITSCH,NORDAS,NORDAS,NORDAS,NORDAS,NORDAS,NORDAS,NORDAS,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,OSTROWSKI,VERHEYDEN,VERHEYDEN,VERHEYDEN,VERHEYDEN,VERHEYDEN,VERHEYDEN,VERHEYDEN,GOURLEY,GOURLEY,GOURLEY,GOURLEY,GOURLEY,GOURLEY,GOURLEY,MECHAAL,MECHAAL,MECHAAL,MECHAAL,MECHAAL,MECHAAL,MECHAAL,ARESE,ARESE,ARESE,ARESE,ARESE,ARESE,ARESE
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00
00:00.000,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00,0,0,0.000,0.000,1.753,1.753,.00
00:00.307,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00,0,0,0.000,0.000,2.324,2.324,.00
00:00.407,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00,0,0,0.000,0.000,2.324,2.896,.00
00:00.407,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00,0,0,0.400,0.000,2.324,2.896,.00
00:00.407,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00,0,0,1.000,0.000,2.324,2.896,.00
00:00.507,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00,0,0,1.674,0.000,2.324,3.467,.00
00:00.607,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.039,.00,0,0,2.179,0.000,2.324,4.045,.00,0,0,2.179,0.000,2.324,4.045,.00,0,0,2.179,0.000,2.324,4.045,.00,0,0,2.179,0.000,2.324,4.045,.00,0,0,2.179,0.000,2.324,4.045,.00,0,0,2.179,0.000,2.324,4.045,.00
00:00.607,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.039,.00,0,0,2.572,0.000,2.324,4.045,.00,0,0,2.572,0.000,2.324,4.045,.00,0,0,2.572,0.000,2.324,4.045,.00,0,0,2.572,0.000,2.324,4.045,.00,0,0,2.572,0.000,2.324,4.045,.00,0,0,2.572,0.000,2.324,4.045,.00
00:00.607,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.039,.00,0,0,2.886,0.000,2.324,4.045,.00,0,0,2.886,0.000,2.324,4.045,.00,0,0,2.886,0.000,2.324,4.045,.00,0,0,2.886,0.000,2.324,4.045,.00,0,0,2.886,0.000,2.324,4.045,.00,0,0,2.886,0.000,2.324,4.045,.00
