,ID 1224,ID 1224,ID 1224,ID 1224,ID 1224,ID 1224,ID 1224,ID 1047,ID 1047,ID 1047,ID 1047,ID 1047,ID 1047,ID 1047,ID 860,ID 860,ID 860,ID 860,ID 860,ID 860,ID 860,ID 307,ID 307,ID 307,ID 307,ID 307,ID 307,ID 307,ID 1141,ID 1141,ID 1141,ID 1141,ID 1141,ID 1141,ID 1141,ID 617,ID 617,ID 617,ID 617,ID 617,ID 617,ID 617,ID 1006,ID 1006,ID 1006,ID 1006,ID 1006,ID 1006,ID 1006,ID 1266,ID 1266,ID 1266,ID 1266,ID 1266,ID 1266,ID 1266,ID 940,ID 940,ID 940,ID 940,ID 940,ID 940,ID 940,ID 996,ID 996,ID 996,ID 996,ID 996,ID 996,ID 996,ID 1124,ID 1124,ID 1124,ID 1124,ID 1124,ID 1124,ID 1124,ID 1183,ID 1183,ID 1183,ID 1183,ID 1183,ID 1183,ID 1183,ID 718,ID 718,ID 718,ID 718,ID 718,ID 718,ID 718,ID 823,ID 823,ID 823,ID 823,ID 823,ID 823,ID 823,ID 639,ID 639,ID 639,ID 639,ID 639,ID 639,ID 639
,PIHLSTROM,PIHLSTROM,PIHLSTROM,PIHLSTROM,PIHLSTROM,PIHLSTROM,PIHLSTROM,BALTUS,BALTUS,BALTUS,BALTUS,BALTUS,BALTUS,BALTUS,FARKEN,FARKEN,FARKEN,FARKEN,FARKEN,FARKEN,FARKEN,INGEBRIGTSEN,INGEBRIGTSEN,INGEBRIGTSEN,INGEBRIGTSEN,INGEBRIGTSEN,INGEBRIGTSEN,INGEBRIGTSEN,NADER,NADER,NADER,NADER,NADER,NADER,NADER,DEBJANI,DEBJANI,DEBJANI,DEBJANI,DEBJANI,DEBJANI,DEBJANI,RIVA,RIVA,RIVA,RIVA,RIVA,RIVA,RIVA,HABZ,HABZ,HABZ,HABZ,HABZ,HABZ,HABZ,COSCORAN,COSCORAN,COSCORAN,COSCORAN,COSCORAN,COSCORAN,COSCORAN,MESLEK,MESLEK,MESLEK,MESLEK,MESLEK,MESLEK,MESLEK,WYDERKA,WYDERKA,WYDERKA,WYDERKA,WYDERKA,WYDERKA,WYDERKA,ELMER,ELMER,ELMER,ELMER,ELMER,ELMER,ELMER,FONTES,FONTES,FONTES,FONTES,FONTES,FONTES,FONTES,FOGG,FOGG,FOGG,FOGG,FOGG,FOGG,FOGG,VERMEULEN,VERMEULEN,VERMEULEN,VERMEULEN,VERMEULEN,VERMEULEN,VERMEULEN
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00
00:00.000,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00,0,0,0.000,0.000,3.697,3.697,.00
00:00.647,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00,0,0,0.000,0.000,4.267,4.267,.00
00:00.747,41.679,79.759,0.000,0.000,4.267,4.839,.00,0,0,0.000,0.000,4.267,4.839,.00,41.758,81.114,0.000,0.000,4.267,4.839,.00,42.174,82.015,0.000,0.000,4.267,4.839,.00,41.854,82.167,0.000,0.000,4.267,4.839,.00,42.266,83.052,0.000,0.000,4.267,4.839,.00,41.793,83.488,0.000,0.000,4.267,4.839,.00,42.064,84.342,0.000,0.000,4.267,4.839,.00,41.925,85.023,0.000,0.000,4.267,4.839,.00,41.673,85.705,0.000,0.000,4.267,4.839,.00,41.869,86.646,0.000,0.000,4.267,4.839,.00,41.788,87.237,0.000,0.000,4.267,4.839,.00,41.399,88.07,0.000,0.000,4.267,4.844,.00,41.514,88.48,0.000,0.000,4.267,4.844,.00,0,0,0.000,0.000,4.267,4.844,.00
00:00.747,41.679,79.759,0.000,0.000,4.267,4.839,.00,0,0,0.000,0.000,4.267,4.839,.00,41.758,81.114,0.000,0.000,4.267,4.839,.00,42.174,82.015,0.000,0.000,4.267,4.839,.00,41.854,82.167,0.000,0.000,4.267,4.839,.00,42.266,83.052,0.000,0.000,4.267,4.839,.00,41.793,83.488,0.000,0.000,4.267,4.839,.00,42.064,84.342,0.000,0.000,4.267,4.839,.00,41.925,85.023,0.000,0.000,4.267,4.839,.00,41.673,85.705,0.000,0.000,4.267,4.839,.00,41.869,86.646,0.000,0.000,4.267,4.839,.00,41.788,87.237,0.000,0.000,4.267,4.839,.00,41.399,88.07,0.000,0.000,4.267,4.844,.00,41.514,88.48,0.000,0.000,4.267,4.844,.00,0,0,0.000,0.000,4.267,4.844,.00
00:00.747,41.679,79.759,0.333,0.000,4.267,4.839,.00,0,0,0.333,0.000,4.267,4.839,.00,41.758,81.114,0.333,0.000,4.267,4.839,.00,42.174,82.015,0.333,0.000,4.267,4.839,.00,41.854,82.167,0.333,0.000,4.267,4.839,.00,42.266,83.052,0.333,0.000,4.267,4.839,.00,41.793,83.488,0.333,0.000,4.267,4.839,.00,42.064,84.342,0.333,0.000,4.267,4.839,.00,41.925,85.023,0.333,0.000,4.267,4.839,.00,41.673,85.705,0.333,0.000,4.267,4.839,.00,41.869,86.646,0.333,0.000,4.267,4.839,.00,41.788,87.237,0.333,0.000,4.267,4.839,.00,41.399,88.07,0.333,0.000,4.267,4.844,.00,41.514,88.48,0.333,0.000,4.267,4.844,.00,0,0,0.333,0.000,4.267,4.844,.00
00:00.848,41.382,79.949,0.857,0.000,4.267,5.410,26.93,0,0,0.857,0.000,4.267,5.410,.00,41.298,81.311,0.857,0.000,4.267,5.410,27.83,41.901,82.138,0.857,0.000,4.267,5.410,28.17,41.498,82.418,0.857,0.000,4.267,5.410,28.51,41.911,82.964,0.857,0.000,4.267,5.410,28.84,41.407,83.567,0.857,0.000,4.267,5.410,29.48,41.671,84.304,0.857,0.000,4.267,5.410,29.90,41.644,85.12,0.857,0.000,4.267,5.410,30.47,41.278,85.859,0.857,0.000,4.267,5.410,31.14,41.418,86.689,0.857,0.000,4.267,5.410,31.66,41.364,87.312,0.857,0.000,4.267,5.410,32.14,41.096,87.923,0.857,0.000,4.267,5.410,33.00,41.169,88.591,0.857,0.000,4.267,5.410,33.21,0,0,0.857,0.000,4.267,5.410,.00
00:00.947,40.98,80.194,1.463,0.000,4.267,5.982,27.27,40.589,80.797,1.464,0.000,4.267,5.982,.00,40.896,81.268,1.464,0.000,4.267,5.982,28.29,41.542,82.232,1.464,0.000,4.267,5.982,28.45,41.153,82.597,1.464,0.000,4.267,5.982,28.93,41.456,83.06,1.464,0.000,4.267,5.982,29.03,40.963,83.743,1.464,0.000,4.267,5.982,29.81,41.196,84.416,1.464,0.000,4.267,5.982,30.15,41.176,85.182,1.464,0.000,4.267,5.982,30.74,40.95,85.991,1.464,0.000,4.267,5.982,31.52,40.983,86.808,1.464,0.000,4.267,5.982,32.01,40.875,87.261,1.464,0.000,4.267,5.982,32.49,40.705,87.823,1.464,0.000,4.267,5.982,33.11,40.836,88.589,1.464,0.000,4.267,5.982,33.53,0,0,1.464,0.000,4.267,5.982,.00
00:00.947,40.98,80.194,1.933,0.000,4.267,5.982,27.27,40.589,80.797,1.936,0.000,4.267,5.982,.00,40.896,81.268,1.936,0.000,4.267,5.982,28.29,41.542,82.232,1.936,0.000,4.267,5.982,28.45,41.153,82.597,1.936,0.000,4.267,5.982,28.93,41.456,83.06,1.936,0.000,4.267,5.982,29.03,40.963,83.743,1.936,0.000,4.267,5.982,29.81,41.196,84.416,1.936,0.000,4.267,5.982,30.15,41.176,85.182,1.936,0.000,4.267,5.982,30.74,40.95,85.991,1.936,0.000,4.267,5.982,31.52,40.983,86.808,1.936,0.000,4.267,5.982,32.01,40.875,87.261,1.936,0.000,4.267,5.982,32.49,40.705,87.823,1.936,0.000,4.267,5.982,33.11,40.836,88.589,1.936,0.000,4.267,5.982,33.53,0,0,1.936,0.000,4.267,5.982,.00
00:00.947,40.98,80.194,2.310,0.000,4.267,5.982,27.27,40.589,80.797,2.314,0.000,4.267,5.982,.00,40.896,81.268,2.314,0.000,4.267,5.982,28.29,41.542,82.232,2.314,0.000,4.267,5.982,28.45,41.153,82.597,2.314,0.000,4.267,5.982,28.93,41.456,83.06,2.314,0.000,4.267,5.982,29.03,40.963,83.743,2.272,-0.084,4.267,5.982,29.81,41.196,84.416,2.272,-0.084,4.267,5.982,30.15,41.176,85.182,2.272,-0.084,4.267,5.982,30.74,40.95,85.991,2.272,-0.084,4.267,5.982,31.52,40.983,86.808,2.272,-0.084,4.267,5.982,32.01,40.875,87.261,2.272,-0.084,4.267,5.982,32.49,40.705,87.823,2.272,-0.085,4.267,5.982,33.11,40.836,88.589,2.272,-0.085,4.267,5.982,33.53,0,0,2.272,-0.085,4.267,5.982,.00
00:01.047,40.531,80.399,2.580,-0.076,4.267,6.553,27.73,40.073,81.117,2.584,-0.077,4.267,6.553,28.43,40.395,81.418,2.584,-0.077,4.267,6.553,28.55,41.184,82.321,2.584,-0.077,4.267,6.553,28.77,40.759,82.719,2.584,-0.077,4.267,6.553,29.31,40.973,83.114,2.584,-0.077,4.267,6.553,29.42,40.457,83.735,2.546,-0.153,4.267,6.553,30.25,40.603,84.507,2.546,-0.153,4.267,6.553,30.56,40.656,85.315,2.546,-0.153,4.267,6.553,31.12,40.486,86.061,2.546,-0.153,4.267,6.553,31.85,40.513,86.976,2.546,-0.153,4.267,6.553,32.40,40.25,87.192,2.546,-0.153,4.267,6.559,32.80,40.224,87.964,2.546,-0.154,4.267,6.559,33.32,40.331,88.679,2.546,-0.154,4.267,6.559,33.77,0,0,2.546,-0.154,4.267,6.559,.00
