,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 10,ID 10,ID 10,ID 10,ID 10,ID 10,ID 10,ID 11,ID 11,ID 11,ID 11,ID 11,ID 11,ID 11,ID 12,ID 12,ID 12,ID 12,ID 12,ID 12,ID 12,ID 13,ID 13,ID 13,ID 13,ID 13,ID 13,ID 13
,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,CAPASSO,CAPASSO,CAPASSO,CAPASSO,CAPASSO,CAPASSO,CAPASSO,PASCALI,PASCALI,PASCALI,PASCALI,PASCALI,PASCALI,PASCALI,DE BONIS,DE BONIS,DE BONIS,DE BONIS,DE BONIS,DE BONIS,DE BONIS,GRESTA,GRESTA,GRESTA,GRESTA,GRESTA,GRESTA,GRESTA,GHERGO,GHERGO,GHERGO,GHERGO,GHERGO,GHERGO,GHERGO,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,34.285,7.311,0.000,0.000,3.044,3.044,.00,41.926,8.098,0.000,0.000,3.045,3.045,.00,48.886,10.088,0.000,0.000,3.044,3.044,.00,54.842,13.432,0.000,0.000,3.045,3.045,.00,60.555,17.314,0.000,0.000,3.044,3.044,.00,65.34,21.945,0.000,0.000,3.045,3.045,.00,69.374,27.174,0.000,0.000,3.044,3.044,.00,72.743,32.525,0.000,0.000,3.044,3.044,.00
00:00.000,34.285,7.311,0.000,0.000,3.044,3.044,.00,41.926,8.098,0.000,0.000,3.045,3.045,.00,48.886,10.088,0.000,0.000,3.044,3.044,.00,54.842,13.432,0.000,0.000,3.045,3.045,.00,60.555,17.314,0.000,0.000,3.044,3.044,.00,65.34,21.945,0.000,0.000,3.045,3.045,.00,69.374,27.174,0.000,0.000,3.044,3.044,.00,72.743,32.525,0.000,0.000,3.044,3.044,.00
00:00.533,34.503,7.332,0.000,0.000,3.616,3.616,19.07,42.029,8.17,0.000,0.000,3.616,3.616,23.92,49.002,10.139,0.000,0.000,3.616,3.616,27.43,54.999,13.514,0.000,0.000,3.616,3.616,29.28,60.596,17.42,0.000,0.000,3.616,3.616,30.58,65.357,22.004,0.000,0.000,3.616,3.616,30.68,69.426,27.302,0.000,0.000,3.616,3.616,29.84,72.784,32.602,0.000,0.000,3.616,3.616,28.44
00:00.633,34.744,7.377,0.000,0.000,3.616,4.188,19.21,42.244,8.293,0.000,0.000,3.616,4.188,23.94,49.138,10.233,0.000,0.000,3.616,4.188,27.48,55.174,13.606,0.000,0.000,3.616,4.188,29.33,60.666,17.583,0.000,0.000,3.616,4.187,30.53,65.425,22.161,0.000,0.000,3.616,4.188,30.66,69.495,27.56,0.000,0.000,3.616,4.187,29.79,72.854,32.77,0.000,0.000,3.616,4.188,28.41
00:00.633,34.744,7.377,0.000,0.000,3.616,4.188,19.21,42.244,8.293,0.000,0.000,3.616,4.188,23.94,49.138,10.233,0.000,0.000,3.616,4.188,27.48,55.174,13.606,0.000,0.000,3.616,4.188,29.33,60.666,17.583,0.000,0.000,3.616,4.187,30.53,65.425,22.161,0.000,0.000,3.616,4.188,30.66,69.495,27.56,0.000,0.000,3.616,4.187,29.79,72.854,32.77,0.000,0.000,3.616,4.188,28.41
00:00.633,34.744,7.377,0.000,0.000,3.616,4.188,19.21,42.244,8.293,0.000,0.000,3.616,4.188,23.94,49.138,10.233,0.000,0.000,3.616,4.188,27.48,55.174,13.606,0.000,0.000,3.616,4.188,29.33,60.666,17.583,0.000,0.000,3.616,4.187,30.53,65.425,22.161,0.000,0.000,3.616,4.188,30.66,69.495,27.56,0.333,0.000,3.616,4.187,29.79,72.854,32.77,0.333,0.000,3.616,4.188,28.41
00:00.733,35.043,7.403,0.286,0.000,3.616,4.759,19.35,42.479,8.419,0.286,0.000,3.616,4.759,24.01,49.329,10.304,0.286,0.000,3.616,4.759,27.51,55.39,13.71,0.286,0.000,3.616,4.759,29.39,60.792,17.788,0.286,0.000,3.616,4.759,30.46,65.523,22.346,0.286,0.000,3.616,4.759,30.59,69.572,27.878,0.857,0.000,3.616,4.759,29.65,72.94,32.961,0.857,0.000,3.616,4.759,28.34
00:00.833,35.389,7.492,0.750,0.000,4.628,5.330,19.54,42.793,8.553,0.750,0.000,3.616,5.331,24.08,49.692,10.524,0.750,0.000,3.616,5.331,27.59,55.65,13.864,0.750,0.000,3.616,5.330,29.47,61,18.038,0.750,0.000,3.616,5.330,30.41,65.674,22.56,0.750,0.000,3.616,5.330,30.53,69.628,28.227,1.465,0.000,3.616,5.331,29.48,73.038,33.222,1.465,0.000,3.616,5.331,28.27
00:00.833,35.389,7.492,1.302,0.000,4.628,5.330,19.54,42.793,8.553,1.302,0.000,3.616,5.331,24.08,49.692,10.524,1.302,0.000,3.616,5.331,27.59,55.65,13.864,1.302,0.000,3.616,5.330,29.47,61,18.038,1.302,0.000,3.616,5.330,30.41,65.674,22.56,1.302,0.000,3.616,5.330,30.53,69.628,28.227,1.937,0.000,3.616,5.331,29.48,73.038,33.222,1.937,0.000,3.616,5.331,28.27
00:00.833,35.389,7.492,1.743,0.000,4.628,5.330,19.54,42.793,8.553,1.743,0.000,3.616,5.331,24.08,49.692,10.524,1.743,0.000,3.616,5.331,27.59,55.65,13.864,1.743,0.000,3.616,5.330,29.47,61,18.038,1.743,0.000,3.616,5.330,30.41,65.674,22.56,1.743,0.000,3.616,5.330,30.53,69.628,28.227,2.315,0.000,3.616,5.331,29.48,73.038,33.222,2.315,0.000,3.616,5.331,28.27
00:00.933,35.785,7.602,2.104,0.000,4.628,5.902,19.73,43.126,8.677,2.104,0.000,4.725,5.902,24.21,49.991,10.728,2.104,0.000,4.639,5.902,27.70,55.991,14.123,2.104,0.000,4.752,5.901,29.55,61.259,18.339,2.104,0.000,3.616,5.902,30.38,65.838,22.838,2.069,-0.069,3.616,5.902,30.49,69.708,28.598,2.589,-0.069,4.833,5.902,29.27,73.178,33.499,2.589,-0.069,3.616,5.902,28.15
00:01.033,36.265,7.706,2.373,-0.064,5.887,6.474,19.93,43.509,8.866,2.373,-0.064,4.725,6.474,24.36,50.351,10.953,2.373,-0.064,4.639,6.473,27.76,56.336,14.385,2.373,-0.064,4.752,6.474,29.61,61.526,18.669,2.373,-0.064,4.897,6.473,30.35,66.049,23.214,2.341,-0.127,4.654,6.473,30.41,69.86,29.022,2.818,-0.127,4.833,6.474,29.07,73.32,33.873,2.818,-0.127,4.731,6.479,28.06
00:01.033,36.265,7.706,2.601,-0.118,5.887,6.474,19.93,43.509,8.866,2.601,-0.118,4.725,6.474,24.36,50.351,10.953,2.601,-0.118,4.639,6.473,27.76,56.336,14.385,2.600,-0.118,4.752,6.474,29.61,61.526,18.669,2.601,-0.118,4.897,6.473,30.35,66.049,23.214,2.571,-0.176,4.654,6.473,30.41,69.86,29.022,3.012,-0.175,4.833,6.474,29.07,73.32,33.873,3.012,-0.175,4.731,6.479,28.06
00:01.033,36.265,7.706,2.796,-0.164,5.887,6.474,19.93,43.509,8.866,2.796,-0.164,4.725,6.474,24.36,50.351,10.953,2.796,-0.164,4.639,6.473,27.76,56.336,14.385,2.795,-0.164,4.752,6.474,29.61,61.526,18.669,2.796,-0.164,4.897,6.473,30.35,66.049,23.214,2.769,-0.218,4.654,6.473,30.41,69.86,29.022,3.178,-0.217,4.833,6.474,29.07,73.32,33.873,3.178,-0.217,4.731,6.479,28.06
