,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 10,ID 10,ID 10,ID 10,ID 10,ID 10,ID 10,ID 11,ID 11,ID 11,ID 11,ID 11,ID 11,ID 11,ID 12,ID 12,ID 12,ID 12,ID 12,ID 12,ID 12,ID 13,ID 13,ID 13,ID 13,ID 13,ID 13,ID 13
,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,ZUCCARINI,CAPASSO,CAPASSO,CAPASSO,CAPASSO,CAPASSO,CAPASSO,CAPASSO,PASCALI,PASCALI,PASCALI,PASCALI,PASCALI,PASCALI,PASCALI,DE BONIS,DE BONIS,DE BONIS,DE BONIS,DE BONIS,DE BONIS,DE BONIS,GRESTA,GRESTA,GRESTA,GRESTA,GRESTA,GRESTA,GRESTA,GHERGO,GHERGO,GHERGO,GHERGO,GHERGO,GHERGO,GHERGO,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,SIMONELLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI,CAMILLI
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00
00:00.000,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.490,3.490,.00,0,0,0.000,0.000,3.491,3.491,.00,0,0,0.000,0.000,3.490,3.490,.00
00:00.611,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.061,4.061,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00,0,0,0.000,0.000,4.062,4.062,.00
00:00.711,0,0,0.500,0.000,4.062,4.633,.00,0,0,0.500,0.000,4.062,4.633,.00,0,0,0.500,0.000,4.062,4.633,.00,0,0,0.500,0.000,4.061,4.633,.00,0,0,0.500,0.000,4.062,4.633,.00,0,0,0.500,0.000,4.062,4.633,.00,0,0,0.500,0.000,4.062,4.633,.00,0,0,0.500,0.000,4.062,4.634,.00
00:00.711,0,0,1.200,0.000,4.062,4.633,.00,0,0,1.200,0.000,4.062,4.633,.00,0,0,1.200,0.000,4.062,4.633,.00,0,0,1.200,0.000,4.061,4.633,.00,0,0,1.200,0.000,4.062,4.633,.00,0,0,1.200,0.000,4.062,4.633,.00,0,0,1.200,0.000,4.062,4.633,.00,0,0,1.200,0.000,4.062,4.634,.00
00:00.711,0,0,1.952,0.000,4.062,4.633,.00,0,0,1.952,0.000,4.062,4.633,.00,0,0,1.952,0.000,4.062,4.633,.00,0,0,1.952,0.000,4.061,4.633,.00,0,0,1.952,0.000,4.062,4.633,.00,0,0,1.952,0.000,4.062,4.633,.00,0,0,1.952,0.000,4.062,4.633,.00,0,0,1.953,0.000,4.062,4.634,.00
00:00.811,0,0,2.490,0.000,4.062,5.205,.00,0,0,2.490,0.000,4.062,5.205,.00,0,0,2.489,0.000,4.062,5.204,.00,0,0,2.490,0.000,4.061,5.205,.00,0,0,2.490,0.000,4.062,5.205,.00,0,0,2.490,0.000,4.062,5.205,.00,0,0,2.489,0.000,4.062,5.205,.00,0,0,2.490,0.000,4.062,5.205,.00
00:00.911,0,0,2.893,0.000,4.062,5.776,.00,0,0,2.893,0.000,4.062,5.776,.00,0,0,2.892,0.000,4.062,5.777,.00,0,0,2.893,0.000,4.061,5.777,.00,0,0,2.893,0.000,4.062,5.776,.00,0,0,2.893,0.000,4.062,5.776,.00,0,0,2.892,0.000,4.062,5.776,.00,0,0,2.893,0.000,4.062,5.776,.00
00:00.911,0,0,3.206,0.000,4.062,5.776,.00,0,0,3.206,0.000,4.062,5.776,.00,0,0,3.205,0.000,4.062,5.777,.00,0,0,3.206,0.000,4.061,5.777,.00,0,0,3.206,0.000,4.062,5.776,.00,0,0,3.206,0.000,4.062,5.776,.00,0,0,3.205,0.000,4.062,5.776,.00,0,0,3.207,0.000,4.062,5.776,.00
00:00.911,0,0,3.457,0.000,4.062,5.776,.00,0,0,3.457,0.000,4.062,5.776,.00,0,0,3.456,0.000,4.062,5.777,.00,0,0,3.457,0.000,4.061,5.777,.00,0,0,3.457,0.000,4.062,5.776,.00,0,0,3.457,0.000,4.062,5.776,.00,0,0,3.456,0.000,4.062,5.776,.00,0,0,3.458,-0.001,4.062,5.776,.00
00:01.011,0,0,3.662,0.000,4.062,6.347,.00,0,0,3.662,0.000,4.062,6.348,.00,0,0,3.661,0.000,4.062,6.348,.00,0,0,3.662,0.000,4.061,6.348,.00,0,0,3.662,-0.001,4.062,6.347,.00,0,0,3.662,-0.001,4.062,6.348,.00,0,0,3.661,0.000,4.062,6.347,.00,0,0,3.663,-0.001,4.062,6.347,.00
00:01.111,0,0,3.833,0.000,4.062,6.919,.00,0,0,3.833,0.000,4.062,6.919,.00,0,0,3.832,0.000,4.062,6.919,.00,0,0,3.833,0.000,4.061,6.919,.00,0,0,3.833,-0.001,4.062,6.919,.00,0,0,3.833,-0.001,4.062,6.919,.00,0,0,3.832,0.000,4.062,6.919,.00,0,0,3.834,-0.001,4.062,6.919,.00
00:01.111,0,0,3.978,0.000,4.062,6.919,.00,0,0,3.978,0.000,4.062,6.919,.00,0,0,3.977,0.000,4.062,6.919,.00,0,0,3.887,-0.045,4.061,6.919,.00,0,0,3.887,-0.046,4.062,6.919,.00,0,0,3.887,-0.046,4.062,6.919,.00,0,0,3.886,-0.045,4.062,6.919,.00,0,0,3.888,-0.046,4.062,6.919,.00
00:01.111,0,0,4.018,-0.042,4.062,6.919,.00,0,0,4.018,-0.042,4.062,6.919,.00,0,0,4.017,-0.042,4.062,6.919,.00,0,0,3.934,-0.084,4.061,6.919,.00,0,0,3.934,-0.085,4.062,6.919,.00,0,0,3.934,-0.085,4.062,6.919,.00,0,0,3.933,-0.084,4.062,6.919,.00,0,0,3.935,-0.085,4.062,6.919,.00
00:01.211,0,0,4.053,-0.078,4.062,7.491,.00,0,0,4.053,-0.078,4.062,7.491,.00,0,0,4.052,-0.078,4.062,7.490,.00,0,0,3.974,-0.117,4.061,7.491,.00,0,0,3.974,-0.118,4.062,7.490,.00,0,0,3.974,-0.118,4.062,7.490,.00,0,0,3.973,-0.117,4.062,7.490,.00,0,0,3.975,-0.118,4.062,7.491,.00
00:01.311,0,0,4.083,-0.110,4.062,8.000,.00,0,0,4.083,-0.110,4.062,8.000,.00,0,0,4.082,-0.110,4.062,8.000,.00,0,0,4.010,-0.147,4.061,8.000,.00,0,0,4.009,-0.148,4.062,8.000,.00,0,0,4.009,-0.148,4.062,8.000,.00,0,0,4.009,-0.147,4.062,8.000,.00,0,0,4.010,-0.148,4.062,8.000,.00
00:01.311,0,0,4.110,-0.138,4.062,8.000,.00,0,0,4.110,-0.138,4.062,8.000,.00,0,0,4.109,-0.138,4.062,8.000,.00,0,0,4.041,-0.173,4.061,8.000,.00,0,0,4.041,-0.173,4.062,8.000,.00,0,0,4.041,-0.173,4.062,8.000,.00,0,0,4.040,-0.172,4.062,8.000,.00,0,0,4.042,-0.174,4.062,8.000,.00
