,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1806,ID 1806,ID 1806,ID 1806,ID 1806,ID 1806,ID 1806,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971
,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FRA,FRA,FRA,FRA,FRA,FRA,FRA,MOLNAR,MOLNAR,MOLNAR,MOLNAR,MOLNAR,MOLNAR,MOLNAR,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.221,3.221,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.221,3.221,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.222,3.222,.00
00:00.000,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.221,3.221,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.221,3.221,.00,0,0,0.000,0.000,3.222,3.222,.00,0,0,0.000,0.000,3.222,3.222,.00
00:00.564,0,0,0.000,0.000,3.793,3.793,.00,0,0,0.000,0.000,3.794,3.794,.00,0,0,0.667,0.000,3.794,3.794,.00,0,0,0.667,0.000,3.793,3.793,.00,0,0,0.667,0.000,3.794,3.794,.00,0,0,0.667,0.000,3.793,3.793,.00,0,0,0.667,0.000,3.793,3.793,.00,0,0,0.667,0.000,3.793,3.793,.00
00:00.664,0,0,0.500,0.000,3.793,4.365,.00,0,0,0.500,0.000,3.794,4.365,.00,0,0,1.500,0.000,3.794,4.365,.00,0,0,1.500,0.000,3.793,4.365,.00,0,0,1.500,0.000,3.794,4.365,.00,0,0,1.500,0.000,3.793,4.365,.00,0,0,1.500,0.000,3.793,4.364,.00,0,0,1.500,0.000,3.793,4.365,.00
00:00.664,0,0,1.200,0.000,3.793,4.365,.00,0,0,1.200,0.000,3.794,4.365,.00,0,0,2.343,0.000,3.794,4.365,.00,0,0,2.343,0.000,3.793,4.365,.00,0,0,2.343,0.000,3.794,4.365,.00,0,0,2.343,0.000,3.793,4.365,.00,0,0,2.343,0.000,3.793,4.364,.00,0,0,2.343,0.000,3.793,4.365,.00
00:00.664,0,0,1.953,0.000,3.793,4.365,.00,0,0,1.952,0.000,3.794,4.365,.00,0,0,2.905,0.000,3.794,4.365,.00,0,0,2.905,0.000,3.793,4.365,.00,0,0,2.905,0.000,3.794,4.365,.00,0,0,2.905,0.000,3.793,4.365,.00,0,0,2.905,0.000,3.793,4.364,.00,0,0,2.905,0.000,3.793,4.365,.00
00:00.764,0,0,2.490,0.000,3.793,4.936,.00,0,0,2.490,0.000,3.794,4.937,.00,0,0,3.306,0.000,3.794,4.936,.00,0,0,3.307,0.000,3.793,4.936,.00,0,0,3.306,0.000,3.794,4.936,.00,0,0,3.306,0.000,3.793,4.936,.00,0,0,3.306,0.000,3.793,4.937,.00,0,0,3.306,0.000,3.793,4.936,.00
00:00.864,0,0,2.894,0.000,3.793,5.507,.00,0,0,2.893,0.000,3.794,5.508,.00,0,0,3.607,0.000,3.794,5.508,.00,0,0,3.608,0.000,3.793,5.507,.00,0,0,3.607,0.000,3.794,5.508,.00,0,0,3.607,0.000,3.793,5.508,.00,0,0,3.607,0.000,3.793,5.508,.00,0,0,3.607,0.000,3.793,5.507,.00
00:00.864,0,0,3.207,0.000,3.793,5.507,.00,0,0,3.206,0.000,3.794,5.508,.00,0,0,3.841,0.000,3.794,5.508,.00,0,0,3.842,0.000,3.793,5.507,.00,0,0,3.841,0.000,3.794,5.508,.00,0,0,3.841,0.000,3.793,5.508,.00,0,0,3.841,0.000,3.793,5.508,.00,0,0,3.841,0.000,3.793,5.507,.00
00:00.864,0,0,3.458,0.000,3.793,5.507,.00,0,0,3.457,-0.001,3.794,5.508,.00,0,0,4.028,-0.001,3.794,5.508,.00,0,0,4.029,-0.001,3.793,5.507,.00,0,0,4.028,-0.001,3.794,5.508,.00,0,0,4.028,-0.001,3.793,5.508,.00,0,0,4.028,0.000,3.793,5.508,.00,0,0,4.028,-0.001,3.793,5.507,.00
00:00.964,0,0,3.663,-0.001,3.793,6.079,.00,0,0,3.662,-0.001,3.794,6.079,.00,0,0,4.181,-0.001,3.794,6.079,.00,0,0,4.183,-0.001,3.793,6.079,.00,0,0,4.181,-0.001,3.794,6.079,.00,0,0,4.181,-0.001,3.793,6.079,.00,0,0,4.182,0.000,3.793,6.079,.00,0,0,4.181,-0.001,3.793,6.079,.00
00:01.064,0,0,3.834,-0.001,3.793,6.651,.00,0,0,3.833,-0.001,3.794,6.650,.00,0,0,4.309,-0.001,3.794,6.650,.00,0,0,4.310,-0.001,3.793,6.651,.00,0,0,4.309,-0.001,3.794,6.651,.00,0,0,4.309,-0.001,3.793,6.651,.00,0,0,4.309,0.000,3.793,6.651,.00,0,0,4.309,-0.001,3.793,6.650,.00
00:01.064,0,0,3.979,-0.001,3.793,6.651,.00,0,0,3.977,-0.001,3.794,6.650,.00,0,0,4.417,-0.001,3.794,6.650,.00,0,0,4.418,-0.001,3.793,6.651,.00,0,0,4.417,-0.001,3.794,6.651,.00,0,0,4.417,-0.001,3.793,6.651,.00,0,0,4.417,0.000,3.793,6.651,.00,0,0,4.417,-0.001,3.793,6.650,.00
00:01.064,0,0,4.028,-0.038,3.793,6.651,.00,0,0,4.027,-0.038,3.794,6.650,.00,0,0,4.435,-0.038,3.794,6.650,.00,0,0,4.437,-0.038,3.793,6.651,.00,0,0,4.435,-0.038,3.794,6.651,.00,0,0,4.435,-0.038,3.793,6.651,.00,0,0,4.436,-0.037,3.793,6.651,.00,0,0,4.435,-0.038,3.793,6.650,.00
00:01.164,0,0,4.072,-0.070,3.793,7.222,.00,0,0,4.070,-0.070,3.794,7.222,.00,0,0,4.451,-0.070,3.794,7.221,.00,0,0,4.453,-0.070,3.793,7.222,.00,0,0,4.451,-0.070,3.794,7.222,.00,0,0,4.451,-0.070,3.793,7.221,.00,0,0,4.452,-0.069,3.793,7.222,.00,0,0,4.451,-0.070,3.793,7.222,.00
