,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971
,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FRA,FRA,FRA,FRA,FRA,FRA,FRA,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.365,3.365,.00,0,0,0.000,0.000,3.365,3.365,.00,0,0,0.000,0.000,3.365,3.365,.00,0,0,0.000,0.000,3.365,3.365,.00,0,0,0.000,0.000,3.365,3.365,.00,0,0,0.000,0.000,3.365,3.365,.00,0,0,0.000,0.000,3.364,3.364,.00
00:00.000,0,0,1.000,0.000,3.365,3.365,.00,0,0,1.000,0.000,3.365,3.365,.00,0,0,1.000,0.000,3.365,3.365,.00,0,0,1.000,0.000,3.365,3.365,.00,0,0,1.000,0.000,3.365,3.365,.00,0,0,1.000,0.000,3.365,3.365,.00,0,0,1.000,0.000,3.364,3.364,.00
00:00.589,0,0,2.000,0.000,3.936,3.936,.00,0,0,2.000,0.000,3.936,3.936,.00,0,0,2.000,0.000,3.936,3.936,.00,0,0,2.000,0.000,3.936,3.936,.00,0,0,2.000,0.000,3.936,3.936,.00,0,0,2.000,0.000,3.936,3.936,.00,0,0,2.000,0.000,3.936,3.936,.00
00:00.689,0,0,2.929,0.000,3.936,4.507,.00,48.478,1.646,2.929,0.000,3.936,4.508,.00,73.662,10.736,2.929,0.000,3.936,5.259,.00,46.924,0.894,2.929,0.000,3.936,4.508,.00,0,0,2.929,0.000,3.936,4.508,.00,50.872,3.814,2.929,0.000,3.936,4.507,.00,49.943,1.291,2.929,0.000,3.936,4.508,.00
00:00.689,0,0,3.486,0.000,3.936,4.507,.00,48.478,1.646,3.486,0.000,3.936,4.508,.00,73.662,10.736,3.486,0.000,3.936,5.259,.00,46.924,0.894,3.486,0.000,3.936,4.508,.00,0,0,3.486,0.000,3.936,4.508,.00,50.872,3.814,3.486,0.000,3.936,4.507,.00,49.943,1.291,3.486,0.000,3.936,4.508,.00
00:00.689,0,0,3.857,0.000,3.936,4.507,.00,48.478,1.646,3.857,0.000,3.936,4.508,.00,73.662,10.736,3.857,0.000,3.936,5.259,.00,46.924,0.894,3.857,0.000,3.936,4.508,.00,0,0,3.857,0.000,3.936,4.508,.00,50.872,3.814,3.857,0.000,3.936,4.507,.00,49.943,1.291,3.857,0.000,3.936,4.508,.00
00:00.789,0,0,4.203,0.162,3.936,5.079,.00,48.484,1.761,4.122,0.000,3.936,5.079,33.12,73.736,10.666,4.203,0.162,3.936,5.926,44.50,46.852,0.853,4.122,0.000,3.936,5.079,32.55,0,0,4.122,0.000,3.936,5.079,.00,51.057,3.958,4.122,0.000,3.936,5.079,33.28,49.868,1.238,4.122,0.000,3.936,5.079,34.40
00:00.889,0,0,4.463,0.283,3.936,5.651,.00,48.517,1.673,4.321,0.000,3.936,5.651,33.04,73.761,10.65,4.463,0.283,3.936,6.593,44.60,46.797,0.843,4.321,-0.001,3.936,5.650,32.53,0,0,4.321,-0.001,3.936,5.651,.00,51.289,4.09,4.321,0.000,3.936,5.650,33.30,49.956,1.31,4.321,-0.001,3.936,5.650,34.39
