,ID 2035,ID 2035,ID 2035,ID 2035,ID 2035,ID 2035,ID 2035,ID 1625,ID 1625,ID 1625,ID 1625,ID 1625,ID 1625,ID 1625,ID 1552,ID 1552,ID 1552,ID 1552,ID 1552,ID 1552,ID 1552,ID 1868,ID 1868,ID 1868,ID 1868,ID 1868,ID 1868,ID 1868,ID 1940,ID 1940,ID 1940,ID 1940,ID 1940,ID 1940,ID 1940,ID 1991,ID 1991,ID 1991,ID 1991,ID 1991,ID 1991,ID 1991,ID 2071,ID 2071,ID 2071,ID 2071,ID 2071,ID 2071,ID 2071,ID 1827,ID 1827,ID 1827,ID 1827,ID 1827,ID 1827,ID 1827
,GIGER,GIGER,GIGER,GIGER,GIGER,GIGER,GIGER,HALONEN,HALONEN,HALONEN,HALONEN,HALONEN,HALONEN,HALONEN,JICHOVA,JICHOVA,JICHOVA,JICHOVA,JICHOVA,JICHOVA,JICHOVA,OLIVIERI,OLIVIERI,OLIVIERI,OLIVIERI,OLIVIERI,OLIVIERI,OLIVIERI,SLETTUM,SLETTUM,SLETTUM,SLETTUM,SLETTUM,SLETTUM,SLETTUM,DIALLO,DIALLO,DIALLO,DIALLO,DIALLO,DIALLO,DIALLO,GRANAT,GRANAT,GRANAT,GRANAT,GRANAT,GRANAT,GRANAT,MCGRORY,MCGRORY,MCGRORY,MCGRORY,MCGRORY,MCGRORY,MCGRORY
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.611,1.611,.00,0,0,0.000,0.000,1.611,1.611,.00
00:00.000,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.610,1.610,.00,0,0,0.000,0.000,1.611,1.611,.00,0,0,0.000,0.000,1.611,1.611,.00
00:00.282,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00,0,0,0.000,0.000,2.182,2.182,.00
00:00.382,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.754,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00
00:00.382,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.754,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00
00:00.382,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.754,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00,0,0,0.000,0.000,2.182,2.753,.00
00:00.482,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.325,.00,0,0,0.000,0.000,2.182,3.324,.00
00:00.582,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00,0,0,0.250,0.000,2.182,3.896,.00
00:00.582,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00,0,0,0.667,0.000,2.182,3.896,.00
00:00.582,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00,0,0,1.171,0.000,2.182,3.896,.00
00:00.682,35.622,7.748,1.584,0.000,2.182,4.468,.00,42.993,8.466,1.584,0.000,2.182,4.468,.00,49.609,10.735,1.584,0.000,2.182,4.467,.00,55.778,14.331,1.584,0.000,2.182,4.468,.00,61.327,17.713,1.584,0.000,2.182,4.467,.00,65.888,22.914,1.584,0.000,2.182,4.468,.00,69.541,28.159,1.584,0.000,2.182,4.467,.00,73.142,33.687,1.584,0.000,2.182,4.468,.00
00:00.782,36.087,7.832,1.929,0.000,2.182,5.039,19.71,43.396,8.66,1.929,0.000,2.182,5.039,24.41,50.017,10.816,1.929,0.000,2.182,5.039,27.49,56.13,14.328,1.928,0.000,2.182,5.039,29.31,61.64,18.1,1.928,0.000,2.182,5.039,30.84,66.079,23.311,1.928,0.000,2.182,5.039,30.39,69.634,28.826,1.928,0.000,2.182,5.039,29.26,73.259,34.165,1.929,0.000,2.182,5.039,27.90
00:00.782,36.087,7.832,2.220,0.000,2.182,5.039,19.71,43.396,8.66,2.220,0.000,2.182,5.039,24.41,50.017,10.816,2.220,0.000,2.182,5.039,27.49,56.13,14.328,2.220,0.000,2.182,5.039,29.31,61.64,18.1,2.220,0.000,2.182,5.039,30.84,66.079,23.311,2.220,0.000,2.182,5.039,30.39,69.634,28.826,2.220,0.000,2.182,5.039,29.26,73.259,34.165,2.220,0.000,2.182,5.039,27.90
00:00.782,36.087,7.832,2.469,0.000,2.182,5.039,19.71,43.396,8.66,2.469,0.000,2.182,5.039,24.41,50.017,10.816,2.469,0.000,2.182,5.039,27.49,56.13,14.328,2.469,0.000,2.182,5.039,29.31,61.64,18.1,2.469,0.000,2.182,5.039,30.84,66.079,23.311,2.469,0.000,2.182,5.039,30.39,69.634,28.826,2.469,0.000,2.182,5.039,29.26,73.259,34.165,2.469,0.000,2.182,5.039,27.90
