,ID 2071,ID 2071,ID 2071,ID 2071,ID 2071,ID 2071,ID 2071,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1915,ID 1915,ID 1915,ID 1915,ID 1915,ID 1915,ID 1915,ID 1706,ID 1706,ID 1706,ID 1706,ID 1706,ID 1706,ID 1706,ID 1934,ID 1934,ID 1934,ID 1934,ID 1934,ID 1934,ID 1934,ID 1867,ID 1867,ID 1867,ID 1867,ID 1867,ID 1867,ID 1867,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517
,GRANAT,GRANAT,GRANAT,GRANAT,GRANAT,GRANAT,GRANAT,FRA,FRA,FRA,FRA,FRA,FRA,FRA,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,PEETERS,PEETERS,PEETERS,PEETERS,PEETERS,PEETERS,PEETERS,KNIGHT,KNIGHT,KNIGHT,KNIGHT,KNIGHT,KNIGHT,KNIGHT,KLOSTER,KLOSTER,KLOSTER,KLOSTER,KLOSTER,KLOSTER,KLOSTER,MURARO,MURARO,MURARO,MURARO,MURARO,MURARO,MURARO,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.297,3.297,.00,0,0,0.000,0.000,3.297,3.297,.00,0,0,0.000,0.000,3.297,3.297,.00,0,0,0.000,0.000,3.296,3.296,.00
00:00.000,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.296,3.296,.00,0,0,0.000,0.000,3.297,3.297,.00,0,0,0.000,0.000,3.297,3.297,.00,0,0,0.000,0.000,3.297,3.297,.00,0,0,0.000,0.000,3.296,3.296,.00
00:00.577,0,0,0.000,0.000,3.868,3.868,.00,0,0,0.000,0.000,3.867,3.867,.00,0,0,0.000,0.000,3.867,3.867,.00,0,0,0.000,0.000,3.867,3.867,.00,0,0,0.000,0.000,3.868,3.868,.00,0,0,0.000,0.000,3.867,3.867,.00,0,0,0.000,0.000,3.868,3.868,.00,0,0,0.000,0.000,3.868,3.868,.00
00:00.677,35.7,7.668,0.000,0.000,3.868,4.439,.00,0,0,0.000,0.000,3.867,4.439,.00,0,0,0.000,0.000,3.867,4.439,.00,55.585,13.93,0.000,0.000,3.867,4.439,.00,0,0,0.000,0.000,3.868,4.439,.00,66.174,22.885,0.000,0.000,3.867,4.439,.00,69.916,28.092,0.000,0.000,3.868,4.439,.00,73.18,33.412,0.000,0.000,3.868,4.439,.00
00:00.677,35.7,7.668,0.000,0.000,3.868,4.439,.00,0,0,0.000,0.000,3.867,4.439,.00,0,0,0.000,0.000,3.867,4.439,.00,55.585,13.93,0.000,0.000,3.867,4.439,.00,0,0,0.000,0.000,3.868,4.439,.00,66.174,22.885,0.000,0.000,3.867,4.439,.00,69.916,28.092,0.000,0.000,3.868,4.439,.00,73.18,33.412,0.000,0.000,3.868,4.439,.00
00:00.677,35.7,7.668,0.000,0.000,3.868,4.439,.00,0,0,0.333,0.000,3.867,4.439,.00,0,0,0.333,0.000,3.867,4.439,.00,55.585,13.93,0.333,0.000,3.867,4.439,.00,0,0,0.333,0.000,3.868,4.439,.00,66.174,22.885,0.333,0.000,3.867,4.439,.00,69.916,28.092,0.333,0.000,3.868,4.439,.00,73.18,33.412,0.333,0.000,3.868,4.439,.00
00:00.777,35.889,7.863,0.286,0.000,3.868,5.010,19.82,0,0,0.857,0.000,3.867,5.010,.00,49.439,10,0.857,0.000,3.867,5.010,.00,55.898,14.154,0.857,0.000,3.867,5.010,29.45,61.537,18.298,0.857,0.000,3.868,5.011,.00,66.35,23.271,0.857,0.000,3.867,5.010,30.61,70.127,28.525,0.857,0.000,3.868,5.011,29.57,73.317,34.006,0.857,0.000,3.868,5.011,28.12
00:00.877,36.223,8.01,0.750,0.000,3.868,5.582,19.82,0,0,1.464,0.000,3.867,5.582,.00,49.684,10.162,1.465,0.000,3.867,5.582,27.89,56.223,14.313,1.465,0.000,3.867,5.582,29.52,61.792,18.778,1.464,0.000,3.868,5.582,30.57,66.427,23.659,1.464,0.000,3.867,5.582,30.46,70.354,28.842,1.464,0.000,3.868,5.582,29.42,73.283,34.498,1.464,0.000,3.868,5.581,27.80
00:00.877,36.223,8.01,1.302,0.000,3.868,5.582,19.82,0,0,1.936,0.000,3.867,5.582,.00,49.684,10.162,1.937,0.000,3.867,5.582,27.89,56.223,14.313,1.937,0.000,3.867,5.582,29.52,61.792,18.778,1.936,0.000,3.868,5.582,30.57,66.427,23.659,1.936,0.000,3.867,5.582,30.46,70.354,28.842,1.936,0.000,3.868,5.582,29.42,73.283,34.498,1.936,0.000,3.868,5.581,27.80
00:00.877,36.223,8.01,1.743,0.000,3.868,5.582,19.82,0,0,2.314,0.000,3.867,5.582,.00,49.684,10.162,2.315,0.000,3.867,5.582,27.89,56.223,14.313,2.315,0.000,3.867,5.582,29.52,61.792,18.778,2.314,0.000,3.868,5.582,30.57,66.427,23.659,2.314,0.000,3.867,5.582,30.46,70.354,28.842,2.314,0.000,3.868,5.582,29.42,73.283,34.498,2.314,0.000,3.868,5.581,27.80
00:00.977,36.667,8.111,2.104,0.000,3.868,6.153,19.95,0,0,2.623,0.000,3.867,6.153,.00,50.191,10.719,2.624,0.000,3.867,6.154,27.95,56.585,14.633,2.624,0.000,3.867,6.154,29.63,62.044,19.19,2.623,0.000,3.868,6.154,30.42,66.602,24.17,2.577,-0.092,3.867,6.153,30.24,70.529,29.284,2.577,-0.092,3.868,6.153,29.35,73.275,35.032,2.577,-0.092,4.958,6.153,27.43
00:01.077,37.069,8.185,2.362,-0.085,4.931,6.725,20.19,0,0,2.839,-0.084,3.867,6.725,.00,50.852,11.577,2.839,-0.084,5.990,6.725,27.91,56.864,15.063,2.839,-0.084,5.089,6.725,29.66,62.324,19.578,2.839,-0.084,4.894,6.725,30.30,66.819,24.572,2.796,-0.168,5.221,6.725,30.00,70.653,29.719,2.796,-0.168,5.208,6.725,29.16,73.38,35.434,2.797,-0.169,4.958,6.725,27.04
00:01.077,37.069,8.185,2.581,-0.157,4.931,6.725,20.19,0,0,3.021,-0.156,3.867,6.725,.00,50.852,11.577,3.022,-0.156,5.990,6.725,27.91,56.864,15.063,3.022,-0.156,5.089,6.725,29.66,62.324,19.578,3.021,-0.156,4.894,6.725,30.30,66.819,24.572,2.981,-0.233,5.221,6.725,30.00,70.653,29.719,2.981,-0.233,5.208,6.725,29.16,73.38,35.434,2.982,-0.234,4.958,6.725,27.04
