,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,SPAIN,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,38.593,7.648,0.000,0.000,0.342,0.342,.00,48.953,11.928,0.000,0.000,0.473,0.473,.00,58.198,17.66,0.000,0.000,0.423,0.423,.00,64.952,26.143,0.000,0.000,0.766,0.766,.00,69.532,34.103,0.000,0.000,0.000,0.000,.00,72.304,43.986,0.000,0.000,0.166,0.166,.00,72.13,55.043,0.000,0.000,1.534,1.534,.00,70.923,63.597,0.000,0.000,0.794,0.794,.00
00:00.000,38.593,7.648,0.000,0.000,0.342,0.342,.00,48.953,11.928,0.000,0.000,0.473,0.473,.00,58.198,17.66,0.000,0.000,0.423,0.423,.00,64.952,26.143,0.000,0.000,0.766,0.766,.00,69.532,34.103,0.000,0.000,0.000,0.000,.00,72.304,43.986,0.000,0.000,0.166,0.166,.00,72.13,55.043,0.000,0.000,1.534,1.534,.00,70.923,63.597,0.000,0.000,0.794,0.794,.00
00:00.693,39.029,8.018,0.603,0.000,0.867,0.867,21.88,49.108,12.243,0.514,0.000,0.771,0.771,26.18,58.541,18.196,0.667,0.000,1.054,1.054,28.66,65.041,26.176,0.557,0.000,0.836,0.836,27.44,69.657,34.525,0.211,0.000,0.317,0.317,25.05,72.459,44.403,0.391,0.000,0.587,0.587,20.02,72.076,55.288,0.667,0.000,1.786,1.786,12.08,70.542,64.041,0.667,0.000,1.321,1.321,5.18
00:00.792,39.629,8.314,0.904,0.000,0.867,1.528,21.93,49.162,12.354,0.771,0.000,0.771,0.874,26.07,58.915,18.746,1.027,0.000,1.054,1.716,28.53,65.163,26.325,0.835,0.000,0.836,1.024,27.48,69.791,35.037,0.317,0.000,0.814,0.814,24.84,72.382,45.3,0.587,0.000,0.587,1.445,19.84,72.06,55.54,1.393,0.000,1.786,2.013,11.87,69.997,64.682,1.160,0.000,1.321,2.134,4.60
00:00.792,39.629,8.314,1.085,0.000,0.867,1.528,21.93,49.162,12.354,0.925,0.000,0.771,0.874,26.07,58.915,18.746,1.243,0.000,1.054,1.716,28.53,65.163,26.325,1.002,0.000,0.836,1.024,27.48,69.791,35.037,0.380,0.000,0.814,0.814,24.84,72.382,45.3,0.704,0.000,0.587,1.445,19.84,72.06,55.54,1.828,0.000,1.786,2.013,11.87,69.997,64.682,1.455,0.000,1.321,2.134,4.60
00:00.792,39.629,8.314,1.205,0.000,0.867,1.528,21.93,49.162,12.354,1.028,0.000,0.771,0.874,26.07,58.915,18.746,1.387,0.000,1.054,1.716,28.53,65.163,26.325,1.113,0.000,0.836,1.024,27.48,69.791,35.037,0.423,0.000,0.814,0.814,24.84,72.382,45.3,0.782,0.000,0.587,1.445,19.84,72.06,55.54,2.118,0.000,1.786,2.013,11.87,69.997,64.682,1.652,0.000,1.321,2.134,4.60
00:00.892,40.107,8.464,1.394,0.206,2.098,1.992,22.14,49.358,12.488,1.170,0.138,0.771,1.112,26.03,59.176,19.231,1.597,0.215,2.354,2.254,28.40,65.286,26.562,1.280,0.175,0.836,1.291,27.46,69.932,35.574,0.629,0.353,0.814,1.369,24.57,72.277,45.99,0.984,0.293,1.903,2.136,19.15,71.92,55.826,2.351,0.051,1.786,2.325,11.68,69.602,65.174,1.895,0.203,2.749,2.746,3.76
00:00.992,40.623,8.612,1.536,0.360,2.098,2.527,22.37,49.713,12.548,1.277,0.241,0.771,1.438,26.07,59.467,19.733,1.755,0.377,2.354,2.809,28.25,65.473,26.976,1.405,0.306,0.836,1.744,27.38,70.034,36.26,0.784,0.618,2.345,2.061,24.29,72.317,46.495,1.135,0.512,1.903,2.640,18.59,71.762,56.262,2.526,0.090,1.786,2.787,11.38,69.275,65.655,2.077,0.356,2.749,3.321,3.13
