,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,GREAT BRITAIN & NORTHERN IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,IRELAND,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,CZECHIA,CZECHIA,CZECHIA,CZECHIA,CZECHIA,CZECHIA,CZECHIA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,-5.004,49.954,0.000,0.000,5.050,5.050,.00,49.06,11.924,0.000,0.000,5.051,5.051,.00,58.423,18.051,0.000,0.000,5.051,5.051,.00,64.896,25.902,0.000,0.000,5.051,5.051,.00,69.637,35.223,0.000,0.000,5.057,5.057,.00,72.176,44.969,0.000,0.000,5.057,5.057,.00,72.417,54.515,0.000,0.000,5.056,5.056,.00,70.097,64.201,0.000,0.000,5.056,5.056,.00
00:00.000,-5.004,49.954,0.000,0.000,5.050,5.050,.00,49.06,11.924,0.000,0.000,5.051,5.051,.00,58.423,18.051,0.000,0.000,5.051,5.051,.00,64.896,25.902,0.000,0.000,5.051,5.051,.00,69.637,35.223,0.000,0.000,5.057,5.057,.00,72.176,44.969,0.000,0.000,5.057,5.057,.00,72.417,54.515,0.000,0.000,5.056,5.056,.00,70.097,64.201,0.000,0.000,5.056,5.056,.00
00:00.885,-4.434,50.186,0.000,0.000,5.621,5.621,38.86,49.366,12.169,0.667,0.000,5.621,5.621,26.26,58.706,18.351,0.667,0.000,5.621,5.621,28.55,65.036,26.188,0.667,0.000,5.622,5.622,27.57,69.717,35.647,0.667,0.000,5.622,5.622,24.33,72.165,45.331,0.667,0.000,5.627,5.627,19.24,72.362,54.835,0.667,0.000,5.628,5.628,12.66,69.848,64.654,0.667,0.000,5.628,5.628,4.17
00:00.985,-3.142,50.447,0.500,0.000,7.039,6.194,38.62,49.71,12.456,1.500,0.000,6.656,6.199,26.30,59.076,18.833,1.500,0.000,5.621,6.199,28.54,65.218,26.579,1.500,0.000,5.622,6.199,27.47,69.815,36.117,1.500,0.000,6.934,6.199,24.09,72.127,45.86,1.500,0.000,5.627,6.199,18.97,72.263,55.242,1.500,0.000,5.628,6.199,12.39,69.564,65.164,1.500,0.000,5.628,6.204,3.67
00:00.985,-3.142,50.447,1.200,0.000,7.039,6.194,38.62,49.71,12.456,2.343,0.000,6.656,6.199,26.30,59.076,18.833,2.343,0.000,5.621,6.199,28.54,65.218,26.579,2.343,0.000,5.622,6.199,27.47,69.815,36.117,2.343,0.000,6.934,6.199,24.09,72.127,45.86,2.343,0.000,5.627,6.199,18.97,72.263,55.242,2.343,0.000,5.628,6.199,12.39,69.564,65.164,2.343,0.000,5.628,6.204,3.67
00:00.985,-3.142,50.447,1.952,0.000,7.039,6.194,38.62,49.71,12.456,2.905,0.000,6.656,6.199,26.30,59.076,18.833,2.905,0.000,5.621,6.199,28.54,65.218,26.579,2.905,0.000,5.622,6.199,27.47,69.815,36.117,2.905,0.000,6.934,6.199,24.09,72.127,45.86,2.905,0.000,5.627,6.199,18.97,72.263,55.242,2.905,0.000,5.628,6.199,12.39,69.564,65.164,2.905,0.000,5.628,6.204,3.67
00:01.086,-1.867,50.873,2.490,0.000,8.358,6.765,37.89,50.166,12.862,3.306,0.000,6.656,6.764,26.34,59.456,19.357,3.306,0.000,6.640,6.765,28.46,65.416,27.107,3.306,0.000,6.928,6.764,27.32,69.896,36.719,3.307,0.000,6.934,6.765,23.83,72.065,46.415,3.306,0.000,6.743,6.765,18.57,72.107,55.779,3.306,0.000,7.009,6.770,12.04,69.334,65.653,3.306,0.000,6.713,6.770,3.11
00:01.185,-1.047,51.268,2.893,0.000,9.703,7.341,37.29,50.652,13.334,3.607,0.000,7.715,7.342,26.38,59.855,19.867,3.607,0.000,7.928,7.342,28.35,65.638,27.702,3.607,0.000,8.123,7.342,27.09,69.975,37.407,3.608,0.000,8.021,7.342,23.46,72.019,46.955,3.607,0.000,7.838,7.342,18.14,71.881,56.424,3.607,0.000,8.245,7.342,11.55,69.086,66.33,3.541,-0.132,7.966,7.348,2.60
