,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 693,ID 693,ID 693,ID 693,ID 693,ID 693,ID 693,ID 334,ID 334,ID 334,ID 334,ID 334,ID 334,ID 334,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 927,ID 927,ID 927,ID 927,ID 927,ID 927,ID 927,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 618,ID 618,ID 618,ID 618,ID 618,ID 618,ID 618,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 608,ID 608,ID 608,ID 608,ID 608,ID 608,ID 608,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 630,ID 630,ID 630,ID 630,ID 630,ID 630,ID 630,ID 734,ID 734,ID 734,ID 734,ID 734,ID 734,ID 734
,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,KARBO,KARBO,KARBO,KARBO,KARBO,KARBO,KARBO,DARU,DARU,DARU,DARU,DARU,DARU,DARU,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,VICH,VICH,VICH,VICH,VICH,VICH,VICH,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00
00:00.000,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00,0,0,0.000,0.000,2.108,2.108,.00
00:00.369,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.680,2.680,.00,0,0,0.000,0.000,2.679,2.679,.00,0,0,0.000,0.000,2.679,2.679,.00,0,0,0.000,0.000,2.679,2.679,.00,0,0,0.000,0.000,2.679,2.679,.00,0,0,0.000,0.000,2.679,2.679,.00,0,0,0.000,0.000,2.679,2.679,.00
00:00.469,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00
00:00.469,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.680,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00,0,0,0.000,0.000,2.679,3.251,.00
00:00.469,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.680,3.251,.00,0,0,0.333,0.000,2.679,3.251,.00,0,0,0.333,0.000,2.679,3.251,.00,0,0,0.333,0.000,2.679,3.251,.00,0,0,0.333,0.000,2.679,3.251,.00,0,0,0.333,0.000,2.679,3.251,.00,0,0,0.333,0.000,2.679,3.251,.00
00:00.569,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.680,3.822,.00,0,0,0.857,0.000,2.679,3.821,.00,0,0,0.857,0.000,2.679,3.821,.00,0,0,0.857,0.000,2.679,3.821,.00,0,0,0.857,0.000,2.679,3.821,.00,0,0,0.857,0.000,2.679,3.821,.00,0,0,0.857,0.000,2.679,3.821,.00
00:00.669,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.680,4.394,.00,0,0,1.464,0.000,2.679,4.393,.00,0,0,1.464,0.000,2.679,4.393,.00,0,0,1.464,0.000,2.679,4.393,.00,0,0,1.464,0.000,2.679,4.393,.00,0,0,1.464,0.000,2.679,4.393,.00,0,0,1.464,0.000,2.679,4.393,.00
00:00.669,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00
00:00.669,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00
