,ID 1215,ID 1215,ID 1215,ID 1215,ID 1215,ID 1215,ID 1215,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 767,ID 767,ID 767,ID 767,ID 767,ID 767,ID 767,ID 1207,ID 1207,ID 1207,ID 1207,ID 1207,ID 1207,ID 1207,ID 882,ID 882,ID 882,ID 882,ID 882,ID 882,ID 882,ID 797,ID 797,ID 797,ID 797,ID 797,ID 797,ID 797,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 700,ID 700,ID 700,ID 700,ID 700,ID 700,ID 700,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 602,ID 602,ID 602,ID 602,ID 602,ID 602,ID 602,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 662,ID 662,ID 662,ID 662,ID 662,ID 662,ID 662,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689
,JOHANSSON,JOHANSSON,JOHANSSON,JOHANSSON,JOHANSSON,JOHANSSON,JOHANSSON,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,RAITANEN,RAITANEN,RAITANEN,RAITANEN,RAITANEN,RAITANEN,RAITANEN,BLOMBERG,BLOMBERG,BLOMBERG,BLOMBERG,BLOMBERG,BLOMBERG,BLOMBERG,RUPPERT,RUPPERT,RUPPERT,RUPPERT,RUPPERT,RUPPERT,RUPPERT,MIELLET,MIELLET,MIELLET,MIELLET,MIELLET,MIELLET,MIELLET,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,DARU,DARU,DARU,DARU,DARU,DARU,DARU,ARCE,ARCE,ARCE,ARCE,ARCE,ARCE,ARCE,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,CARABANA,CARABANA,CARABANA,CARABANA,CARABANA,CARABANA,CARABANA,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,HABARTA,HABARTA,HABARTA,HABARTA,HABARTA,HABARTA,HABARTA,VICH,VICH,VICH,VICH,VICH,VICH,VICH
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00
00:00.000,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00,0,0,0.000,0.000,2.451,2.451,.00
00:00.429,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.022,3.022,.00,0,0,0.000,0.000,3.021,3.021,.00,0,0,0.000,0.000,3.021,3.021,.00,0,0,0.000,0.000,3.021,3.021,.00,0,0,0.000,0.000,3.021,3.021,.00,0,0,0.000,0.000,3.021,3.021,.00,0,0,0.000,0.000,3.021,3.021,.00
00:00.529,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.021,3.593,5.19,0,0,0.000,0.000,3.021,3.593,5.19,0,0,0.000,0.000,3.021,3.593,5.19,0,0,0.000,0.000,3.021,3.593,5.19,0,0,0.000,0.000,3.021,3.593,5.19,0,0,0.000,0.000,3.021,3.593,5.19
00:00.529,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.000,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.022,3.594,5.19,0,0,0.400,0.000,3.021,3.593,5.19,0,0,0.400,0.000,3.021,3.593,5.19,0,0,0.400,0.000,3.021,3.593,5.19,0,0,0.400,0.000,3.021,3.593,5.19,0,0,0.400,0.000,3.021,3.593,5.19,0,0,0.400,0.000,3.021,3.593,5.19
00:00.529,0,0,0.333,0.000,3.022,3.594,5.19,0,0,0.333,0.000,3.022,3.594,5.19,0,0,0.333,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.022,3.594,5.19,0,0,1.000,0.000,3.021,3.593,5.19,0,0,1.000,0.000,3.021,3.593,5.19,0,0,1.000,0.000,3.021,3.593,5.19,0,0,1.000,0.000,3.021,3.593,5.19,0,0,1.000,0.000,3.021,3.593,5.19,0,0,1.000,0.000,3.021,3.593,5.19
00:00.629,0,0,0.857,0.000,3.022,4.165,5.19,0,0,0.857,0.000,3.022,4.165,5.19,0,0,0.857,0.000,3.022,4.165,5.19,0,0,1.673,0.000,3.022,4.165,5.19,0,0,1.673,0.000,3.022,4.165,5.19,0,0,1.714,0.000,3.022,4.165,5.19,0,0,1.714,0.000,3.022,4.165,5.19,0,0,1.672,0.000,3.022,4.165,5.19,0,0,1.674,0.000,3.022,4.165,5.19,0,0,1.714,0.000,3.022,4.165,5.19,0,0,1.674,0.000,3.021,4.165,5.19,0,0,1.674,0.000,3.021,4.165,5.19,0,0,1.674,0.000,3.021,4.165,5.19,0,0,1.674,0.000,3.021,4.165,5.19,0,0,1.674,0.000,3.021,4.165,5.19,0,0,1.674,0.000,3.021,4.165,5.19
00:00.729,-38.586,82.213,1.500,0.000,3.022,5.526,5.19,0,0,1.464,0.000,3.022,4.737,5.19,-38.464,83.491,1.500,0.000,3.022,5.526,5.19,0,0,2.179,0.000,3.022,4.737,5.19,0,0,2.179,0.000,3.022,4.737,5.19,-38.808,85.403,2.412,0.000,3.022,5.526,5.19,-38.963,86.034,2.412,0.000,3.022,5.526,5.19,0,0,2.176,0.000,3.022,4.737,5.19,0,0,2.179,0.000,3.022,4.737,5.19,-39.114,87.785,2.412,0.000,3.022,5.526,5.19,-39.566,88.543,2.179,0.000,3.021,4.736,5.19,-39.443,89.315,2.179,0.000,3.021,4.736,5.19,-39.979,89.7,2.179,0.000,3.021,4.736,5.19,-40.564,90.574,2.179,0.000,3.021,4.742,5.19,0,0,2.179,0.000,3.021,4.742,5.19,-40.008,91.978,2.179,0.000,3.021,4.742,5.19
