,ID 1812,ID 1812,ID 1812,ID 1812,ID 1812,ID 1812,ID 1812,ID 1960,ID 1960,ID 1960,ID 1960,ID 1960,ID 1960,ID 1960,ID 1730,ID 1730,ID 1730,ID 1730,ID 1730,ID 1730,ID 1730,ID 1889,ID 1889,ID 1889,ID 1889,ID 1889,ID 1889,ID 1889,ID 1508,ID 1508,ID 1508,ID 1508,ID 1508,ID 1508,ID 1508,ID 1542,ID 1542,ID 1542,ID 1542,ID 1542,ID 1542,ID 1542,ID 1808,ID 1808,ID 1808,ID 1808,ID 1808,ID 1808,ID 1808,ID 2135,ID 2135,ID 2135,ID 2135,ID 2135,ID 2135,ID 2135,ID 1803,ID 1803,ID 1803,ID 1803,ID 1803,ID 1803,ID 1803,ID 1713,ID 1713,ID 1713,ID 1713,ID 1713,ID 1713,ID 1713,ID 1857,ID 1857,ID 1857,ID 1857,ID 1857,ID 1857,ID 1857,ID 1909,ID 1909,ID 1909,ID 1909,ID 1909,ID 1909,ID 1909,ID 2041,ID 2041,ID 2041,ID 2041,ID 2041,ID 2041,ID 2041,ID 1532,ID 1532,ID 1532,ID 1532,ID 1532,ID 1532,ID 1532,ID 1677,ID 1677,ID 1677,ID 1677,ID 1677,ID 1677,ID 1677,ID 1526,ID 1526,ID 1526,ID 1526,ID 1526,ID 1526,ID 1526
,SZUCS,SZUCS,SZUCS,SZUCS,SZUCS,SZUCS,SZUCS,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,GRIMM,GRIMM,GRIMM,GRIMM,GRIMM,GRIMM,GRIMM,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,POSCH,POSCH,POSCH,POSCH,POSCH,POSCH,POSCH,KOSCAK,KOSCAK,KOSCAK,KOSCAK,KOSCAK,KOSCAK,KOSCAK,NEMES,NEMES,NEMES,NEMES,NEMES,NEMES,NEMES,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,GEREVINI,GEREVINI,GEREVINI,GEREVINI,GEREVINI,GEREVINI,GEREVINI,DOKTER,DOKTER,DOKTER,DOKTER,DOKTER,DOKTER,DOKTER,KALIN,KALIN,KALIN,KALIN,KALIN,KALIN,KALIN,VIDTS,VIDTS,VIDTS,VIDTS,VIDTS,VIDTS,VIDTS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,THIAM,THIAM,THIAM,THIAM,THIAM,THIAM,THIAM
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00
00:00.000,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.090,3.090,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00,0,0,0.000,0.000,3.091,3.091,.00
00:00.541,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.661,3.661,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.661,3.661,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00,0,0,0.000,0.000,3.662,3.662,.00
00:00.641,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.661,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.661,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.662,4.234,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.000,0.000,3.662,4.233,.00,0,0,0.500,0.000,3.662,4.233,.00,0,0,0.500,0.000,3.662,4.233,.00,0,0,0.500,0.000,3.662,4.233,.00,0,0,0.500,0.000,3.662,4.233,.00
00:00.641,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.661,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.661,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.662,4.234,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,0.400,0.000,3.662,4.233,.00,0,0,1.200,0.000,3.662,4.233,.00,0,0,1.200,0.000,3.662,4.233,.00,0,0,1.200,0.000,3.662,4.233,.00,0,0,1.200,0.000,3.662,4.233,.00
00:00.641,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.661,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.661,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.662,4.234,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.000,0.000,3.662,4.233,.00,0,0,1.952,0.000,3.662,4.233,.00,0,0,1.952,0.000,3.662,4.233,.00,0,0,1.952,0.000,3.662,4.233,.00,0,0,1.952,0.000,3.662,4.233,.00
00:00.741,28.08,7.763,1.673,0.000,3.662,4.805,.00,28.413,7.054,1.673,0.000,3.661,4.805,.00,28.347,6.474,1.673,0.000,3.662,4.805,.00,28.772,6.064,1.673,0.000,3.662,4.805,.00,29.205,5.306,1.673,0.000,3.661,4.805,.00,29.217,4.8,1.673,0.000,3.662,4.805,.00,29.457,4.049,1.673,0.000,3.662,4.805,.00,30.122,3.436,1.673,0.000,3.662,4.805,.00,30.298,2.921,1.673,0.000,3.662,4.804,.00,29.715,1.079,1.673,0.000,3.662,4.804,.00,42.942,5.858,1.673,0.000,3.662,4.804,.00,0,0,1.673,0.000,3.662,4.804,.00,44.269,4.586,2.489,0.000,3.662,4.804,.00,44.799,3.954,2.489,0.000,3.662,4.804,.00,45.078,2.999,2.489,0.000,3.662,4.804,.00,45.747,2.271,2.489,0.000,3.662,4.810,.00
00:00.842,28.514,7.827,2.179,0.000,3.662,5.377,14.37,28.661,7.239,2.179,0.000,3.661,5.376,15.10,28.663,6.441,2.179,0.000,3.662,5.377,15.47,29.093,6.039,2.179,0.000,3.662,5.376,16.06,29.518,5.303,2.179,0.000,3.661,5.376,16.90,29.603,4.829,2.179,0.000,3.662,5.376,17.27,30.063,4.155,2.179,0.000,3.662,5.376,17.97,30.428,3.649,2.178,0.000,3.662,5.376,18.87,30.663,3.004,2.178,0.000,3.662,5.376,19.36,30.88,1.524,2.178,0.000,3.662,5.376,20.25,43.34,6.076,2.178,0.000,3.662,5.382,26.22,0,0,2.178,0.000,3.662,5.382,.00,44.612,4.937,2.892,0.000,3.662,5.382,28.06,45.088,4.188,2.892,0.000,3.662,5.382,28.88,45.41,3.15,2.892,0.000,3.662,5.382,29.75,45.946,2.387,2.892,0.000,3.662,5.382,30.74
