,ID 713,ID 713,ID 713,ID 713,ID 713,ID 713,ID 713,ID 1177,ID 1177,ID 1177,ID 1177,ID 1177,ID 1177,ID 1177,ID 1231,ID 1231,ID 1231,ID 1231,ID 1231,ID 1231,ID 1231,ID 680,ID 680,ID 680,ID 680,ID 680,ID 680,ID 680,ID 1199,ID 1199,ID 1199,ID 1199,ID 1199,ID 1199,ID 1199,ID 817,ID 817,ID 817,ID 817,ID 817,ID 817,ID 817,ID 762,ID 762,ID 762,ID 762,ID 762,ID 762,ID 762,ID 606,ID 606,ID 606,ID 606,ID 606,ID 606,ID 606
,DELGADO,DELGADO,DELGADO,DELGADO,DELGADO,DELGADO,DELGADO,BONVIN,BONVIN,BONVIN,BONVIN,BONVIN,BONVIN,BONVIN,AKCAM,AKCAM,AKCAM,AKCAM,AKCAM,AKCAM,AKCAM,SMOLKA,SMOLKA,SMOLKA,SMOLKA,SMOLKA,SMOLKA,SMOLKA,BALUCH,BALUCH,BALUCH,BALUCH,BALUCH,BALUCH,BALUCH,CHALMERS,CHALMERS,CHALMERS,CHALMERS,CHALMERS,CHALMERS,CHALMERS,LEHTONEN,LEHTONEN,LEHTONEN,LEHTONEN,LEHTONEN,LEHTONEN,LEHTONEN,KOHLDORFER,KOHLDORFER,KOHLDORFER,KOHLDORFER,KOHLDORFER,KOHLDORFER,KOHLDORFER
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:00.000,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:08.914,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:09.014,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:09.014,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:09.014,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:09.114,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
00:09.214,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00,0,0,0.000,0.000,8.000,8.000,.00
