,ID 717,ID 717,ID 717,ID 717,ID 717,ID 717,ID 717,ID 1178,ID 1178,ID 1178,ID 1178,ID 1178,ID 1178,ID 1178,ID 750,ID 750,ID 750,ID 750,ID 750,ID 750,ID 750,ID 1097,ID 1097,ID 1097,ID 1097,ID 1097,ID 1097,ID 1097,ID 917,ID 917,ID 917,ID 917,ID 917,ID 917,ID 917,ID 1271,ID 1271,ID 1271,ID 1271,ID 1271,ID 1271,ID 1271,ID 988,ID 988,ID 988,ID 988,ID 988,ID 988,ID 988,ID 686,ID 686,ID 686,ID 686,ID 686,ID 686,ID 686
,FERNANDEZ,FERNANDEZ,FERNANDEZ,FERNANDEZ,FERNANDEZ,FERNANDEZ,FERNANDEZ,BRAND,BRAND,BRAND,BRAND,BRAND,BRAND,BRAND,HAAPALAINEN,HAAPALAINEN,HAAPALAINEN,HAAPALAINEN,HAAPALAINEN,HAAPALAINEN,HAAPALAINEN,HOLUB,HOLUB,HOLUB,HOLUB,HOLUB,HOLUB,HOLUB,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BANOCZY,THID,THID,THID,THID,THID,THID,THID,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,TUCEK,TUCEK,TUCEK,TUCEK,TUCEK,TUCEK,TUCEK
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.901,2.901,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.901,2.901,.00
00:00.000,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.901,2.901,.00,0,0,0.000,0.000,2.902,2.902,.00,0,0,0.000,0.000,2.901,2.901,.00
00:00.508,0,0,0.000,0.000,3.474,3.474,.00,0,0,0.000,0.000,3.473,3.473,.00,0,0,0.000,0.000,3.473,3.473,.00,0,0,0.000,0.000,3.473,3.473,.00,0,0,0.000,0.000,3.473,3.473,.00,0,0,0.000,0.000,3.473,3.473,.00,0,0,0.000,0.000,3.474,3.474,.00,0,0,0.000,0.000,3.473,3.473,.00
00:00.608,0,0,0.000,0.000,3.474,4.044,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.044,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.474,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00
00:00.608,0,0,0.000,0.000,3.474,4.044,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.044,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.474,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00
00:00.608,0,0,0.000,0.000,3.474,4.044,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.044,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00,0,0,0.000,0.000,3.474,4.045,.00,0,0,0.000,0.000,3.473,4.045,.00
00:00.708,0,0,0.286,0.000,3.474,4.616,.00,42.568,8.327,0.286,0.000,3.473,4.616,.00,49.706,10.652,0.286,0.000,3.473,4.616,.00,55.99,14.26,0.286,0.000,3.473,4.616,.00,61.228,18.019,0.286,0.000,3.473,4.616,.00,66.097,22.957,0.286,0.000,3.473,4.616,.00,69.71,28.521,0.286,0.000,3.474,4.616,.00,73.121,33.712,0.286,0.000,3.473,4.616,.00
00:00.808,0,0,0.750,0.000,3.474,5.188,.00,42.92,8.457,0.750,0.000,3.473,5.188,24.21,49.984,10.87,0.750,0.000,3.473,5.188,27.62,56.269,14.562,0.750,0.000,3.473,5.187,29.51,61.492,18.459,0.750,0.000,3.473,5.188,30.55,66.293,23.425,0.750,0.000,3.473,5.188,30.50,69.959,28.921,0.750,0.000,3.474,5.188,29.13,73.184,34.126,0.750,0.000,3.473,5.188,27.87
