,ID 917,ID 917,ID 917,ID 917,ID 917,ID 917,ID 917,ID 1177,ID 1177,ID 1177,ID 1177,ID 1177,ID 1177,ID 1177,ID 939,ID 939,ID 939,ID 939,ID 939,ID 939,ID 939,ID 1064,ID 1064,ID 1064,ID 1064,ID 1064,ID 1064,ID 1064,ID 1240,ID 1240,ID 1240,ID 1240,ID 1240,ID 1240,ID 1240,ID 875,ID 875,ID 875,ID 875,ID 875,ID 875,ID 875,ID 1088,ID 1088,ID 1088,ID 1088,ID 1088,ID 1088,ID 1088,ID 988,ID 988,ID 988,ID 988,ID 988,ID 988,ID 988
,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BANOCZY,BONVIN,BONVIN,BONVIN,BONVIN,BONVIN,BONVIN,BONVIN,BARR,BARR,BARR,BARR,BARR,BARR,BARR,SMIDT,SMIDT,SMIDT,SMIDT,SMIDT,SMIDT,SMIDT,NEZIR,NEZIR,NEZIR,NEZIR,NEZIR,NEZIR,NEZIR,PREIS,PREIS,PREIS,PREIS,PREIS,PREIS,PREIS,WARHOLM,WARHOLM,WARHOLM,WARHOLM,WARHOLM,WARHOLM,WARHOLM,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI,LAMBRUGHI
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.457,2.457,.00
00:00.000,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.456,2.456,.00,0,0,0.000,0.000,2.457,2.457,.00
00:00.430,0,0,0.000,0.000,3.027,3.027,.00,0,0,0.000,0.000,3.028,3.028,.00,0,0,0.000,0.000,3.027,3.027,.00,0,0,0.000,0.000,3.028,3.028,.00,0,0,0.000,0.000,3.027,3.027,.00,0,0,0.000,0.000,3.028,3.028,.00,0,0,0.000,0.000,3.027,3.027,.00,0,0,0.000,0.000,3.027,3.027,.00
00:00.530,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.600,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00
00:00.530,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.600,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00
00:00.530,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.600,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.000,0.000,3.027,3.599,.00,0,0,0.000,0.000,3.028,3.599,.00,0,0,0.333,0.000,3.027,3.599,.00,0,0,0.333,0.000,3.027,3.599,.00
00:00.630,0,0,0.286,0.000,3.027,4.171,.00,0,0,0.286,0.000,3.028,4.171,.00,0,0,0.286,0.000,3.027,4.171,.00,0,0,0.286,0.000,3.028,4.171,.00,0,0,0.286,0.000,3.027,4.170,.00,0,0,0.286,0.000,3.028,4.170,.00,0,0,0.857,0.000,3.027,4.170,.00,0,0,0.857,0.000,3.027,4.170,.00
00:00.730,35.968,7.612,0.750,0.000,3.027,4.742,.00,43.314,8.645,0.750,0.000,3.028,4.742,.00,49.581,10.699,0.750,0.000,3.027,4.742,.00,0,0,0.750,0.000,3.028,4.742,.00,61.317,18.486,0.750,0.000,3.027,4.742,.00,65.607,22.67,0.750,0.000,3.028,4.742,.00,69.876,28.843,1.464,0.000,3.027,4.741,.00,73.16,34.109,1.464,0.000,3.027,4.742,.00
