,ID 1161,ID 1161,ID 1161,ID 1161,ID 1161,ID 1161,ID 1161,ID 846,ID 846,ID 846,ID 846,ID 846,ID 846,ID 846,ID 1064,ID 1064,ID 1064,ID 1064,ID 1064,ID 1064,ID 1064,ID 744,ID 744,ID 744,ID 744,ID 744,ID 744,ID 744,ID 1231,ID 1231,ID 1231,ID 1231,ID 1231,ID 1231,ID 1231,ID 1008,ID 1008,ID 1008,ID 1008,ID 1008,ID 1008,ID 1008,ID 1088,ID 1088,ID 1088,ID 1088,ID 1088,ID 1088,ID 1088,ID 1206,ID 1206,ID 1206,ID 1206,ID 1206,ID 1206,ID 1206
,GUCEK,GUCEK,GUCEK,GUCEK,GUCEK,GUCEK,GUCEK,AGYEKUM,AGYEKUM,AGYEKUM,AGYEKUM,AGYEKUM,AGYEKUM,AGYEKUM,SMIDT,SMIDT,SMIDT,SMIDT,SMIDT,SMIDT,SMIDT,MAGI,MAGI,MAGI,MAGI,MAGI,MAGI,MAGI,AKCAM,AKCAM,AKCAM,AKCAM,AKCAM,AKCAM,AKCAM,SIBILIO,SIBILIO,SIBILIO,SIBILIO,SIBILIO,SIBILIO,SIBILIO,WARHOLM,WARHOLM,WARHOLM,WARHOLM,WARHOLM,WARHOLM,WARHOLM,BENGTSTROM,BENGTSTROM,BENGTSTROM,BENGTSTROM,BENGTSTROM,BENGTSTROM,BENGTSTROM
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.557,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.657,0,0,0.000,0.000,0.000,0.000,.00,42.938,8.339,0.000,0.000,0.867,0.867,.00,49.17,9.623,0.000,0.000,0.000,0.000,.00,55.896,13.834,0.000,0.000,0.650,0.650,.00,61.313,18.089,0.000,0.000,0.745,0.745,.00,65.715,22.869,0.000,0.000,0.696,0.696,.00,69.78,28.753,0.000,0.000,1.367,1.367,.00,73.104,33.904,0.000,0.000,1.211,1.211,.00
00:00.657,0,0,0.000,0.000,0.000,0.000,.00,42.938,8.339,0.000,0.000,0.867,0.867,.00,49.17,9.623,0.000,0.000,0.000,0.000,.00,55.896,13.834,0.400,0.000,0.650,0.650,.00,61.313,18.089,0.400,0.000,0.745,0.745,.00,65.715,22.869,0.400,0.000,0.696,0.696,.00,69.78,28.753,0.400,0.000,1.367,1.367,.00,73.104,33.904,0.400,0.000,1.211,1.211,.00
00:00.657,0,0,0.333,0.000,0.000,0.000,.00,42.938,8.339,0.333,0.000,0.867,0.867,.00,49.17,9.623,0.333,0.000,0.000,0.000,.00,55.896,13.834,0.884,0.000,0.650,0.650,.00,61.313,18.089,0.909,0.000,0.745,0.745,.00,65.715,22.869,0.910,0.000,0.696,0.696,.00,69.78,28.753,1.000,0.000,1.367,1.367,.00,73.104,33.904,1.000,0.000,1.211,1.211,.00
00:00.757,36.129,7.645,0.857,0.000,1.564,1.564,.00,43.357,8.529,0.796,0.000,1.329,1.329,24.47,50.047,10.89,0.845,0.000,1.221,1.221,27.96,56.239,14.243,1.230,0.000,1.181,1.181,29.74,61.589,18.452,1.272,0.000,1.202,1.202,30.56,65.961,23.313,1.274,0.000,1.204,1.204,30.30,69.882,29.29,1.541,0.000,1.906,1.906,29.01,73.213,34.347,1.446,0.000,1.647,1.647,27.72
00:00.857,36.579,7.794,1.259,0.000,2.036,2.036,20.14,43.737,8.814,1.144,0.000,1.329,1.789,24.63,50.482,11.563,1.230,0.000,1.960,1.960,27.69,56.494,14.66,1.489,0.000,1.181,1.652,29.70,61.872,18.917,1.545,0.000,1.202,1.726,30.50,66.161,23.809,1.548,0.000,1.204,1.730,30.16,70.094,29.732,1.947,0.000,1.906,2.394,28.70,73.371,34.737,1.781,0.000,1.647,2.061,27.48
