,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684
,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,43.05,78.469,0.000,0.000,1.542,1.542,.00,43.055,78.43,0.000,0.000,1.542,1.542,.00,43.205,79.654,0.000,0.000,1.542,1.542,.00,43.163,80.053,0.000,0.000,1.542,1.542,.00
00:00.000,43.05,78.469,0.000,0.000,1.542,1.542,.00,43.055,78.43,0.000,0.000,1.542,1.542,.00,43.205,79.654,0.000,0.000,1.542,1.542,.00,43.163,80.053,0.000,0.000,1.542,1.542,.00
00:00.270,43.051,78.481,0.000,0.000,2.113,2.113,25.05,43.052,78.446,0.000,0.000,2.113,2.113,25.01,43.193,79.676,0.000,0.000,2.113,2.113,25.77,43.143,79.996,0.000,0.000,2.113,2.113,26.09
00:00.370,43.065,78.484,0.000,0.000,2.113,2.685,25.05,43.011,78.461,0.000,0.000,2.113,2.685,25.03,43.202,79.724,0.000,0.000,2.113,2.685,25.80,43.146,79.91,0.000,0.000,2.113,2.685,26.06
00:00.370,43.065,78.484,0.000,0.000,2.113,2.685,25.05,43.011,78.461,0.000,0.000,2.113,2.685,25.03,43.202,79.724,0.000,0.000,2.113,2.685,25.80,43.146,79.91,0.000,0.000,2.113,2.685,26.06
00:00.370,43.065,78.484,0.000,0.000,2.113,2.685,25.05,43.011,78.461,0.000,0.000,2.113,2.685,25.03,43.202,79.724,0.000,0.000,2.113,2.685,25.80,43.146,79.91,0.000,0.000,2.113,2.685,26.06
00:00.470,43.075,78.493,0.000,0.000,2.113,3.256,25.05,43.017,78.512,0.000,0.000,2.113,3.256,25.07,43.195,79.764,0.000,0.000,2.113,3.256,25.82,43.145,79.825,0.286,0.000,2.113,3.256,26.00
00:00.570,43.062,78.514,0.250,0.000,2.113,3.828,25.04,42.972,78.56,0.250,0.000,2.113,3.828,25.10,43.186,79.764,0.250,0.000,2.113,3.828,25.86,43.144,79.748,0.750,0.000,2.113,3.828,25.94
00:00.570,43.062,78.514,0.667,0.000,2.113,3.828,25.04,42.972,78.56,0.667,0.000,2.113,3.828,25.10,43.186,79.764,0.667,0.000,2.113,3.828,25.86,43.144,79.748,1.302,0.000,2.113,3.828,25.94
00:00.570,43.062,78.514,1.172,0.000,2.113,3.828,25.04,42.972,78.56,1.172,0.000,2.113,3.828,25.10,43.186,79.764,1.172,0.000,2.113,3.828,25.86,43.144,79.748,1.743,0.000,2.113,3.828,25.94
00:00.670,43.037,78.516,1.585,0.000,2.113,4.399,25.07,42.933,78.59,1.585,0.000,2.113,4.399,25.16,43.201,79.783,1.585,0.000,2.113,4.399,25.86,43.14,79.692,2.104,0.000,2.113,4.399,25.88
00:00.770,42.988,78.521,1.929,0.000,2.113,4.971,25.09,42.882,78.634,1.929,0.000,2.113,4.971,25.21,43.228,79.74,1.929,0.000,2.113,4.971,25.87,43.15,79.676,2.405,0.000,2.113,4.971,25.85
00:00.770,42.988,78.521,2.220,0.000,2.113,4.971,25.09,42.882,78.634,2.220,0.000,2.113,4.971,25.21,43.228,79.74,2.220,0.000,2.113,4.971,25.87,43.15,79.676,2.660,0.000,2.113,4.971,25.85
00:00.770,42.988,78.521,2.470,0.000,2.113,4.971,25.09,42.882,78.634,2.470,0.000,2.113,4.971,25.21,43.228,79.74,2.470,0.000,2.113,4.971,25.87,43.15,79.676,2.878,0.000,2.113,4.971,25.85
00:00.870,42.936,78.533,2.686,0.000,2.113,5.542,25.13,42.821,78.67,2.686,0.000,2.113,5.542,25.28,43.248,79.726,2.686,-0.001,2.113,5.542,25.82,43.156,79.657,3.067,-0.001,2.113,5.542,25.83
00:00.970,42.853,78.568,2.876,-0.001,2.113,6.113,25.17,42.815,78.672,2.876,-0.001,2.113,6.113,25.35,43.214,79.714,2.875,-0.001,2.113,6.113,25.79,43.133,79.626,3.233,-0.001,2.113,6.113,25.81
