,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 2,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 3,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 4,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 5,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 6,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 7,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 8,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9,ID 9
,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,DENMARK,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,POLAND,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,GERMANY,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,BELGIUM,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
0:00.000, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0
0:00.355, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0
0:00.455, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0
0:00.555, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0, 0, 0, 0, , .000, 0.000, 0
0:00.656, 35.586, 7.59, 0, , 1.046, 1.046, 0, 43.112, 8.999, 0, , 1.282, 1.282, 0, 49.957, 10.729, 0, , 1.056, 1.056, 0, 56.134, 13.858, 0, , .792, 0.792, 0, 61.566, 18.291, 0, , 1.060, 1.060, 0, 65.725, 23.66, 0, , 1.382, 1.382, 0, 70.219, 27.376, 0, , .365, 0.365, 0, 72.9, 33.418, 0, , .687, 0.687, 0
0:00.755, 36.254, 7.625, 0, , 1.683, 1.683, 19.79616, 43.352, 9.283, 0, , 1.612, 1.612, 24.12153, 50.323, 10.919, 0, , 1.465, 1.465, 27.73839, 56.599, 14.464, 0, , 1.545, 1.545, 29.89365, 61.845, 18.551, 0, , 1.438, 1.438, 30.60005, 66.044, 24.562, 0, , 2.344, 2.344, 29.74445, 70.534, 28.28, 0, , 1.320, 1.320, 30.29458, 73.083, 34.443, 0, , 1.711, 1.711, 27.91799
0:00.855, 36.916, 7.744, 0, , 1.683, 2.353, 20.24376, 43.292, 9.308, 0, , 1.612, 1.614, 24.09042, 50.648, 11.238, 0, , 1.465, 1.913, 27.86284, 57.059, 14.936, 0, , 2.964, 2.172, 29.79394, 62.088, 18.903, 0, , 1.438, 1.841, 30.61348, 66.389, 24.774, 0, , 3.638, 2.693, 29.3322, 70.621, 28.999, 0, , 2.989, 1.982, 29.87809, 73.209, 35.071, 0, , 2.753, 2.351, 27.32261
0:00.956, 37.488, 7.875, 0, , 3.023, 2.941, 20.62772, 44.333, 9.075, 0, , 1.612, 2.409, 24.03032, 51.037, 11.469, 0, , 1.465, 2.365, 27.86708, 57.445, 15.489, 0, , 2.964, 2.838, 29.78546, 62.359, 19.284, 0, , 1.438, 2.309, 30.53641, 66.599, 25.068, 0, , 3.638, 3.051, 29.42625, 70.767, 29.588, 5.182, , 2.989, 2.586, 29.4312, 73.422, 36.245, 7.102, , 2.753, 3.544, 26.96764
0:01.055, 38.034, 8.123, 5.878, , 4.199, 3.509, 20.93955, 44.867, 9.295, 4.814, , 2.835, 2.986, 24.93117, 51.434, 11.795, 4.726, , 2.775, 2.877, 27.9788, 57.914, 15.98, 5.672, , 4.310, 3.515, 29.66737, 62.702, 19.822, 4.614, , 2.709, 2.946, 30.45863, 66.823, 25.322, 6.095, , 3.638, 3.379, 29.36685, 70.922, 30.132, 5.182, , 4.159, 3.149, 29.11795, 73.498, 36.671, 7.102, , 4.588, 4.023, 26.28811
0:01.156, 38.366, 8.38, 5.878, , 4.199, 3.902, 21.15027, 45.509, 9.728, 4.814, , 2.835, 3.753, 25.1532, 51.855, 12.17, 4.726, , 2.775, 3.412, 28.02901, 58.214, 16.358, 5.672, , 4.310, 3.999, 29.65182, 63.009, 20.338, 4.614, , 2.709, 3.544, 30.32074, 66.987, 25.793, 6.095, , 3.638, 3.879, 29.34564, 71.093, 30.53, 5.182, , 4.159, 3.582, 28.84288, 73.527, 36.651, 7.102, , 4.023, 4.023, 26.04062
0:01.256, 38.913, 8.513, 5.878, , 4.199, 4.464, 21.2033, 46.029, 10.085, 4.814, , 4.181, 4.357, 25.30099, 52.335, 12.572, 4.726, , 3.852, 4.037, 28.06153, 58.642, 16.67, 5.672, , 4.310, 4.495, 29.59666, 63.306, 20.783, 4.614, , 3.948, 4.057, 30.17295, 67.235, 26.531, 6.095, , 4.823, 4.654, 29.12856, 71.341, 31.063, 5.182, , 4.159, 4.127, 28.68237, 73.527, 37.016, 7.102, , 4.309, 4.309, 26.07527
0:01.355, 39.673, 8.8, 5.878, , 4.199, 5.261, 21.49605, 46.456, 10.25, 4.814, , 4.181, 4.810, 25.41625, 52.779, 12.906, 4.726, , 3.852, 4.593, 28.11669, 59.147, 17.15, 5.672, , 5.320, 5.190, 29.67868, 63.53, 21.037, 4.614, , 3.948, 4.392, 30.0683, 67.467, 27.008, 6.095, , 4.823, 5.185, 28.78207, 71.513, 31.769, 5.182, , 5.188, 4.848, 28.48085, 73.664, 37.544, 7.102, , 4.309, 4.851, 25.81718
